         MJD         m       dm   uJy  duJy F  err   chi/N      RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57314.386524 19.674510      NaN    34    16 c    0    1.01 7.48767 32.89375  7465.10  6086.29 4.11 3.70 -87.7 -0.457    19.52 21.55 02a57314o0278c       0   37.794270
57314.412890 19.841877      NaN    -9    14 c    0    1.93 7.48767 32.89375  7450.80  6088.62 4.16 3.69 -88.9 -0.449    19.51 21.55 02a57314o0315c       0   36.991983
57314.438751 19.766969      NaN   -97    15 c    0    1.20 7.48767 32.89375  5993.31  7526.86 4.14 3.60 -71.9 -0.450    19.52 21.56 02a57314o0350c       0   37.381905
57314.453046 19.569016      NaN   -97    18 c    0    1.11 7.48767 32.89375  5991.42  7528.89 4.15 3.67 -73.6 -0.451    19.29 21.29 02a57314o0371c       0   38.683418
57316.349509 19.510313      NaN   -42    19 c    0    1.40 7.48767 32.89375  3219.81  4556.21 4.56 3.87 -35.3 -0.432    19.06 20.68 02a57316o0218c       0   39.158739
57316.385671 19.256669      NaN   -31    24 c    0    0.78 7.48767 32.89375  7447.13  6087.21 4.37 4.19 -71.5 -0.420    19.04 20.77 02a57316o0271c       0   41.813955
57316.409540 19.510313      NaN   -73    19 c    0    1.17 7.48767 32.89375  5983.56  7526.88 4.31 3.76 -69.1 -0.440    19.16 20.91 02a57316o0307c       0   39.158739
57316.424670 19.569016      NaN  -117    18 c    0    1.08 7.48767 32.89375  5982.94  7527.66 4.25 3.63 -74.9 -0.453    19.28 21.11 02a57316o0329c       0   38.683418
57395.252353 19.841877      NaN   -30    14 c    0    1.25 7.48767 32.89375  7813.62  5722.93 3.99 3.70  77.4 -0.401    19.49 21.46 02a57395o0100c       0   36.991983
57395.267612 19.766969      NaN    11    15 c    0    1.19 7.48767 32.89375  8134.94  6320.04 4.03 3.74  77.7 -0.402    19.48 21.47 02a57395o0125c       0   37.381905
57395.283000 19.766969      NaN    -2    15 c    0    1.19 7.48767 32.89375  7304.53  5154.17 3.98 3.80  79.9 -0.385    19.46 21.44 02a57395o0150c       0   37.381905
57395.298512 19.631075      NaN    22    17 c    0    1.28 7.48767 32.89375  7034.72  6905.96 3.96 3.69  85.9 -0.399    19.42 21.34 02a57395o0175c       0   38.228351
57402.251522 19.436675      NaN    37    19 c    0    1.59 7.48767 32.89375  7816.61  5843.38 4.05 3.50  86.9 -0.460    19.17 20.82 02a57402o0103c       0   39.158739
57402.267241 19.401649      NaN     5    21 c    0    1.19 7.48767 32.89375  8107.85  6429.26 3.98 3.37  87.8 -0.463    19.16 20.77 02a57402o0129c       0   40.167236
57402.283585 19.351140      NaN     2    22 c    0    1.11 7.48767 32.89375  7248.92  5257.07 3.88 3.52 -89.5 -0.447    19.11 20.71 02a57402o0156c       0   40.698978
57402.299520 19.401649      NaN     9    21 c    0    1.49 7.48767 32.89375  6955.01  6996.15 3.86 3.34 -89.2 -0.445    19.07 20.62 02a57402o0182c       0   40.167236
57403.251640 18.921935      NaN    56    25 c    0    1.16 7.48767 32.89375  7820.20  5840.38 4.08 3.35  87.9 -0.505    18.96 20.39 02a57403o0103c       0   42.395835
57403.267403 19.256669      NaN    13    24 c    0    1.24 7.48767 32.89375  8112.38  6428.16 4.17 3.45  86.8 -0.484    18.90 20.35 02a57403o0129c       0   41.813955
57403.283823 19.128787      NaN   -67    27 c    0    1.18 7.48767 32.89375  7253.07  5252.61 4.00 3.53 -89.9 -0.483    18.86 20.27 02a57403o0156c       0   43.605124
57403.299951 19.169763      NaN    18    26 c    0    1.81 7.48767 32.89375  6958.10  6992.93 3.85 3.22 -89.1 -0.449    18.84 20.15 02a57403o0182c       0   42.993102
57420.257541 19.510313      NaN    15    19 c    0    1.19 7.48767 32.89375  8116.75  5268.33 4.15 3.82  82.2 -0.405    19.28 21.15 02a57420o0046c    8192   39.158739
57434.229097 17.303777      NaN  -288   145 c    0    0.26 7.48767 32.89375   657.91    57.50 5.78 4.09 -21.2 -0.462    18.32 19.48 02a57434o0074c 8388610  148.987942
