 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD           uJy         duJy        stdev        x2         m       dm
57300.5      0      2          2 8388608 57300.377351  -1210.316790   136.615577   354.260497  2.238468 17.368446      NaN
57301.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57302.5      0      4          0       0 57302.398521      4.806137    27.609666    39.007478  0.502340 19.043304      NaN
57303.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57304.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57305.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57306.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57307.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57308.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57309.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57310.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57311.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57312.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57313.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57314.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57315.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57316.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57317.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57318.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57319.5      0      4          0       0 57319.327825     -4.556989    32.970220    42.591079  0.418391 18.911892      NaN
57320.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57321.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57322.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57323.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57324.5      0      4          0       0 57324.368418    -12.645771    33.209359    48.134361  0.519753 18.904046      NaN
57325.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57326.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57327.5      0      4          0       0 57327.418794    -20.418427    29.826436    27.789386  0.217634 19.020693      NaN
57328.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57329.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57330.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57331.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57332.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57333.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57334.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57335.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57336.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57337.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57338.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57339.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57340.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57341.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57342.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57343.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57344.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57345.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57346.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57347.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57348.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57349.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57350.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57351.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57352.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57353.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57354.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57355.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57356.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57357.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57358.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57359.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57360.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57361.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57362.5      0      4          0       0 57362.316283    -24.888078    27.343450    64.109282  1.394221 19.115064      NaN
57363.5      0      4          0       0 57363.314519     24.815001    27.516356    24.385788  0.195998 18.822853      NaN
57364.5      0      4          0       0 57364.297327     13.730281    27.612521    42.335958  0.593717 18.937919      NaN
57365.5      0      4          0       0 57365.314435     29.181654    27.522402    60.005555  1.168444 18.779392      NaN
57366.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57367.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57368.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57369.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57370.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57371.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57372.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57373.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57374.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57375.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57376.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57377.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57378.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57379.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57380.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57381.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57382.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57383.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57384.5      0      4          0       0 57384.273125      4.533285    28.267274    19.328304  0.115902 19.022445      NaN
57385.5      0      4          0       0 57385.271388     -4.007468    27.948841    26.575365  0.225681 19.091287      NaN
57386.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57387.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57388.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57389.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57390.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57391.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57392.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57393.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57394.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57395.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57396.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57397.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57398.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57399.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57400.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57401.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57402.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57403.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57404.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57405.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57406.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57407.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57408.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57409.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57410.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57411.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57412.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57413.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57414.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57415.5      0      4          0       0 57415.272969     26.465729    28.975203    67.896981  1.381124 18.763550      NaN
57416.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57417.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57418.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
57419.5      0      0          0 8388608          NaN           NaN          NaN          NaN       NaN       NaN      NaN
