         MJD         m       dm     uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57307.612413 19.631075      NaN   -35.5    17 c    0   1.03 123.86092 45.59221  8628.48  9016.14 4.60 3.86 -83.3 -0.422    19.43 21.46 02a57307o0441c    8192   32.188695
57307.635385 19.631075      NaN     8.5    17 c    0   1.42 123.86092 45.59221  8625.41  9022.71 4.37 3.73 -86.6 -0.433    19.38 21.26 02a57307o0477c    8192   32.188695
57316.538522 19.401649      NaN     3.5    21 c    0   1.00 123.86092 45.59221  8699.57  9015.76 4.62 3.98 -86.9 -0.424    19.11 20.92 02a57316o0499c       0   34.469002
57316.563185 19.401649      NaN    35.5    21 c    0   1.02 123.86092 45.59221  8695.21  9020.67 4.67 3.99 -86.2 -0.424    19.19 21.07 02a57316o0537c       0   34.469002
57316.589145 19.631075      NaN    19.5    17 c    0   1.35 123.86092 45.59221 10212.84  7518.71 4.56 3.71  82.9 -0.422    19.28 21.12 02a57316o0572c       0   32.188695
57316.614453 19.631075      NaN    -7.5    17 c    0   1.29 123.86092 45.59221 10215.63  7525.80 4.53 3.73  83.4 -0.424    19.32 21.19 02a57316o0605c       0   32.188695
57316.618298 19.510313      NaN   -11.5    19 c    0   0.95 123.86092 45.59221   253.57  7414.10 4.77 3.70 -56.9 -0.410    19.30 21.15 02a57316o0611c       0   33.288317
57316.636262 19.631075      NaN    -7.5    17 c    0   1.31 123.86092 45.59221   254.96  7418.21 4.77 3.65 -56.8 -0.410    19.27 21.06 02a57316o0639c       0   32.188695
57395.480546 19.696897      NaN   -11.5    16 c    0   1.16 123.86092 45.59221  3227.45   188.98 4.69 3.58 -15.7 -0.471    19.69 21.67 02a57395o0441c    8192   31.671945
57396.426657 19.841877      NaN    31.5    14 c    0   1.03 123.86092 45.59221  8400.05  9370.91 3.78 3.62  81.9 -0.416    19.74 21.84 02a57396o0373c    8192   30.710130
57396.445715 20.009244      NaN     0.5    12 c    0   1.43 123.86092 45.59221  8069.59  8785.51 3.75 3.53  77.7 -0.417    19.74 21.82 02a57396o0402c    8192   29.851500
57424.407783 19.631075      NaN   -67.5    17 c    0   0.98 123.86092 45.59221  1458.30  1829.20 5.01 3.82 -28.1 -0.442    19.66 21.75 02a57424o0352c       0   32.188695
57424.418522 19.696897      NaN    19.5    16 c    0   1.47 123.86092 45.59221  1181.58  1256.58 5.31 3.85 -27.7 -0.445    19.66 21.75 02a57424o0369c       0   31.671945
57424.429749 19.696897      NaN   -17.5    16 c    0   1.13 123.86092 45.59221  2409.75   643.70 5.21 3.85 -20.4 -0.454    19.65 21.74 02a57424o0387c       0   31.671945
57424.441425 19.696897      NaN   -34.5    16 c    0   0.95 123.86092 45.59221  8089.09 10417.87 4.11 3.96  66.5 -0.393    19.66 21.75 02a57424o0405c       0   31.671945
57424.456920 19.631075      NaN   -39.5    17 c    0   0.95 123.86092 45.59221  2524.07   560.97 4.96 3.75 -18.7 -0.467    19.66 21.74 02a57424o0429c       0   32.188695
57424.470340 19.696897      NaN    16.5    16 c    0   1.00 123.86092 45.59221  8192.67 10345.51 4.17 3.96  77.1 -0.388    19.65 21.72 02a57424o0448c       0   31.671945
57431.380039 19.631075      NaN   -72.5    17 c    0   1.21 123.86092 45.59221  1659.50  1451.79 5.26 4.21 -23.6 -0.399    19.50 21.66 02a57431o0327c       0   32.188695
57431.390426 19.569016      NaN   -46.5    18 c    0   1.13 123.86092 45.59221  1364.87   876.41 5.56 4.33 -23.3 -0.395    19.47 21.65 02a57431o0344c       0   32.727849
57431.413039 19.302877      NaN   -29.5    23 c    0   1.11 123.86092 45.59221  2632.04   270.55 5.15 3.95 -15.5 -0.429    19.54 21.64 02a57431o0381c       0   35.722711
57431.420387 19.631075      NaN   -44.5    17 c    0   1.07 123.86092 45.59221  8282.77 10055.66 4.58 4.29  71.9 -0.365    19.54 21.65 02a57431o0393c       0   32.188695
57431.426511 19.454622      NaN   -56.5    20 c    0   0.80 123.86092 45.59221  2470.47   537.14 5.25 4.05 -17.5 -0.423    19.49 21.62 02a57431o0403c       0   33.869043
