 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD          uJy        duJy       stdev        x2         m       dm
57328.5      0      1          0    8192 57328.629390   -64.500000   53.898903         NaN       NaN 18.378247      NaN
57329.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57330.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57331.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57332.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57333.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57334.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57335.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57336.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57337.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57338.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57339.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57340.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57341.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57342.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57343.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57344.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57345.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57346.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57347.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57348.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57349.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57350.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57351.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57352.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57353.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57354.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57355.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57356.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57357.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57358.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57359.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57360.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57361.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57362.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57363.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57364.5      0      5          0       0 57364.494537   -18.928369   21.095300   36.283605  0.583427 19.396733      NaN
57365.5      1      4          0       0 57365.554597     5.212964   24.162491   45.220755  0.901817 19.173941      NaN
57366.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57367.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57368.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57369.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57370.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57371.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57372.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57373.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57374.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57375.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57376.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57377.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57378.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57379.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57380.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57381.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57382.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57383.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57384.5      0      1          1 8388608 57384.479671  -261.500000  358.541618         NaN       NaN 16.320848      NaN
57385.5      0      1          0    8192 57385.501506  -269.500000   59.833868         NaN       NaN 18.264829      NaN
57386.5      0      4          0       0 57386.455503   -16.936464   24.641582   36.563871  0.548198 19.228025      NaN
57387.5      0      4          0       0 57387.453688    25.704875   23.594306    6.448514  0.018589 18.938819      NaN
57388.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57389.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57390.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57391.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57392.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57393.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57394.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57395.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57396.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57397.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57398.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57399.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57400.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57401.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57402.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57403.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57404.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57405.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
57406.5      0      0          0 8388608          NaN          NaN         NaN         NaN       NaN       NaN      NaN
