 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD        uJy      duJy      stdev       x2         m  dm
59618.5      0      2          1    8192 59618.045545  21.926152 24.005542 103.944697 9.338273 18.967841 NaN
59619.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59620.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59621.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59622.5      0      4          0       0 59622.119563 -36.135304 16.239644  11.176612 0.119921 19.680756 NaN
59623.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59624.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59625.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59626.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59627.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59628.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59629.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59630.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59631.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59632.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59633.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59634.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59635.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59636.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59637.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59638.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59639.5      0      4          0       0 59639.348494 -20.438532 15.324778  12.041595 0.153675 19.743711 NaN
59640.5      0      4          0       0 59640.336054   1.536120 15.282139  22.956481 0.566932 19.710954 NaN
59641.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59642.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59643.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59644.5      0      3          0       0 59644.301316   6.537389 17.731614  15.947832 0.269374 19.459478 NaN
59645.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59646.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59647.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59648.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59649.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59650.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59651.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59652.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59653.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59654.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59655.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59656.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59657.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59658.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59659.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59660.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59661.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59662.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59663.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59664.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59665.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59666.5      0      4          0       0 59666.015302 -27.367529 15.746448  26.424421 0.695260 19.714240 NaN
59667.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59668.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59669.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59670.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59671.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59672.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59673.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59674.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59675.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59676.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59677.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59678.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59679.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59680.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59681.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59682.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59683.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59684.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59685.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59686.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59687.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59688.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59689.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59690.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59691.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59692.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59693.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
59694.5      0      0          0 8388608          NaN        NaN       NaN        NaN      NaN       NaN NaN
