         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x       y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
59628.302264 19.212347      NaN    -68    25 o    0   7.34 242.74489 -60.9231  8130.88 9329.94 2.38 2.11 -76.3 -0.404    18.52 19.15 04a59628o0592o       0   53.023818
59628.311925 19.351140      NaN   -127    22 o    0   6.90 242.74489 -60.9231  8112.90 9294.57 2.27 2.14 -77.2 -0.420    18.53 19.20 04a59628o0613o       0   51.677125
59628.315118 19.128787      NaN    -48    27 o    0   8.65 242.74489 -60.9231  8177.23 9369.31 2.27 2.14 -74.8 -0.423    18.57 19.21 04a59628o0620o       0   53.995604
59628.332323 18.878500      NaN    -20    34 o    0   5.33 242.74489 -60.9231  8204.50 9254.06 2.25 2.11 -66.7 -0.437    18.60 19.26 04a59628o0656o       0   57.814576
59632.355545 19.212347      NaN    -15    25 o    0   3.66 242.74489 -60.9231  8162.93 9348.80 2.46 2.28 -71.7 -0.409    18.81 19.80 04a59632o0654o       0   53.023818
59632.358287 19.401649      NaN    -31    21 o    0   2.72 242.74489 -60.9231  8144.07 9311.48 2.95 2.79 -75.8 -0.340    18.59 19.79 04a59632o0660o       0   51.259392
59632.364275 19.351140      NaN    -59    22 o    0   2.77 242.74489 -60.9231  8212.60 9387.83 2.61 2.50 -65.8 -0.380    18.72 19.83 04a59632o0673o       0   51.677125
59632.384545 19.401649      NaN    -20    21 o    0   3.99 242.74489 -60.9231  8252.13 9274.83 2.45 2.31 -71.3 -0.398    18.77 19.84 04a59632o0712o       0   51.259392
59636.359118 18.693037      NaN     34    29 o    0   6.83 242.74489 -60.9231 10257.92 9114.62 2.60 2.25  -1.9 -0.562    19.23 20.60 04a59636o0615o       0   55.022952
59636.368681 18.748255      NaN     19    32 o    0   3.90 242.74489 -60.9231 10243.09 9081.64 2.72 2.35  -3.0 -0.505    19.18 20.63 04a59636o0635o       0   56.661497
59636.372915 18.944322      NaN    -51    32 o    0   7.37 242.74489 -60.9231 10309.82 9156.45 2.79 2.39   2.8 -0.492    19.16 20.58 04a59636o0644o       0   56.661497
59636.376526 19.696897      NaN    -60    16 o    0   3.45 242.74489 -60.9231   294.09 9185.41 2.77 2.04 -86.6 -0.432    18.97 20.56 04a59636o0652o       0   49.421911
59636.384082 18.889197      NaN     35    22 o    0   7.49 242.74489 -60.9231 10340.03 9041.74 2.70 2.32   0.9 -0.484    19.13 20.55 04a59636o0668o       0   51.677125
59636.385900 19.841877      NaN    -39    14 o    0  19.08 242.74489 -60.9231   283.54 9145.30 2.70 1.93 -79.4 -0.420    18.96 20.45 04a59636o0670o       0   48.811118
59638.340489 20.137125 0.339293     32    10 o    0  19.18 242.74489 -60.9231  8358.50 5256.73 2.26 1.93 -25.9 -0.471    19.04 20.84 04a59638o0696o       0   47.817625
59638.343213 20.009244      NaN    -55    12 o    0  10.95 242.74489 -60.9231  8339.78 5220.31 2.22 1.92 -23.2 -0.465    18.99 20.86 04a59638o0702o       0   48.275514
59638.352745 19.922338      NaN    -32    13 o    0  21.83 242.74489 -60.9231  8406.87 5296.21 2.20 1.90 -22.7 -0.476    19.05 20.92 04a59638o0723o       0   48.533754
59638.379300 19.743105 0.306838     46    13 o    0  12.07 242.74489 -60.9231  8451.16 5185.50 2.16 1.86 -19.3 -0.477    18.97 20.80 04a59638o0780o       0   48.533754
59641.329171 19.950541      NaN      2    12 o    0  14.85 242.74489 -60.9231  6090.00 9516.27 2.23 1.84 -76.6 -0.480    19.03 20.69 04a59641o0732o       0   48.275514
59641.331897 20.009244      NaN    -23    12 o    0   8.38 242.74489 -60.9231  6071.29 9478.54 2.30 1.89 -77.1 -0.480    19.00 20.73 04a59641o0738o       0   48.275514
