         MJD         m       dm     uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57985.488562 18.417189      NaN  -134.5    52 c    0   1.05 342.56704 -44.86486  5245.80  2245.59 3.87 3.30  65.6 -0.379    18.06 20.81 02a57985o0524c    8192   58.102029
57985.497318 17.509244      NaN    38.5   120 c    0   1.03 342.56704 -44.86486  5302.92  2323.38 5.63 4.95  61.8 -0.315    17.61 20.46 02a57985o0542c       2  122.767446
57985.504590 19.302877      NaN    51.5    23 c    0   1.07 342.56704 -44.86486  5332.07  2209.79 3.93 3.34  64.4 -0.365    18.70 21.30 02a57985o0557c    8192   34.653221
57989.468219 19.454622      NaN   -56.5    20 c    0   1.06 342.56704 -44.86486  4850.88   977.03 2.89 2.57  65.9 -0.419    18.95 20.57 02a57989o0475c       0   32.739055
57989.479058 18.048890      NaN   -40.5    73 c    0   1.60 342.56704 -44.86486  4839.79   936.55 2.94 2.60  71.9 -0.426    17.89 19.47 02a57989o0497c       2   77.465126
57989.490472 18.550302      NaN   113.5    46 c    0   2.80 342.56704 -44.86486  4897.25  1013.90 2.85 2.57  66.9 -0.425    17.99 19.58 02a57989o0520c       0   52.800054
57989.502358 18.944322      NaN   -12.5    32 c    0   1.14 342.56704 -44.86486  4913.80   895.04 2.82 2.53  72.1 -0.419    18.80 20.39 02a57989o0544c       0   41.180647
58017.415108 19.766969      NaN    -8.5    15 c    0   0.77 342.56704 -44.86486  3722.78  5762.63 2.67 2.41  45.8 -0.451    19.45 21.13 02a58017o0296c       0   29.947383
58017.423389 20.103715      NaN   -26.5    11 c    0   1.87 342.56704 -44.86486  3697.78  5724.14 2.53 2.35  47.5 -0.454    19.45 21.11 02a58017o0314c       0   28.157516
58017.432198 19.766969      NaN    13.5    15 c    0   1.17 342.56704 -44.86486  3754.50  5800.77 2.55 2.41  50.5 -0.446    19.44 21.09 02a58017o0333c       0   29.947383
58017.440532 19.841877      NaN    -4.5    14 c    0   1.12 342.56704 -44.86486  3785.08  5684.18 2.56 2.41  57.1 -0.448    19.40 21.06 02a58017o0351c       0   29.459221
58021.416436 20.103715      NaN    25.5    11 c    0   1.38 342.56704 -44.86486  6407.52  7009.72 2.51 2.43  60.9 -0.454    19.47 21.09 02a58021o0434c       0   28.157516
58021.426118 19.922338      NaN    25.5    13 c    0   1.41 342.56704 -44.86486  6396.50  6969.95 2.45 2.40  69.1 -0.463    19.51 21.09 02a58021o0455c       0   28.997340
58021.434873 19.841877      NaN    -7.5    14 c    0   1.01 342.56704 -44.86486  6454.31  7044.99 2.70 2.53  71.5 -0.447    19.44 21.10 02a58021o0474c       0   29.459221
58281.588338 19.631075      NaN    28.5    17 c    0   1.11 342.56704 -44.86486  4920.59  5157.15 2.53 2.45  -4.0 -0.410    18.93 21.36 02a58281o0706c       0   30.997512
58281.596173 19.631075      NaN     3.5    17 c    0   1.13 342.56704 -44.86486  4946.03  5197.33 2.47 2.37   6.1 -0.416    19.03 21.40 02a58281o0723c       0   30.997512
58281.604063 19.510313      NaN   -13.5    19 c    0   1.15 342.56704 -44.86486  4889.64  5121.18 2.58 2.52 -21.6 -0.412    18.93 21.37 02a58281o0740c       0   32.137917
58281.611897 19.169763      NaN   -37.5    26 c    0   1.20 342.56704 -44.86486  4859.87  5238.05 2.56 2.47  10.3 -0.419    18.54 21.09 02a58281o0757c       0   36.713018
58285.594920 20.009244      NaN    25.5    12 c    0   1.23 342.56704 -44.86486  3791.89  5593.17 2.48 2.41 -58.8 -0.417    19.53 21.29 02a58285o0763c       0   28.563013
58285.602853 20.009244      NaN    -3.5    12 c    0   0.89 342.56704 -44.86486  3802.97  5633.53 2.49 2.43 -40.0 -0.409    19.47 21.15 02a58285o0780c       0   28.563013
58285.610765 19.696897      NaN    24.5    16 c    0   1.42 342.56704 -44.86486  3745.82  5557.93 2.42 2.35 -33.2 -0.423    19.07 20.33 02a58285o0797c       0   30.460560
58285.618636 18.094452      NaN   139.5    70 c    0   1.26 342.56704 -44.86486  3716.34  5674.32 2.43 2.37 -45.1 -0.445    17.66 18.59 02a58285o0814c       2   74.644797
58309.543257 20.207197      NaN    10.5    10 c    0   1.52 342.56704 -44.86486  5572.75  6749.28 2.36 2.32  46.8 -0.442    19.56 21.40 02a58309o0650c       0   27.782112
58309.552426 20.207197      NaN   -12.5    10 c    0   1.07 342.56704 -44.86486  5582.05  6786.49 2.43 2.35 -53.3 -0.423    19.65 21.51 02a58309o0670c       0   27.782112
58309.554257 20.207197      NaN    41.5    10 c    0   1.50 342.56704 -44.86486  5526.67  6709.04 2.36 2.33  57.1 -0.441    19.65 21.52 02a58309o0674c       0   27.782112
58309.563492 20.009244      NaN     1.5    12 c    0   1.00 342.56704 -44.86486  5494.75  6824.92 2.51 2.46  71.8 -0.438    19.63 21.56 02a58309o0694c       0   28.563013
58313.525417 17.203704      NaN    -1.5   159 c    0   1.06 342.56704 -44.86486  4818.69  6517.86 2.54 2.41  -5.0 -0.437    17.52 19.85 02a58313o0258c       2  161.098869
58313.532734 16.304443      NaN   170.5   364 c    0   0.76 342.56704 -44.86486  4775.44  6478.47 2.55 2.46 -18.8 -0.424    17.16 19.61 02a58313o0274c       2  364.921698
58313.534564 16.372132      NaN  -110.5   342 c    0   1.09 342.56704 -44.86486  4842.77  6555.38 2.48 2.41 -12.0 -0.443    16.80 19.21 02a58313o0278c       2  342.980824
58313.547032 19.089302      NaN   -36.5    28 c    0   1.24 342.56704 -44.86486  4755.60  6593.60 2.41 2.38  29.2 -0.430    18.63 20.97 02a58313o0305c    8192   38.155546
58333.586575 19.089302      NaN    71.5    28 c    0   1.12 342.56704 -44.86486  6334.95  3938.78 2.76 2.59  85.0 -0.416    18.63 19.83 02a58333o0748c       0   38.155546
58333.594433 19.051202      NaN    30.5    29 c    0   0.92 342.56704 -44.86486  6322.03  3901.33 2.88 2.70 -83.4 -0.399    18.55 19.79 02a58333o0765c       0   38.895318
58333.603293 19.169763      NaN   145.5    26 c    0   0.93 342.56704 -44.86486  6377.70  3979.43 2.98 2.79 -77.0 -0.403    18.51 19.74 02a58333o0784c       0   36.713018
58337.479029 19.302877      NaN   116.5    23 c    0   0.65 342.56704 -44.86486  4429.46  5051.81 2.50 2.41 -14.3 -0.416    18.90 21.31 02a58337o0528c       0   34.653221
58337.490836 19.302877      NaN   102.5    23 c    0   1.02 342.56704 -44.86486  4452.46  5088.84 2.43 2.38 -70.2 -0.428    18.82 21.21 02a58337o0553c       0   34.653221
58337.499987 19.401649      NaN    77.5    21 c    0   1.21 342.56704 -44.86486  4382.08  5010.39 2.47 2.36 -80.5 -0.422    18.64 21.14 02a58337o0573c       0   33.359342
58337.504563 19.212347      NaN    74.5    25 c    0   1.09 342.56704 -44.86486  4367.56  5124.61 2.47 2.30 -81.4 -0.429    18.59 21.08 02a58337o0583c       0   36.011744
58341.471567 19.922338      NaN   126.5    13 c    0   0.78 342.56704 -44.86486  7113.16  4467.24 2.75 2.54 -50.8 -0.402    19.54 21.35 02a58341o0518c       0   28.997340
58341.481522 20.449472      NaN   133.5     8 c    0   2.10 342.56704 -44.86486  7122.58  4504.55 2.74 2.55 -56.7 -0.406    19.54 21.37 02a58341o0539c       0   27.126476
