         MJD         m       dm      uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57922.611890 19.256669      NaN    -47.5    24 o    0   1.07 342.56704 -44.86486  5543.30   313.29 4.47 3.54  -0.7 -0.368    18.57 19.86 01a57922o0747o    8192    42.250893
57922.619278 18.729535      NaN     29.5    39 o    0   0.96 342.56704 -44.86486  5506.13   245.89 3.52 3.39  70.9 -0.419    18.24 19.00 01a57922o0762o    8192    52.250722
57923.595740 15.358399      NaN   -209.5   870 o    0   1.17 342.56704 -44.86486  3215.41  9869.29 2.42 2.27  19.8 -0.437    15.01 16.58 02a57923o0702o 8388610   870.694630
57923.602638 15.970684      NaN   -230.5   495 o    0   0.81 342.56704 -44.86486  3241.75  9907.40 2.37 2.23  16.5 -0.488    15.80 17.41 02a57923o0716o 8388610   496.219848
57938.563722 19.696897      NaN    -19.5    16 o    0   1.58 342.56704 -44.86486  6534.30  2575.65 4.83 3.74  -6.9 -0.394    18.94 20.87 01a57938o0550o       0    38.277121
57938.572089 19.696897      NaN      7.5    16 o    0   1.07 342.56704 -44.86486  6496.78  2507.06 4.12 3.79 -42.9 -0.407    19.11 20.93 01a57938o0567o       0    38.277121
57938.579480 19.510313      NaN     -1.5    19 o    0   2.75 342.56704 -44.86486  6543.78  2556.27 5.37 4.86 -14.4 -0.307    18.80 20.95 01a57938o0582o       0    39.624966
57938.587368 19.766969      NaN     17.5    15 o    0   1.31 342.56704 -44.86486  6563.57  2409.75 4.32 3.70 -19.1 -0.379    19.06 21.00 01a57938o0598o       0    37.870014
57954.546181 19.169763      NaN     -6.5    26 o    0   0.87 342.56704 -44.86486  5064.48  9051.98 3.85 3.44 -59.5 -0.411    18.80 20.43 01a57954o0685o       0    43.418176
57954.552235 19.569016      NaN    -14.5    18 o    0   1.28 342.56704 -44.86486  5651.42  1180.27 3.92 2.98  86.5 -0.422    18.90 20.45 01a57954o0697o       0    39.155306
57954.556365 19.454622      NaN    -24.5    20 o    0   1.09 342.56704 -44.86486  5046.95  9053.70 4.01 3.47 -74.8 -0.395    18.91 20.48 01a57954o0705o       0    40.114062
57954.565082 19.510313      NaN    -60.5    19 o    0   1.15 342.56704 -44.86486  5029.32  9203.68 4.35 3.56 -83.6 -0.390    18.87 20.49 01a57954o0723o       0    39.624966
57958.529549 19.696897      NaN     17.5    16 o    0   1.80 342.56704 -44.86486  5658.38   754.59 4.13 3.15  80.9 -0.397    18.91 20.63 01a57958o0323o       0    38.277121
57958.543151 19.569016      NaN     16.5    18 o    0   0.99 342.56704 -44.86486  5636.32   662.42 3.82 3.02  81.6 -0.409    19.00 20.74 01a57958o0350o       0    39.155306
57958.551648 19.766969      NaN     -4.5    15 o    0   1.54 342.56704 -44.86486  5071.88  9584.22 4.22 3.50 -78.1 -0.391    19.04 20.81 01a57958o0367o       0    37.870014
57958.561898 19.510313      NaN     -4.5    19 o    0   1.17 342.56704 -44.86486  5069.55  9742.77 4.47 3.71 -80.3 -0.369    18.98 20.89 01a57958o0387o       0    39.624966
57960.529827 18.550302      NaN    -35.5    46 o    0   0.93 342.56704 -44.86486  6148.41   137.17 3.19 2.58  46.5 -0.434    18.42 20.73 02a57960o0573o       0    57.664009
