         MJD         m       dm    uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  Mask   duJy_new
57314.399858 19.569016      NaN   -4.0    18 c    0   1.02 16.89015 23.47619  2029.59  3411.33 4.86 3.77 -29.1 -0.442    19.50 21.49 02a57314o0297c     0  22.284922
57314.426391 19.631075      NaN   -4.0    17 c    0   1.02 16.89015 23.47619  8628.71  7233.11 4.40 3.75 -89.3 -0.451    19.48 21.52 02a57314o0334c     0  21.485291
57314.451541 19.569016      NaN  -39.0    18 c    0   1.03 16.89015 23.47619  7155.51  8672.29 4.36 3.75 -77.2 -0.442    19.46 21.49 02a57314o0369c     0  22.284922
57314.480570 19.271854      NaN   24.0    17 c    0   1.05 16.89015 23.47619  7153.27  8673.85 4.23 3.65 -80.9 -0.449    19.43 21.39 02a57314o0410c     0  21.485291
57402.263613 19.351140      NaN  -25.0    22 c    0   0.99 16.89015 23.47619  9004.20  6982.82 4.20 3.46  84.3 -0.454    19.15 20.75 02a57402o0123c     0  25.624554
57402.279354 19.287255      NaN   14.0    20 c    0   1.30 16.89015 23.47619  9291.02  7575.51 4.20 3.51  84.4 -0.457    19.13 20.73 02a57402o0149c     0  23.929433
57402.295900 19.241693      NaN    8.0    23 c    0   0.84 16.89015 23.47619  8416.66  6395.29 3.98 3.45  85.6 -0.450    19.10 20.66 02a57402o0176c     0  26.488068
57402.311875 19.002397      NaN   26.0    23 c    0   1.10 16.89015 23.47619  8130.85  8139.99 3.98 3.43  88.6 -0.453    19.06 20.57 02a57402o0202c     0  26.488068
57403.263732 18.878500      NaN  -15.0    34 c    0   0.92 16.89015 23.47619  9008.31  6979.24 4.13 3.41  82.3 -0.474    18.87 20.20 02a57403o0123c     0  36.450209
57403.279582 18.944322      NaN   16.0    28 c    0   1.42 16.89015 23.47619  9296.61  7570.67 4.20 3.45  84.4 -0.462    18.83 20.15 02a57403o0149c     0  30.929238
57403.296299 18.978793      NaN    7.0    30 c    0   1.00 16.89015 23.47619  8420.40  6391.58 4.01 3.30  87.2 -0.482    18.82 20.10 02a57403o0176c     0  32.750843
57403.312298 18.978793      NaN  -35.0    31 c    0   1.28 16.89015 23.47619  8134.43  8137.16 3.97 3.52  87.5 -0.464    18.76 20.01 02a57403o0202c     0  33.669240
57420.255655 19.454622      NaN    2.0    20 c    0   1.00 16.89015 23.47619  9473.80  6296.35 4.42 4.08  82.7 -0.386    19.24 21.15 02a57420o0043c  8192  23.929433
57420.275042 19.271854      NaN   15.0    20 c    0   0.96 16.89015 23.47619  9296.41  6410.19 4.46 4.02  82.2 -0.394    19.21 21.11 02a57420o0074c  8192  23.929433
57427.217360 18.504094      NaN -100.0    48 c    0   1.49 16.89015 23.47619  8514.31  7406.69 4.29 3.95  79.9 -0.417    18.49 19.61 02a57427o0041c     0  49.765628
57427.226573 19.351140      NaN  -17.0    22 c    0   0.94 16.89015 23.47619  8230.28  6824.32 4.11 3.64  77.7 -0.455    19.13 20.76 02a57427o0056c     0  25.624554
57427.242898 19.454622      NaN   -6.0    20 c    0   1.13 16.89015 23.47619  9433.59  6272.46 4.12 3.48  80.7 -0.477    19.21 20.90 02a57427o0082c     0  23.929433
57427.261857 19.302877      NaN  -32.0    23 c    0   1.13 16.89015 23.47619  9407.73  6338.81 4.10 3.49  80.6 -0.475    19.16 20.84 02a57427o0113c     0  26.488068
57432.250176 18.574166      NaN   40.0    33 c    0   1.12 16.89015 23.47619  9373.65  6323.18 4.18 3.33  85.3 -0.480    18.70 19.91 02a57432o0103c  8192  35.519259
57606.578511 19.816329      NaN   11.0    12 c    0   1.26 16.89015 23.47619  2147.99  4537.62 4.11 3.57 -32.8 -0.436    19.77 21.89 02a57606o0405c     0  17.793756
57606.599687 19.529530      NaN   24.0    12 c    0   1.30 16.89015 23.47619  2089.39  4462.32 4.11 3.53 -34.1 -0.445    19.78 21.91 02a57606o0432c     0  17.793756
57606.617606 19.569016      NaN  -22.0    18 c    0   0.94 16.89015 23.47619  8474.84  5923.82 5.51 4.33   4.7 -0.358    19.51 21.83 02a57606o0455c     0  22.284922
57606.628361 19.302877      NaN  -35.0    23 c    0   1.06 16.89015 23.47619  8438.06  5979.07 4.16 3.70  83.2 -0.444    19.07 20.56 02a57606o0469c     0  26.488068
