         MJD         m       dm    uJy  duJy F  err  chi/N       RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57319.299765 18.504094      NaN    -28    48 o    0   1.06 16.89015 23.47619  1969.95  3390.97  4.94 3.67 -32.2 -0.535    18.24 19.30 02a57319o0184o       0   51.946685
57319.320985 18.623526      NaN    -27    43 o    0   1.26 16.89015 23.47619  1973.15  3398.23  5.00 3.63 -36.6 -0.525    18.28 19.35 02a57319o0215o       0   47.365157
57319.350318 18.574166      NaN      6    45 o    0   1.22 16.89015 23.47619  3432.49  1968.44  5.39 3.78 -17.2 -0.516    18.35 19.48 02a57319o0258o       0   49.187987
57319.370483 18.424171      NaN     15    49 o    0   0.88 16.89015 23.47619  3436.63  1973.58  5.16 3.52 -14.5 -0.532    18.39 19.49 02a57319o0286o       0   52.872092
57323.427855 18.079051      NaN   -131    71 o    0   1.08 16.89015 23.47619  8706.65  7244.92  4.31 4.14  86.3 -0.473    17.84 18.60 02a57323o0383o 8388610   73.725559
57323.458752 18.005163      NaN    -77    76 o    0   1.16 16.89015 23.47619  8698.28  7250.04  4.14 3.46  87.1 -0.501    17.91 18.52 02a57323o0427o 8388610   78.552263
57323.487457 17.564935      NaN     64    95 o    0   1.07 16.89015 23.47619  7230.23  8688.00  4.00 3.33 -84.2 -0.508    17.90 18.47 02a57323o0470o 8388610   97.053893
57323.516236 17.558604      NaN     39   104 o    0   1.38 16.89015 23.47619  7225.35  8689.69  3.99 3.32 -81.4 -0.504    17.83 18.37 02a57323o0512o 8388610  105.879451
57327.402339 18.786693      NaN    -23    37 o    0   1.01 16.89015 23.47619  8748.74  7259.37  4.33 3.43 -90.0 -0.502    18.72 20.21 02a57327o0328o       0   41.993548
57327.425998 18.944322      NaN    -27    32 o    0   1.12 16.89015 23.47619  8743.86  7262.24  4.34 3.21 -89.7 -0.453    18.71 20.18 02a57327o0361o       0   37.662423
57327.451621 19.014394      NaN     -2    30 o    0   1.65 16.89015 23.47619  7274.10  8701.37  4.17 3.09 -83.8 -0.466    18.68 20.10 02a57327o0398o       0   35.978578
57327.497029 18.878500      NaN    -15    34 o    0   1.08 16.89015 23.47619  7272.19  8704.21  4.20 3.13 -83.5 -0.466    18.58 19.94 02a57327o0464o       0   39.375857
57362.301365 19.454622      NaN    -11    20 o    0   1.00 16.89015 23.47619  9194.32  6768.80  3.94 3.30  82.2 -0.466    19.23 20.95 02a57362o0170o       0   28.186133
57362.319802 19.212347      NaN     19    21 o    0   1.12 16.89015 23.47619  9476.90  7361.36  4.01 3.47  86.0 -0.461    19.23 21.02 02a57362o0196o       0   28.904292
57362.336158 19.401649      NaN    -17    21 o    0   0.86 16.89015 23.47619  8597.17  6183.94  4.10 3.65  83.9 -0.452    19.16 20.98 02a57362o0219o       0   28.904292
57362.365609 19.401649      NaN      7    21 o    0   1.18 16.89015 23.47619  8305.99  7937.71  4.05 3.58  86.9 -0.449    19.16 20.95 02a57362o0260o       0   28.904292
57363.304171 19.454622      NaN     -8    20 o    0   1.17 16.89015 23.47619  9199.25  6769.16  3.80 3.18  85.1 -0.450    19.14 20.71 02a57363o0143o       0   28.186133
57363.341914 19.454622      NaN      2    20 o    0   1.03 16.89015 23.47619  8602.45  6187.50  3.79 3.27  85.7 -0.449    19.15 20.78 02a57363o0196o       0   28.186133
57363.352922 19.287255      NaN     17    20 o    0   1.01 16.89015 23.47619  8313.65  7935.13  3.69 3.21  88.5 -0.456    19.18 20.79 02a57363o0211o       0   28.186133
57415.214367 18.034118      NaN     73    52 o    0   0.96 16.89015 23.47619  8179.95  7628.10  3.88 3.32  82.5 -0.467    18.40 19.35 02a57415o0045o       0   55.663795
