         MJD         m       dm    uJy  duJy F  err  chi/N        RA    Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57323.614158 18.356290      NaN    -47    55 o    0   1.15 151.71196 1.6928  1967.14  6865.44 4.52 3.47 -62.4 -0.457    18.05 18.98 02a57323o0649o    8192    63.323686
57323.635445 18.459772      NaN    -82    50 o    0   1.03 151.71196 1.6928  1953.44  6869.73 4.55 3.41 -64.5 -0.438    18.15 19.11 02a57323o0677o    8192    59.032950
57388.670672 17.555452      NaN   -139   115 o    0   1.00 151.71196 1.6928  9047.85  3491.34 3.68 3.43  41.5 -0.493    18.33 19.23 02a57388o0757o 8388610   119.205240
57408.489698 18.702047      NaN     20    34 o    0   1.19 151.71196 1.6928  2288.07  6635.59 3.78 3.44 -74.9 -0.449    18.62 19.64 02a57408o0484o       0    46.269744
57408.528655 18.900000      NaN     15    29 o    0   1.03 151.71196 1.6928  8181.20  3482.09 3.51 3.35  84.5 -0.456    18.69 19.75 02a57408o0541o       0    42.730424
57408.549440 19.014394      NaN    -51    30 o    0   1.13 151.71196 1.6928  9049.21  4649.63 3.57 3.12  86.9 -0.457    18.69 19.74 02a57408o0571o       0    43.415310
57408.562516 18.978793      NaN     -4    31 o    0   1.23 151.71196 1.6928  9351.08  2904.64 3.56 3.32  73.1 -0.480    18.71 19.75 02a57408o0590o       0    44.112234
57444.516408 18.786693      NaN    -54    37 o    0   0.98 151.71196 1.6928  8390.85  3316.98 3.95 3.73  56.2 -0.463    18.51 19.55 02a57444o0235o    8192    48.516896
57444.559296 18.623526      NaN    -13    43 o    0   1.15 151.71196 1.6928  9295.89  2895.33 4.06 3.62  49.0 -0.478    18.41 19.34 02a57444o0266o    8192    53.234286
57445.476574 18.847027      NaN     29    26 o    0   1.08 151.71196 1.6928  8131.89  4164.68 3.59 3.31  71.1 -0.477    18.86 20.03 02a57445o0538o       0    40.754008
57445.498795 19.128787      NaN      5    26 o    0   1.03 151.71196 1.6928  7845.74  3582.86 3.52 3.37  57.0 -0.482    18.83 19.98 02a57445o0579o       0    40.754008
57445.521180 18.978793      NaN     -9    31 o    0   1.04 151.71196 1.6928  9015.02  3005.54 3.93 3.53  42.4 -0.494    18.77 19.92 02a57445o0620o       0    44.112234
57445.543432 18.816441      NaN    -30    36 o    0   0.97 151.71196 1.6928  9291.78  2891.49 3.87 3.48  35.3 -0.516    18.71 19.82 02a57445o0661o       0    47.758656
57464.425046 18.729535      NaN     23    32 o    0   0.97 151.71196 1.6928  8169.78  3764.75 3.83 3.60  58.2 -0.490    18.79 20.15 02a57464o0443o       0    44.820633
57464.447163 19.169763      NaN    -55    26 o    0   1.28 151.71196 1.6928  7882.18  3183.78 3.92 3.67  29.9 -0.490    18.76 20.11 02a57464o0486o       0    40.754008
57464.469392 18.816441      NaN    -36    36 o    0   1.01 151.71196 1.6928  9052.35  2606.28 4.20 3.68  34.6 -0.521    18.72 20.04 02a57464o0529o       0    47.758656
57464.491854 18.623526      NaN     23    36 o    0   1.14 151.71196 1.6928  9288.42  2881.65 4.25 3.78  41.0 -0.503    18.68 20.02 02a57464o0572o       0    47.758656
57472.425158 18.675237      NaN   -112    41 o    0   1.17 151.71196 1.6928  8225.44  4137.17 3.82 3.41  78.2 -0.501    18.31 19.15 02a57472o0411o       0    51.632249
57472.446376 18.574166      NaN    -57    45 o    0   1.29 151.71196 1.6928  7936.19  3558.22 3.72 3.41  65.6 -0.492    18.28 19.08 02a57472o0450o       0    54.862457
57472.467552 18.376212      NaN    -75    54 o    0   1.00 151.71196 1.6928  9109.57  2981.71 4.20 3.78  51.3 -0.498    18.22 19.05 02a57472o0489o       0    62.457099
57472.488772 18.298627      NaN    -32    58 o    0   1.18 151.71196 1.6928  9271.47  2886.85 4.16 3.59  56.9 -0.504    18.17 18.93 02a57472o0528o       0    65.946108
57476.398609 19.128787      NaN     -9    27 o    0   0.87 151.71196 1.6928  8503.06  3807.92 3.93 3.58  67.9 -0.490    19.03 20.58 02a57476o0374o       0    41.399145
57476.420877 18.990530      NaN     13    27 o    0   1.06 151.71196 1.6928  8215.48  3228.29 4.11 3.84  37.8 -0.464    18.92 20.43 02a57476o0417o       0    41.399145
57476.442997 19.051202      NaN    -89    29 o    0   1.39 151.71196 1.6928  9390.38  2649.61 4.72 4.08  32.2 -0.458    18.83 20.36 02a57476o0460o       0    42.730424
57476.465698 18.944322      NaN     -8    32 o    0   1.21 151.71196 1.6928  9273.45  2887.40 4.36 3.89  41.4 -0.477    18.78 20.20 02a57476o0503o       0    44.820633
57493.332406 18.847027      NaN     11    32 o    0   1.10 151.71196 1.6928  8318.39  3856.92 4.00 3.55  72.2 -0.480    18.62 19.73 02a57493o0240o       0    44.820633
57493.350276 18.431198      NaN     36    40 o    0   0.80 151.71196 1.6928  8028.20  3278.83 3.87 3.63  59.9 -0.483    18.57 19.64 02a57493o0274o       0    50.841805
57493.370744 18.615142      NaN     24    36 o    0   1.34 151.71196 1.6928  9202.22  2700.27 4.01 3.56  66.5 -0.500    18.59 19.65 02a57493o0309o       0    47.758656
57493.386674 18.757738      NaN    -98    38 o    0   1.12 151.71196 1.6928  9277.47  2876.07 4.07 3.60  53.2 -0.505    18.52 19.53 02a57493o0337o       0    49.283762
57497.363504 18.273950      NaN     18    54 o    0   1.21 151.71196 1.6928  8646.19  3765.48 3.97 3.30  84.8 -0.521    18.16 18.89 02a57497o0217o    8192    62.457099
57497.378209 16.584144      NaN     60   262 o    0   1.02 151.71196 1.6928  8629.41  3728.44 4.13 3.69  67.8 -0.531    16.75 16.53 02a57497o0247o       2   263.872866
57497.393074 15.673244      NaN    788   389 o    0   1.00 151.71196 1.6928  8688.95  3806.04 4.68 4.22  63.2 -0.470    16.37 16.11 02a57497o0277o       2   390.263871
57499.380862 18.298627      NaN    -85    58 o    0   1.00 151.71196 1.6928  8637.44  3762.40 4.05 3.48  79.9 -0.490    18.07 18.75 02a57499o0318o    8192    65.946108
57499.393940 18.280067      NaN    -31    59 o    0   1.16 151.71196 1.6928  8618.66  3723.63 4.05 3.50  75.6 -0.482    18.02 18.62 02a57499o0344o    8192    66.827309
57499.405548 17.762888      NaN     86    67 o    0   0.71 151.71196 1.6928  8678.36  3800.36 3.98 3.41  75.4 -0.484    18.01 18.58 02a57499o0367o       2    73.985736
57499.417703 17.986280      NaN     24    70 o    0   0.99 151.71196 1.6928  8698.00  3684.16 4.02 3.46  75.2 -0.482    17.94 18.48 02a57499o0391o       2    76.713031
57505.339921 19.256669      NaN      1    24 o    0   1.03 151.71196 1.6928  8649.86  3761.60 3.96 3.58  69.3 -0.477    19.08 20.72 02a57505o0231o       0    39.508090
57505.352662 19.256669      NaN    -19    24 o    0   0.90 151.71196 1.6928  8690.65  3723.51 4.13 3.81  62.9 -0.456    19.08 20.74 02a57505o0256o       0    39.508090
57505.366772 19.128787      NaN    -40    27 o    0   0.95 151.71196 1.6928  8632.23  3704.40 4.19 3.90  60.6 -0.446    18.98 20.59 02a57505o0283o       0    41.399145
57505.382249 18.796518      NaN     31    27 o    0   1.21 151.71196 1.6928  8709.89  3782.00 3.98 3.61  64.0 -0.472    18.81 20.18 02a57505o0313o       0    41.399145
57505.398221 18.786693      NaN    -28    37 o    0   0.88 151.71196 1.6928  8610.92  3802.38 4.52 4.28  53.2 -0.412    18.56 19.97 02a57505o0344o       0    48.516896
57525.276866 18.438271      NaN    -79    51 o    0   1.40 151.71196 1.6928  9705.92  2944.63 4.65 3.86  71.0 -0.514    18.20 19.19 02a57525o0112o       0    59.882294
57525.289192 18.504094      NaN    -74    48 o    0   1.17 151.71196 1.6928  9684.16  2907.42 4.62 3.85  73.6 -0.501    18.24 19.21 02a57525o0135o       0    57.348838
57525.301326 18.481707      NaN    -51    49 o    0   1.24 151.71196 1.6928  9744.16  2985.29 4.52 3.74  72.9 -0.498    18.31 19.24 02a57525o0157o       0    58.188394
57525.304322 17.762888      NaN    -85    95 o    0   0.74 151.71196 1.6928    47.40  2852.25 5.25 3.78 -35.1 -0.422    18.33 19.26 02a57525o0163o       2   100.049434
57525.312915 18.459772      NaN   -112    50 o    0   1.17 151.71196 1.6928  9768.10  2868.83 4.46 3.81  66.2 -0.494    18.30 19.19 02a57525o0177o       0    59.032950
