         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57240.372771 18.757738      NaN   -28    38 o    0   0.87 262.01637 30.69206  4995.28  3256.30 3.64 3.47 -65.8 -0.470    19.28 21.02 02a57240o0058o    8192   42.200703
57319.246353 18.417189      NaN  -133    52 o    0   1.60 262.01637 30.69206  6564.22  1833.35 5.06 3.71  -2.7 -0.501    18.14 19.19 02a57319o0104o    8192   55.144350
57324.210159 18.729535      NaN   -31    39 o    0   0.99 262.01637 30.69206  6599.67  1843.51 4.88 3.95  -0.6 -0.468    18.69 20.19 02a57324o0063o    8192   43.103356
57324.228170 17.833722      NaN    67    65 o    0   0.82 262.01637 30.69206  6596.77  1841.88 4.54 3.52  -3.2 -0.475    18.41 19.60 02a57324o0091o       2   67.541834
57463.619764 19.401649      NaN   -22    21 o    0   0.81 262.01637 30.69206  4133.65  8349.71 3.59 3.33 -77.7 -0.469    19.43 21.30 02a57463o0642o    8192   27.890846
57463.657790 17.527492      NaN   -52   118 o    0   1.19 262.01637 30.69206  4416.05  8949.04 3.62 3.41 -82.6 -0.486    18.06 18.64 02a57463o0688o       2  119.419007
57471.591771 18.598565      NaN   -79    44 o    0   1.14 262.01637 30.69206  4643.50  8718.59 3.49 3.24 -82.4 -0.495    18.54 19.49 02a57471o0523o       0   47.674934
57471.608228 18.786693      NaN   -65    37 o    0   0.94 262.01637 30.69206  4940.91  9308.39 3.49 3.33 -73.4 -0.482    18.56 19.53 02a57471o0553o       0   41.302534
57471.626923 18.623526      NaN   -71    43 o    0   0.89 262.01637 30.69206  3753.13  9897.03 3.76 3.57 -43.4 -0.458    18.55 19.55 02a57471o0586o       0   46.753602
57471.631450 18.362890      NaN    15    48 o    0   1.12 262.01637 30.69206  5869.17   169.44 4.74 2.96   2.1 -0.515    18.55 19.61 02a57471o0594o       0   51.389681
57471.645522 17.986280      NaN    53    58 o    0   1.12 262.01637 30.69206  3472.44  9760.97 3.60 2.62 -66.7 -0.498    18.12 19.42 02a57471o0619o       0   60.835017
57471.650093 13.930388      NaN   587  3044 o    0   0.30 262.01637 30.69206  5602.90    37.56 3.14 2.96 -24.8 -0.531    17.70 18.90 02a57471o0627o       2 3044.055338
57475.616801 18.978793      NaN   -13    31 o    0   0.90 262.01637 30.69206  4277.32  8571.28 3.60 3.31 -74.3 -0.485    18.78 20.06 02a57475o0645o    8192   36.026370
57475.633887 18.526952      NaN    43    31 o    0   0.99 262.01637 30.69206  6055.98  1521.43 4.38 3.24   2.2 -0.523    18.80 20.08 02a57475o0672o    8192   36.026370
57524.468592 18.298627      NaN   -56    58 o    0   1.48 262.01637 30.69206  3040.18  9144.24 3.68 3.42 -66.6 -0.482    17.25 18.35 02a57524o0373o       0   60.835017
57524.481719 18.623526      NaN   -15    43 o    0   1.15 262.01637 30.69206  3061.33  9181.09 3.73 3.53 -65.5 -0.457    18.05 19.53 02a57524o0399o       0   46.753602
57524.492730 18.757738      NaN   -14    38 o    0   0.78 262.01637 30.69206  3007.22  9102.31 3.67 3.49 -66.8 -0.470    18.11 19.48 02a57524o0420o       0   42.200703
57524.515449 17.862567      NaN     9    82 o    0   1.39 262.01637 30.69206  2968.60  9217.07 3.60 3.52 -55.8 -0.455    17.96 19.36 02a57524o0463o       2   84.029158
57524.520552 18.286218      NaN    48    41 o    0   1.09 262.01637 30.69206  7510.85  1378.00 4.73 3.49   6.1 -0.475    18.24 19.64 02a57524o0473o       0   44.921034
57528.466907 18.702047      NaN   -13    40 o    0   1.20 262.01637 30.69206  5080.85  7457.29 3.78 3.28 -82.7 -0.495    18.36 19.21 02a57528o0463o       0   44.010218
57528.474094 18.786693      NaN   -25    37 o    0   1.34 262.01637 30.69206  5096.61  7493.82 3.68 3.28 -82.2 -0.486    18.39 19.24 02a57528o0477o       0   41.302534
57528.483760 18.729535      NaN   -87    39 o    0   1.28 262.01637 30.69206  5026.40  7414.26 3.82 3.44 -79.0 -0.468    18.36 19.27 02a57528o0496o       0   43.103356
57528.502206 18.729535      NaN   -49    39 o    0   1.14 262.01637 30.69206  5517.14  2999.17 4.40 3.67  -3.4 -0.430    18.31 19.30 02a57528o0532o       0   43.103356
57528.510803 18.816441      NaN   -69    36 o    0   1.05 262.01637 30.69206  5467.08  3061.54 4.02 3.61  -7.8 -0.452    18.37 19.35 02a57528o0548o       0   40.409149
57532.464291 18.910912      NaN   -76    33 o    0   0.99 262.01637 30.69206  3765.22  7006.80 3.66 3.24 -69.3 -0.499    18.61 19.69 02a57532o0416o       0   37.761082
57532.478094 18.445391      NaN    45    34 o    0   0.98 262.01637 30.69206  3782.05  7045.98 3.71 3.35 -71.7 -0.490    18.61 19.73 02a57532o0439o       0   38.638055
57532.486632 18.878500      NaN   -27    34 o    0   1.09 262.01637 30.69206  6795.83  3569.09 3.73 3.70  41.7 -0.479    18.56 19.64 02a57532o0454o       0   38.638055
57532.496213 18.481707      NaN    37    35 o    0   0.98 262.01637 30.69206  6829.40  3455.90 4.29 3.69   6.0 -0.448    18.51 19.66 02a57532o0468o       0   39.520872
57532.518807 18.910912      NaN   -19    33 o    0   1.12 262.01637 30.69206  6785.91  3521.96 3.63 3.53  43.9 -0.491    18.60 19.63 02a57532o0509o       0   37.761082
57534.349916 19.302877      NaN   -65    23 o    0   1.14 262.01637 30.69206  1949.72  5017.36 3.78 3.45 -49.8 -0.468    19.00 20.51 02a57534o0013o       0   29.426167
57534.350399 19.212347      NaN   -46    25 o    0   0.90 262.01637 30.69206  1949.60  5017.53 3.77 3.45 -51.6 -0.466    18.99 20.49 02a57534o0014o       0   31.014502
