         MJD         m       dm    uJy  duJy F  err  chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask
57314.566248 19.510313      NaN      1    19 c    0   0.86 105.8277 23.02908  7183.50  4196.58 4.10 3.94   8.3 -0.435    19.34 21.24 02a57314o0534c       0
57314.588577 19.472870      NaN     10    17 c    0   1.11 105.8277 23.02908  7178.03  4201.64 4.11 4.00   1.0 -0.437    19.34 21.23 02a57314o0567c       0
57314.617953 19.197966      NaN     18    20 c    0   1.06 105.8277 23.02908  8643.08  2745.13 4.54 3.92  24.3 -0.457    19.34 21.16 02a57314o0603c       0
57314.650400 18.356290      NaN   -123    55 c    0   1.38 105.8277 23.02908  8643.13  2752.92 4.34 3.74  25.2 -0.478    18.25 18.91 02a57314o0640c       0
57390.401535 19.922338      NaN     -4    13 c    0   1.14 105.8277 23.02908  6878.11  4541.73 3.72 3.52  84.3 -0.405    19.53 21.45 02a57390o0328c       0
57390.414674 19.766969      NaN     -7    15 c    0   0.90 105.8277 23.02908  6595.86  3965.79 3.72 3.64 -86.2 -0.405    19.54 21.48 02a57390o0349c       0
57390.430757 19.841877      NaN     -9    14 c    0   0.95 105.8277 23.02908  7463.84  5129.97 3.75 3.48  87.8 -0.401    19.56 21.50 02a57390o0374c       0
57391.389546 19.766969      NaN    -14    15 c    0   0.90 105.8277 23.02908  6876.11  4539.59 3.70 3.59  82.4 -0.414    19.52 21.43 02a57391o0314c       0
57391.406304 19.549093      NaN     12    15 c    0   0.90 105.8277 23.02908  6595.81  3963.46 3.65 3.60 -86.1 -0.416    19.56 21.48 02a57391o0340c       0
57391.423805 19.791368      NaN      4    14 c    0   1.16 105.8277 23.02908  7464.93  5127.17 3.75 3.45  85.3 -0.405    19.56 21.50 02a57391o0352c       0
57391.429493 19.631075      NaN     11    14 c    0   1.36 105.8277 23.02908  7760.09  3385.07 3.75 3.69  32.0 -0.405    19.56 21.52 02a57391o0361c       0
57392.381987 19.631075      NaN    -21    17 c    0   1.18 105.8277 23.02908  6871.10  4468.43 4.33 4.28  82.0 -0.395    19.31 21.33 02a57392o0208c       0
57392.398858 19.051202      NaN     38    17 c    0   0.99 105.8277 23.02908  6566.63  3881.60 4.36 4.27 -10.1 -0.385    19.35 21.38 02a57392o0234c    4096
57392.415486 19.841877      NaN    -18    14 c    0   1.25 105.8277 23.02908  7410.85  5036.98 3.81 3.53  87.3 -0.422    19.50 21.42 02a57392o0260c       0
57392.442501 19.696897      NaN     -9    16 c    0   1.15 105.8277 23.02908  2849.56  7182.94 4.01 3.73 -59.7 -0.412    19.49 21.42 02a57392o0300c       0
57402.413397 19.841877      NaN    -18    14 c    0   1.35 105.8277 23.02908  3877.50  6164.57 3.81 3.53 -72.4 -0.414    19.60 21.53 02a57402o0357c       0
57402.440055 19.841877      NaN     -6    14 c    0   1.21 105.8277 23.02908  4155.09  6743.72 3.70 3.48 -85.5 -0.409    19.60 21.52 02a57402o0395c       0
