 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD          uJy        duJy       stdev           x2         m       dm
57300.5      0      1          1 8388608 57300.550680  4517.000000 4132.102227         NaN          NaN 13.329429      NaN
57301.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57302.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57303.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57304.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57305.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57306.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57307.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57308.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57309.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57310.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57311.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57312.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57313.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57314.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57315.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57316.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57317.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57318.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57319.5      0      2          0    8192 57319.593504   -17.257037   33.325384    7.071068 2.201370e-02 18.900259      NaN
57320.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57321.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57322.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57323.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57324.5      0      1          5    8192 57324.623155   -48.000000   62.207817         NaN          NaN 18.222584      NaN
57325.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57326.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57327.5      0      1          1 8388608 57327.648807  -129.000000   86.998922         NaN          NaN 17.858412      NaN
57328.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57329.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57330.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57331.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57332.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57333.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57334.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57335.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57336.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57337.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57338.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57339.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57340.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57341.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
57342.5      0      0          0 8388608          NaN          NaN         NaN         NaN          NaN       NaN      NaN
