 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD        uJy      duJy     stdev       x2         m  dm
59586.5      0      4          0       0 59586.027631 -10.397359 14.820344 32.949456 1.208097 19.780051 NaN
59587.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59588.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59589.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59590.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59591.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59592.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59593.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59594.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59595.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59596.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59597.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59598.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59599.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59600.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59601.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59602.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59603.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59604.5      0      6          0       0 59604.923984 -34.828758 11.660301 18.060085 0.379017 20.040422 NaN
59605.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59606.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59607.5      0      4          0       0 59607.931526 -27.840054 14.295584 13.326040 0.217930 19.819192 NaN
59608.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59609.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59610.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59611.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59612.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59613.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59614.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59615.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59616.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59617.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59618.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59619.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59620.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59621.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59622.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59623.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59624.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59625.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59626.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59627.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59628.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
59629.5      0      0          0 8388608          NaN        NaN       NaN       NaN      NaN       NaN NaN
