 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD         uJy       duJy       stdev       x2         m       dm
59577.5      0      3          0       0 59577.983956  -50.927929  24.239195   25.238859 0.359786 19.245901      NaN
59578.5      0      5          0       0 59578.778554  -25.358419  18.566752   34.975706 0.705896 19.535357      NaN
59579.5      0     10          2       0 59579.443478  -40.881465  13.744755   57.681983 1.432350 19.861854      NaN
59580.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59581.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59582.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59583.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59584.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59585.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59586.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59587.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59588.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59589.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59590.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59591.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59592.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59593.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59594.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59595.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59596.5      0      8          0       0 59596.932707  -38.242401  17.055984   21.731725 0.210456 19.627505      NaN
59597.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59598.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59599.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59600.5      0      6          0       0 59600.949292  -27.303353  18.020462   36.057824 0.653430 19.567782      NaN
59601.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59602.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59603.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59604.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59605.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59606.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59607.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59608.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59609.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59610.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59611.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59612.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59613.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59614.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59615.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59616.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59617.5      0      4          0       0 59617.870606    5.286704  20.888420   59.654561 2.084409 19.319495      NaN
59618.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59619.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59620.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59621.5      0      4          0       0 59621.931492   -0.822142  21.460679   24.772296 0.334344 19.378088      NaN
59622.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59623.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59624.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59625.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59626.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59627.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59628.5      0      4          0       0 59628.106829  -35.238715  22.499417   28.814059 0.424543 19.326769      NaN
59629.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59630.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59631.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59632.5      0      4          0       0 59632.165874  -37.768724  21.161784   36.244540 0.750740 19.393316      NaN
59633.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59634.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59635.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59636.5      0      4          0       0 59636.161985   -1.155460  20.547470   54.156409 1.736547 19.425301      NaN
59637.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59638.5      1      3          0       0 59638.126477  150.971195  24.010205   70.691819 2.902084 18.452765 0.172674
59639.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59640.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59641.5      0      4          0       0 59641.115076   11.195283  20.738001   43.791171 1.122883 19.235623      NaN
59642.5      1      3          0       0 59642.121630  -39.405330  23.760710   18.502252 0.203343 19.267548      NaN
59643.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59644.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59645.5      0      4          0       0 59645.884349  -58.096269  20.576605   52.066464 1.590743 19.423763      NaN
59646.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59647.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59648.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59649.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59650.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59651.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59652.5      0      4          0       0 59652.058717  -66.622143  22.436924   32.170121 0.514914 19.329789      NaN
59653.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59654.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59655.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59656.5      0      4          0       0 59656.117931  -29.848870  24.017613   62.776721 1.737378 19.255872      NaN
59657.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59658.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59659.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59660.5      0      4          0       0 59660.038594  -36.145932  20.876949   35.944402 0.739131 19.408029      NaN
59661.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59662.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59663.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59664.5      0      2          0    8192 59664.100177  -40.500000  29.472061   17.677670 0.179887 19.033671      NaN
59665.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59666.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59667.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59668.5      0      4          0       0 59668.021682    3.930840  20.932595   17.262677 0.170092 19.339220      NaN
59669.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59670.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59671.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59672.5      0      4          0       0 59672.076682   20.228055  20.671615   37.985743 0.851822 19.112254      NaN
59673.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59674.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59675.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59676.5      0      4          0       0 59676.021953    2.756106  20.953482   16.640813 0.157030 19.357466      NaN
59677.5      0      4          0       0 59677.827269  -57.870220  21.605730   21.608255 0.242568 19.370775      NaN
59678.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59679.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59680.5      0      4          0       0 59680.067366  -30.111456  21.411406   13.341664 0.096836 19.380584      NaN
59681.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59682.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59683.5      0      3          0       0 59683.988245   -0.403079  27.821063    4.509250 0.008769 19.096263      NaN
59684.5      0      1          0    8192 59684.002262   12.000000  45.102159         NaN      NaN 18.479445      NaN
59685.5      0      3          0       0 59685.792517   -6.088033  29.620474   25.146239 0.226713 19.028217      NaN
59686.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59687.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59688.5      0      4          0       0 59688.052856   -9.873639  22.380033   72.214380 2.558337 19.332545      NaN
59689.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59690.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59691.5      0      6          0       0 59691.986060   -2.974660  18.463781   38.412238 0.762066 19.541395      NaN
59692.5      0      2          0    8192 59692.009909  -43.624605  30.029887   21.920310 0.266396 19.013313      NaN
59693.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59694.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59695.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
59696.5      0      0          0 8388608          NaN         NaN        NaN         NaN      NaN       NaN      NaN
