         MJD         m       dm   uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57247.253970 18.702047      NaN     8    40 c    0    1.36 227.31656 16.23959  4225.23  2954.23 4.00 3.79 -55.7 -0.426    18.51 20.24 02a57247o0032c       0   42.027437
57247.269847 18.826541      NaN    36    27 c    0    1.02 227.31656 16.23959  4221.32  2954.71 4.02 3.81 -46.5 -0.417    18.92 20.82 02a57247o0054c       0   29.921655
57247.297504 18.836735      NaN    32    28 c    0    1.11 227.31656 16.23959  2771.49  4411.19 4.10 3.81 -52.1 -0.397    18.85 20.74 02a57247o0092c       0   30.827024
57248.250418 19.454622      NaN    -3    20 c    0    0.91 227.31656 16.23959  4214.41  2940.79 4.11 3.90 -50.0 -0.437    19.33 21.19 02a57248o0019c       0   23.797173
57248.254530 19.631075      NaN     8    17 c    0    1.07 227.31656 16.23959  4208.91  2940.94 4.13 3.89 -45.4 -0.438    19.43 21.39 02a57248o0025c       0   21.337887
57248.281064 19.631075      NaN     8    17 c    0    0.93 227.31656 16.23959  2761.05  4397.35 4.14 3.73 -50.6 -0.430    19.49 21.50 02a57248o0062c       0   21.337887
57248.298687 19.014394      NaN    49    17 c    0    1.12 227.31656 16.23959  2751.45  4400.42 4.04 3.67 -49.9 -0.428    19.49 21.49 02a57248o0086c       0   21.337887
57250.285650 19.102305      NaN    21    24 c    0    1.01 227.31656 16.23959  2752.34  4405.67 4.13 3.83 -60.9 -0.429    19.17 21.11 02a57250o0040c    8192   27.245283
57250.302108 19.169763      NaN   -14    26 c    0    1.06 227.31656 16.23959  2745.66  4408.68 4.05 3.70 -59.9 -0.427    19.09 20.99 02a57250o0063c    8192   29.022499
57277.250650 19.351140      NaN     2    22 c    0    1.06 227.31656 16.23959  7344.10  4062.57 4.20 3.96 -84.3 -0.420    19.25 21.19 02a57277o0080c    8192   25.501087
57277.269796 19.454622      NaN     6    20 c    0    1.03 227.31656 16.23959  7339.77  4062.52 3.98 3.77 -87.1 -0.432    19.20 21.03 02a57277o0106c    8192   23.797173
57283.249348 18.978793      NaN     0    31 c    0    0.91 227.31656 16.23959  4215.22  2954.22 4.33 3.94 -37.4 -0.464    18.85 20.47 02a57283o0004c    8192   33.575370
57451.574368 19.922338      NaN   -14    13 c    0    1.17 227.31656 16.23959  6710.05  7369.62 3.75 3.39 -86.6 -0.432    19.61 21.53 02a57451o0682c       0   18.311347
57451.601824 19.841877      NaN     2    14 c    0    0.93 227.31656 16.23959  7004.47  7961.16 3.69 3.36  89.0 -0.439    19.60 21.47 02a57451o0726c       0   19.034323
57451.625719 19.766969      NaN     3    15 c    0    1.37 227.31656 16.23959  4824.93  2145.69 4.06 3.49  -9.2 -0.447    19.59 21.42 02a57451o0766c       0   19.781442
57451.638075 19.696897      NaN     5    16 c    0    1.16 227.31656 16.23959  4894.30  2071.33 4.04 3.49 -10.3 -0.458    19.56 21.38 02a57451o0787c       0   20.550071
57455.595448 19.302877      NaN   -26    23 c    0    0.90 227.31656 16.23959  7006.13  8119.50 3.90 3.62  87.6 -0.405    19.00 21.01 02a57455o0685c       0   26.368645
57455.621809 19.696897      NaN    -6    16 c    0    1.21 227.31656 16.23959  4822.17  1991.44 4.07 3.53  -6.7 -0.444    19.56 21.58 02a57455o0726c       0   20.550071
57455.641530 19.766969      NaN    10    15 c    0    0.86 227.31656 16.23959  4894.35  2075.68 4.21 3.60  -8.3 -0.423    19.75 21.82 02a57455o0757c       0   19.781442
57479.519014 19.841877      NaN    -6    14 c    0    1.14 227.31656 16.23959  6841.40  7192.72 3.73 3.35  89.5 -0.448    19.49 21.27 02a57479o0542c    8192   19.034323
57487.484498 19.766969      NaN    16    13 c    0    1.24 227.31656 16.23959  6543.68  7459.97 3.77 3.42 -88.5 -0.435    19.64 21.60 02a57487o0527c       0   18.311347
57487.498915 19.841877      NaN    -5    14 c    0    1.08 227.31656 16.23959  6840.37  8051.24 3.89 3.54  85.5 -0.414    19.63 21.63 02a57487o0554c       0   19.034323
57487.522560 19.631075      NaN   -21    17 c    0    0.96 227.31656 16.23959  5667.19  8639.07 3.91 3.62 -69.4 -0.423    19.55 21.66 02a57487o0595c       0   21.337887
57487.530458 19.631075      NaN     5    17 c    0    0.92 227.31656 16.23959  4878.39  2056.18 4.17 3.64  -5.5 -0.440    19.59 21.52 02a57487o0610c       0   21.337887
57489.479339 19.868040      NaN    15    12 c    0    1.49 227.31656 16.23959  6469.83  7617.03 3.84 3.53 -89.8 -0.425    19.70 21.77 02a57489o0515c    8192   17.615489
57537.403546 19.841877      NaN   -15    14 c    0    1.27 227.31656 16.23959  2995.45  3144.13 4.27 3.68 -18.8 -0.431    19.68 21.78 02a57537o0335c       0   19.034323
57537.418656 19.766969      NaN     8    15 c    0    0.90 227.31656 16.23959  2978.83  3106.61 4.20 3.64 -20.3 -0.429    19.67 21.77 02a57537o0366c       0   19.781442
57537.435578 19.766969      NaN    10    15 c    0    1.14 227.31656 16.23959  3076.07  3065.26 4.26 3.62 -19.0 -0.422    19.67 21.77 02a57537o0396c       0   19.781442
57537.450420 19.766969      NaN    10    15 c    0    0.98 227.31656 16.23959  3041.77  3120.71 4.22 3.63 -20.2 -0.419    19.56 21.54 02a57537o0423c       0   19.781442
57541.290581 19.212347      NaN   -21    25 c    0    0.97 227.31656 16.23959  6392.53   973.31 4.62 3.77   7.3 -0.485    19.25 21.56 02a57541o0149c       0   28.130152
57541.290951 19.169763      NaN     5    26 c    0    0.89 227.31656 16.23959  6393.00   973.34 4.50 3.78   4.3 -0.478    19.28 21.57 02a57541o0150c       0   29.022499
57541.291320 19.256669      NaN     2    24 c    0    1.19 227.31656 16.23959  6393.15   973.33 4.44 3.72   4.4 -0.481    19.27 21.57 02a57541o0151c       0   27.245283
57541.291689 19.169763      NaN   -24    26 c    0    1.16 227.31656 16.23959  6393.34   973.47 4.51 3.77   4.0 -0.477    19.24 21.53 02a57541o0152c       0   29.022499
57541.292059 19.128787      NaN    -8    27 c    0    1.16 227.31656 16.23959  6393.34   973.57 4.58 3.86   5.0 -0.477    19.20 21.50 02a57541o0153c       0   29.921655
57541.292428 19.212347      NaN    -8    25 c    0    1.21 227.31656 16.23959  6393.42   973.50 4.45 3.75   4.5 -0.488    19.21 21.49 02a57541o0154c       0   28.130152
57541.292798 19.256669      NaN    -4    24 c    0    0.95 227.31656 16.23959  6393.53   973.61 4.39 3.72   4.2 -0.486    19.25 21.52 02a57541o0155c       0   27.245283
57541.293167 19.063754      NaN    24    24 c    0    1.06 227.31656 16.23959  6393.52   973.71 4.44 3.75   1.7 -0.475    19.27 21.55 02a57541o0156c       0   27.245283
57541.293538 18.921935      NaN    33    25 c    0    1.03 227.31656 16.23959  6393.55   973.73 4.56 3.76   3.5 -0.485    19.26 21.53 02a57541o0157c       0   28.130152
57541.293907 19.256669      NaN   -33    24 c    0    1.05 227.31656 16.23959  6393.58   973.81 4.51 3.75   3.9 -0.484    19.23 21.51 02a57541o0158c       0   27.245283
