         MJD         m       dm     uJy  duJy F  err    chi/N       RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57233.265709 16.767276 0.175119     716   115 o    0     2.51 212.4245 55.49114    35.81  1113.23  4.03  3.51 -52.4 -0.441    18.40 19.32 02a57233o0016o       2   117.491561
57233.287669 18.558199      NaN       5    45 o    0     0.98 212.4245 55.49114  8861.43  2519.84  3.65  3.17  87.4 -0.477    18.39 19.32 02a57233o0034o    8192    51.032019
57233.298752 18.396507      NaN     -49    53 o    0     1.08 212.4245 55.49114  8858.05  2525.21  3.68  3.16  88.1 -0.470    18.24 19.13 02a57233o0044o    8192    58.208822
57234.301123 18.094452      NaN      72    47 o    0     1.15 212.4245 55.49114  8847.37  2531.44  3.88  3.55  84.4 -0.439    18.18 18.99 02a57234o0009o    8192    52.804043
57386.580714 18.711133      NaN      17    35 o    0     0.83 212.4245 55.49114 10361.95  9666.54  3.78  3.35  86.5 -0.458    18.78 20.03 02a57386o0619o       0    42.476664
57386.592502 18.550302      NaN      57    28 o    0     1.35 212.4245 55.49114 10030.97  9096.49  3.74  3.27  84.5 -0.460    18.81 20.07 02a57386o0636o       0    36.922445
57386.610369 18.944322      NaN     -53    32 o    0     1.03 212.4245 55.49114   578.85 10249.07  4.23  3.70 -61.8 -0.442    18.83 20.14 02a57386o0665o       0    40.040816
57386.614803 18.729535      NaN      12    36 o    0     1.24 212.4245 55.49114  9762.89   426.17  4.74  3.57  19.3 -0.493    18.88 20.21 02a57386o0669o       0    43.304353
57386.622601 18.675237      NaN     -22    41 o    0     1.03 212.4245 55.49114   801.37   391.16  6.27  3.55 -28.0 -0.385    18.90 20.20 02a57386o0680o       0    47.542265
57386.623210 19.089302      NaN     -25    28 o    0     1.16 212.4245 55.49114   901.82  8499.07  4.22  3.50 -65.0 -0.459    18.86 20.18 02a57386o0681o       0    36.922445
57387.570171 18.978793      NaN     -13    31 o    0     1.06 212.4245 55.49114 10365.92  9662.94  3.73  3.51 -76.6 -0.449    18.86 19.90 02a57387o0612o       0    39.246235
57387.579998 18.878500      NaN     -25    34 o    0     1.08 212.4245 55.49114 10033.31  9093.13  3.64  3.26 -87.2 -0.455    18.90 19.95 02a57387o0628o       0    41.656535
57387.601661 18.729535      NaN      27    31 o    0     1.05 212.4245 55.49114   581.68 10246.31  3.93  3.67 -61.5 -0.463    18.92 20.01 02a57387o0655o       0    39.246235
57387.605357 18.649074      NaN      27    34 o    0     1.26 212.4245 55.49114  9763.83   421.59  4.20  3.46  15.9 -0.532    18.97 20.08 02a57387o0661o       0    41.656535
57387.609653 18.944322      NaN     -12    32 o    0     1.67 212.4245 55.49114   907.32  8496.58  3.97  3.52 -64.6 -0.460    18.91 19.99 02a57387o0668o       0    40.040816
57387.610266 18.786693      NaN      -9    37 o    0     1.06 212.4245 55.49114   806.08   389.14  5.83  3.49 -30.7 -0.437    18.96 20.03 02a57387o0669o       0    44.139177
57409.635100 18.034118      NaN      33    64 o    0     0.83 212.4245 55.49114  8948.52   507.90  3.95  3.35  11.5 -0.516    18.75 19.82 02a57409o0697o 8388610    68.375924
57413.630944 18.280067      NaN     -34    59 o    0     0.79 212.4245 55.49114 10272.74 10107.10  4.00  3.80 -86.7 -0.437    18.63 19.79 02a57413o0656o    8192    63.720224
57413.635216 18.526952      NaN    -210    47 o    0     1.21 212.4245 55.49114 10051.76 10317.09  3.75  3.62 -65.5 -0.416    18.69 19.78 02a57413o0663o    8192    52.804043
57414.626333 18.631975      NaN      35    32 o    0     1.17 212.4245 55.49114   508.23  9364.74  3.77  3.51 -69.8 -0.471    18.75 19.86 02a57414o0685o       0    40.040816
57414.627553 18.711133      NaN       5    39 o    0     1.16 212.4245 55.49114  9998.68   113.00  4.39  3.47  17.6 -0.485    18.77 19.88 02a57414o0687o       0    45.828669
57414.643058 18.558199      NaN      38    34 o    0     0.92 212.4245 55.49114   829.75  9975.64  3.73  3.63 -63.1 -0.466    18.77 19.88 02a57414o0711o       0    41.656535
57414.645156 18.847027      NaN     -44    35 o    0     0.96 212.4245 55.49114  8882.30   772.58  4.07  3.34  12.5 -0.512    18.78 19.88 02a57414o0714o       0    42.476664
57414.650754 18.598565      NaN     -41    44 o    0     0.85 212.4245 55.49114  1025.02   103.45  6.14  3.56 -27.2 -0.437    18.78 19.91 02a57414o0723o       0    50.152437
57414.656484 18.142010      NaN      99    35 o    0     0.88 212.4245 55.49114 10058.10 10322.87  3.73  3.60 -47.1 -0.428    18.73 19.84 02a57414o0732o       0    42.476664
57414.661382 18.675237      NaN     -43    41 o    0     1.08 212.4245 55.49114  8955.47   519.55  4.14  3.23  14.2 -0.508    18.77 19.85 02a57414o0740o       0    47.542265
57418.616060 19.038793      NaN      16    25 o    0     0.91 212.4245 55.49114   697.08  9393.47  3.74  3.60 -68.0 -0.456    19.17 20.71 02a57418o0664o       0    34.702550
57418.622559 19.128787      NaN       0    27 o    0     1.12 212.4245 55.49114 10157.98   128.55  4.35  3.67  18.7 -0.529    19.14 20.72 02a57418o0674o       0    36.169973
57418.633532 19.351140      NaN     -19    22 o    0     1.19 212.4245 55.49114  1012.26 10008.99  3.89  3.81 -81.4 -0.437    19.12 20.72 02a57418o0690o       0    32.607774
57418.638905 18.978793      NaN     -10    31 o    0     0.85 212.4245 55.49114  1191.85   137.43  5.43  3.63 -26.5 -0.502    19.18 20.73 02a57418o0698o       0    39.246235
57418.640915 19.169763      NaN      -3    26 o    0     0.73 212.4245 55.49114  9058.56   791.45  3.99  3.43  14.3 -0.500    19.18 20.73 02a57418o0701o       0    35.429747
57418.647366 19.212347      NaN      -5    25 o    0     0.95 212.4245 55.49114 10067.15 10327.30  4.19  4.10 -33.2 -0.404    19.04 20.69 02a57418o0711o       0    34.702550
57418.656217 18.816441      NaN     -31    36 o    0     1.01 212.4245 55.49114    97.99   652.58  6.40  4.19 -31.4 -0.431    19.01 20.68 02a57418o0725o       0    43.304353
57418.657638 18.910912      NaN      -1    33 o    0     1.02 212.4245 55.49114  8965.79   525.58  4.46  3.79  13.7 -0.474    19.06 20.63 02a57418o0727o       0    40.844424
57419.620875 19.351140      NaN     -18    22 o    0     1.01 212.4245 55.49114   377.22  8815.85  4.05  3.71 -65.2 -0.436    19.26 20.99 02a57419o0641o       0    32.607774
57419.630443 19.401649      NaN       1    21 o    0     0.99 212.4245 55.49114  9809.55 10060.66  3.69  3.53 -55.4 -0.414    19.30 20.99 02a57419o0656o       0    31.941618
57419.633644 19.302877      NaN     -24    23 o    0     1.05 212.4245 55.49114   675.29  9418.89  3.88  3.67 -68.0 -0.450    19.28 20.99 02a57419o0661o       0    33.290644
57419.638318 18.640491      NaN      58    24 o    0     1.42 212.4245 55.49114  8755.82   234.66  4.37  3.52  11.2 -0.489    19.30 21.20 02a57419o0668o       0    33.989218
57419.648124 19.401649      NaN     -23    21 o    0     0.96 212.4245 55.49114 10064.89 10331.31  3.76  3.63 -37.0 -0.422    19.31 21.01 02a57419o0683o       0    31.941618
57419.655984 18.816441      NaN      27    28 o    0     1.00 212.4245 55.49114  8968.99   522.03  4.39  3.64  13.3 -0.479    19.30 21.01 02a57419o0695o       0    36.922445
57440.534107 18.349730      NaN      16    51 o    0     1.08 212.4245 55.49114 10249.38 10015.08  4.09  3.42  81.0 -0.452    18.24 18.92 02a57440o0577o       0    56.393856
57440.536141 17.935984      NaN     -34    81 o    0     0.82 212.4245 55.49114   793.92  8823.27  4.08  3.53 -58.8 -0.463    18.24 18.94 02a57440o0581o       2    84.500100
57440.550392 18.280067      NaN      18    54 o    0     1.01 212.4245 55.49114  1102.09  9434.05  3.94  3.54 -54.6 -0.467    18.26 18.96 02a57440o0608o       0    59.120783
57440.551953 17.935984      NaN      51    65 o    0     1.17 212.4245 55.49114  9124.99   218.44  4.94  3.42  17.6 -0.483    18.29 19.00 02a57440o0611o       2    69.312820
57440.562313 18.526952      NaN     -63    47 o    0     1.14 212.4245 55.49114 10020.45 10316.86  4.02  3.50  78.6 -0.460    18.25 18.95 02a57440o0631o       0    52.804043
57440.562821 18.226218      NaN     -52    62 o    0     1.25 212.4245 55.49114  8916.01   508.93  4.71  3.40  16.1 -0.506    18.30 19.02 02a57440o0632o       2    66.507646
57441.527396 17.825619      NaN      53    73 o    0     0.96 212.4245 55.49114   560.73  9198.91  3.97  3.52 -59.2 -0.464    18.23 18.90 02a57441o0574o       2    76.865252
57441.531928 18.174913      NaN       9    63 o    0     1.10 212.4245 55.49114  8913.58   612.79  4.35  3.32  15.9 -0.551    18.26 18.93 02a57441o0583o       2    67.440840
57441.533445 18.417189      NaN      -9    52 o    0     1.13 212.4245 55.49114 10010.51 10422.91  3.88  3.50  79.8 -0.451    18.23 18.90 02a57441o0586o       0    57.299799
57441.549220 18.481707      NaN    -102    49 o    0     1.16 212.4245 55.49114   865.15  9810.70  3.88  3.61 -48.7 -0.461    18.26 18.93 02a57441o0616o       0    54.591821
57441.550231 18.526952      NaN     -15    47 o    0     1.02 212.4245 55.49114 10021.10 10307.92  3.81  3.42  82.4 -0.463    18.25 18.91 02a57441o0618o       0    52.804043
