         MJD         m       dm    uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57399.620255 19.841877      NaN   -6.0    14 c    0    1.25 196.66427 -1.54845  5343.20  3704.50 3.72 3.62  -3.4 -0.396    19.51 21.38 02a57399o0673c       0   27.031735
57399.643693 19.766969      NaN  -34.0    15 c    0    1.10 196.66427 -1.54845  5012.57  3111.16 3.77 3.59  -6.7 -0.397    19.53 21.38 02a57399o0707c       0   27.562922
57399.656312 19.696897      NaN    9.0    15 c    0    1.01 196.66427 -1.54845  5859.97  4268.27 3.59 3.51  76.3 -0.405    19.52 21.35 02a57399o0726c       0   27.562922
57399.658479 19.302877      NaN   24.0    17 c    0    0.78 196.66427 -1.54845  6154.10  2517.43 3.78 3.62   0.5 -0.414    19.49 21.33 02a57399o0729c       0   28.700430
57436.395205 18.186107      NaN   43.0    52 c    0    0.99 196.66427 -1.54845  6134.79  3451.96 4.43 4.22   7.5 -0.356    18.14 19.23 02a57436o0300c       0   56.909706
57436.408823 18.649074      NaN   -6.0    42 c    0    1.03 196.66427 -1.54845  6419.94  4034.35 4.16 4.07  21.1 -0.367    18.28 19.39 02a57436o0323c       0   47.944913
57436.422408 18.675237      NaN  -34.0    41 c    0    1.24 196.66427 -1.54845  5255.98  4614.68 4.30 4.21 -28.8 -0.366    18.33 19.49 02a57436o0346c       0   47.071379
57436.436041 18.816441      NaN  -21.0    36 c    0    1.03 196.66427 -1.54845  4983.45  4420.45 4.06 3.99 -33.8 -0.366    18.45 19.61 02a57436o0369c       0   42.786852
57452.579498 19.922338      NaN  -25.0    13 c    0    1.19 196.66427 -1.54845  4664.26  7632.76 3.64 3.47 -80.3 -0.419    19.65 21.62 02a57452o0633c       0   26.527621
57452.601793 19.841877      NaN  -38.0    14 c    0    1.17 196.66427 -1.54845  4377.08  7051.91 3.71 3.52 -74.8 -0.408    19.57 21.48 02a57452o0676c       0   27.031735
57452.624263 19.529530      NaN   20.0    14 c    0    1.02 196.66427 -1.54845  5539.54  6474.57 3.67 3.46 -83.5 -0.415    19.51 21.38 02a57452o0719c       0   27.031735
57452.646861 19.841877      NaN  -40.0    14 c    0    1.35 196.66427 -1.54845  5659.41  6246.19 3.64 3.46 -84.4 -0.413    19.42 21.21 02a57452o0762c       0   27.031735
57460.552256 19.766969      NaN   -5.0    15 c    0    0.83 196.66427 -1.54845  4779.95  7398.88 3.62 3.54 -67.4 -0.437    19.57 21.47 02a57460o0679c       0   27.562922
57460.575931 19.696897      NaN  -19.0    16 c    0    0.74 196.66427 -1.54845  4490.04  6820.04 3.62 3.42 -74.1 -0.420    19.58 21.47 02a57460o0722c       0   28.119649
57460.598204 19.841877      NaN  -22.0    14 c    0    1.11 196.66427 -1.54845  5653.76  6243.42 3.65 3.46 -81.1 -0.418    19.53 21.40 02a57460o0765c       0   27.031735
57460.620826 19.652575      NaN   14.0    14 c    0    1.24 196.66427 -1.54845  5656.86  6245.27 3.65 3.49 -74.9 -0.414    19.48 21.33 02a57460o0808c       0   27.031735
57480.508123 19.589310      NaN   14.0    15 c    0    1.11 196.66427 -1.54845  4492.79  7447.47 3.70 3.50 -78.0 -0.418    19.53 21.41 02a57480o0596c       0   27.562922
57480.531583 19.696897      NaN  -18.0    16 c    0    1.13 196.66427 -1.54845  4205.91  6867.86 3.64 3.46 -68.9 -0.418    19.42 21.17 02a57480o0641c       0   28.119649
57480.555125 19.569016      NaN  -16.0    18 c    0    0.94 196.66427 -1.54845  5368.90  6293.43 3.62 3.43 -81.2 -0.425    19.32 20.99 02a57480o0686c       0   29.303834
57480.578528 19.401649      NaN   18.0    17 c    0    1.34 196.66427 -1.54845  5643.87  6236.84 3.62 3.42 -81.4 -0.417    19.23 20.83 02a57480o0731c       0   28.700430
57490.431970 19.696897      NaN    3.0    16 c    0    0.99 196.66427 -1.54845  4527.59  7284.63 3.96 3.78   2.9 -0.402    19.52 21.53 02a57490o0485c       0   28.119649
57490.450418 19.841877      NaN  -37.0    14 c    0    1.10 196.66427 -1.54845  4238.77  6703.88 3.71 3.56 -85.7 -0.396    19.55 21.46 02a57490o0516c       0   27.031735
57490.469679 19.841877      NaN   -8.0    14 c    0    1.51 196.66427 -1.54845  5399.80  6131.33 3.65 3.46 -89.2 -0.396    19.55 21.42 02a57490o0548c       0   27.031735
57490.489227 19.631075      NaN  -23.0    17 c    0    0.90 196.66427 -1.54845  5652.03  6228.32 3.69 3.50  89.2 -0.396    19.51 21.37 02a57490o0580c       0   28.700430
57491.426464 19.212347      NaN -104.0    25 c    0    1.49 196.66427 -1.54845  4935.43  7306.05 4.99 4.19  -1.9 -0.381    18.75 20.70 02a57491o0395c       0   34.054584
57491.448778 19.051202      NaN  -23.0    29 c    0    0.80 196.66427 -1.54845  4651.35  6723.52 4.40 4.18 -71.3 -0.366    18.84 20.81 02a57491o0432c       0   37.090628
57491.484437 19.510313      NaN  -45.0    19 c    0    1.32 196.66427 -1.54845  5655.41  6225.01 4.17 3.99 -79.7 -0.378    19.05 20.94 02a57491o0492c       0   29.928493
57507.455652 19.155932      NaN   28.0    19 c    0    1.04 196.66427 -1.54845  5013.99  7116.29 3.81 3.59 -77.7 -0.411    19.18 20.85 02a57507o0466c       0   29.928493
57507.470781 19.089302      NaN   30.0    20 c    0    1.14 196.66427 -1.54845  5054.82  7077.64 3.77 3.57 -78.4 -0.412    19.06 20.62 02a57507o0496c       0   30.573104
57507.484879 19.302877      NaN  -10.0    23 c    0    0.89 196.66427 -1.54845  4997.25  7057.92 3.71 3.50 -79.6 -0.424    18.99 20.46 02a57507o0524c       0   32.614639
57507.498519 18.796518      NaN   50.0    22 c    0    1.61 196.66427 -1.54845  5074.18  7134.62 3.72 3.54 -79.8 -0.422    18.91 20.34 02a57507o0551c       0   31.917310
57507.510957 19.256669      NaN  -14.0    24 c    0    1.32 196.66427 -1.54845  4976.75  7152.99 3.80 3.65 -75.8 -0.415    18.83 20.25 02a57507o0576c       0   33.327386
57509.461463 19.472870      NaN   14.0    17 c    0    0.91 196.66427 -1.54845  5012.43  7115.60 3.69 3.46 -78.5 -0.426    19.44 21.27 02a57509o0496c       0   28.700430
57509.474396 19.696897      NaN  -19.0    16 c    0    1.24 196.66427 -1.54845  5052.98  7076.47 3.72 3.48 -76.9 -0.425    19.39 21.20 02a57509o0522c       0   28.119649
57509.487444 19.569016      NaN   -1.0    18 c    0    0.91 196.66427 -1.54845  4994.78  7056.90 3.69 3.46 -75.7 -0.428    19.36 21.15 02a57509o0548c       0   29.303834
57509.499969 19.569016      NaN   -8.0    18 c    0    1.12 196.66427 -1.54845  5071.32  7133.53 3.77 3.54 -77.5 -0.427    19.24 21.00 02a57509o0573c       0   29.303834
57509.511409 19.510313      NaN  -51.0    19 c    0    1.17 196.66427 -1.54845  4975.08  7151.79 3.77 3.54 -74.9 -0.429    19.10 20.75 02a57509o0596c       0   29.928493
57510.456166 19.472870      NaN   11.0    18 c    0    1.03 196.66427 -1.54845  5014.77  7113.01 4.28 4.08 -71.6 -0.380    19.32 21.38 02a57510o0471c       0   29.303834
57510.474051 19.197966      NaN   31.0    17 c    0    0.95 196.66427 -1.54845  5055.31  7075.24 4.09 3.93 -55.9 -0.392    19.34 21.36 02a57510o0506c       0   28.700430
57510.491821 19.569016      NaN  -19.0    18 c    0    1.02 196.66427 -1.54845  4997.31  7055.32 3.86 3.64 -72.1 -0.411    19.35 21.25 02a57510o0541c       0   29.303834
57510.508479 19.510313      NaN  -28.0    19 c    0    1.03 196.66427 -1.54845  5074.90  7133.38 3.93 3.74 -67.9 -0.409    19.26 21.15 02a57510o0574c       0   29.928493
57514.349181 19.549093      NaN   10.0    17 c    0    0.94 196.66427 -1.54845  4694.62  8154.31 4.00 3.78 -77.9 -0.429    19.54 21.58 02a57514o0281c       0   28.700430
57514.362520 19.436675      NaN   22.0    15 c    0    1.05 196.66427 -1.54845  4675.81  8123.26 4.01 3.73 -74.5 -0.425    19.53 21.57 02a57514o0308c       0   27.562922
57514.375297 19.766969      NaN    2.0    15 c    0    1.36 196.66427 -1.54845  4733.37  8206.71 3.97 3.67 -79.0 -0.431    19.54 21.53 02a57514o0334c       0   27.562922
57514.388108 19.696897      NaN  -29.0    16 c    0    1.00 196.66427 -1.54845  4752.25  8096.00 3.93 3.64 -76.8 -0.439    19.51 21.47 02a57514o0360c       0   28.119649
57514.401441 19.631075      NaN  -22.0    17 c    0    0.82 196.66427 -1.54845  4711.81  8158.60 3.92 3.60 -71.6 -0.441    19.49 21.43 02a57514o0387c       0   28.700430
57538.326191 19.766969      NaN   -2.0    15 c    0    1.18 196.66427 -1.54845  4257.48  6591.54 3.99 3.64 -70.9 -0.481    19.51 21.53 02a57538o0193c       0   27.562922
57538.336887 19.631075      NaN    0.0    17 c    0    1.05 196.66427 -1.54845  4237.81  6552.37 4.02 3.64 -68.3 -0.467    19.52 21.56 02a57538o0213c       0   28.700430
57538.348751 19.631075      NaN  -23.0    17 c    0    1.05 196.66427 -1.54845  4296.92  6628.23 4.07 3.70 -60.0 -0.458    19.50 21.55 02a57538o0235c       0   28.700430
57538.360566 19.454622      NaN   18.0    16 c    0    1.03 196.66427 -1.54845  4317.42  6511.45 4.03 3.63 -66.3 -0.461    19.49 21.52 02a57538o0257c       0   28.119649
57538.371433 19.631075      NaN  -14.0    17 c    0    0.94 196.66427 -1.54845  4278.85  6566.25 3.98 3.59 -64.9 -0.452    19.51 21.54 02a57538o0277c       0   28.700430
57540.322702 19.454622      NaN   21.0    15 c    0    1.13 196.66427 -1.54845  6365.72  6860.28 3.91 3.51 -88.0 -0.455    19.57 21.56 02a57540o0178c       0   27.562922
57540.334981 19.696897      NaN   -1.0    16 c    0    0.86 196.66427 -1.54845  6345.85  6822.16 3.86 3.50 -85.7 -0.453    19.58 21.58 02a57540o0202c       0   28.119649
57540.347227 19.696897      NaN  -42.0    16 c    0    0.80 196.66427 -1.54845  6403.26  6899.09 4.00 3.62 -82.3 -0.433    19.53 21.55 02a57540o0226c       0   28.119649
