         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57395.579229 19.922338      NaN   -21    13 c    0   1.22 189.73492 33.16591  2056.60  4250.72 3.99 3.65 -43.0 -0.409    19.71 21.73 02a57395o0582c       0   19.164235
57395.595004 19.922338      NaN   -21    13 c    0   1.07 189.73492 33.16591  1741.86  3657.11 4.10 3.67 -37.1 -0.412    19.72 21.73 02a57395o0607c       0   19.164235
57395.611977 19.922338      NaN     3    13 c    0   1.22 189.73492 33.16591  2595.24  4836.93 3.81 3.62 -49.4 -0.400    19.73 21.72 02a57395o0634c       0   19.164235
57395.621578 19.841877      NaN   -17    14 c    0   0.99 189.73492 33.16591  2854.15  3094.50 4.07 3.67 -30.0 -0.403    19.71 21.68 02a57395o0649c       0   19.856181
57402.591064 19.922338      NaN   -16    13 c    0   1.30 189.73492 33.16591  1940.67  4293.05 4.14 3.71 -36.2 -0.402    19.71 21.77 02a57402o0597c       0   19.164235
57402.604365 19.766969      NaN   -10    15 c    0   0.98 189.73492 33.16591  1645.88  3705.71 4.54 3.83 -19.9 -0.404    19.67 21.78 02a57402o0615c       0   20.573476
57402.631250 19.841877      NaN   -16    14 c    0   0.76 189.73492 33.16591  2524.15  4900.46 3.91 3.63 -38.5 -0.394    19.80 21.93 02a57402o0654c       0   19.856181
57402.645630 19.841877      NaN   -16    14 c    0   0.90 189.73492 33.16591  2806.12  3160.46 4.02 3.61 -26.1 -0.401    19.82 21.93 02a57402o0671c       0   19.856181
57403.586575 19.766969      NaN   -22    15 c    0   1.04 189.73492 33.16591  1944.26  4291.38 4.19 3.68 -37.7 -0.410    19.72 21.76 02a57403o0594c       0   20.573476
57403.600651 19.841877      NaN    -8    14 c    0   1.15 189.73492 33.16591  1648.88  3705.09 4.32 3.66 -34.4 -0.416    19.74 21.78 02a57403o0613c       0   19.856181
