 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD          uJy        duJy       stdev       x2         m       dm
57364.5      0      4          0       0 57364.603421    10.568708   16.356610   20.728402 0.375235 19.461183      NaN
57365.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57366.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57367.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57368.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57369.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57370.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57371.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57372.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57373.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57374.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57375.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57376.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57377.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57378.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57379.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57380.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57381.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57382.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57383.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57384.5      0      2          1    8192 57384.604989    58.762944   30.091316    4.242641 0.009877 18.466766      NaN
