         MJD         m       dm   uJy  duJy F  err    chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57364.591663 19.142275      NaN     1    25 o    0     0.99 189.73492 33.16591  1920.13  4268.73  4.17 3.57 -40.2 -0.447    19.04 20.60 02a57364o0638o       0   33.872604
57364.600303 18.675237      NaN    41    26 o    0     0.90 189.73492 33.16591  1626.59  3682.25  4.40 3.64 -37.4 -0.444    19.05 20.60 02a57364o0650o       0   34.617240
57364.607040 19.183773      NaN    10    21 o    0     1.03 189.73492 33.16591  2510.86  4866.72  3.95 3.51 -48.5 -0.442    19.10 20.66 02a57364o0661o       0   31.037933
57364.612572 19.351140      NaN    -6    22 o    0     1.21 189.73492 33.16591  2793.51  3131.45  4.15 3.54 -32.2 -0.448    19.11 20.66 02a57364o0670o       0   31.723072
57384.599377 18.261819      NaN    62    38 o    0     0.84 189.73492 33.16591  1933.82  4277.23  4.19 3.72 -35.9 -0.419    18.62 19.79 02a57384o0603o    8192   44.343582
57384.609779 18.376212      NaN    56    34 o    0     1.00 189.73492 33.16591  1636.80  3690.30  4.18 3.61 -43.1 -0.446    18.67 19.81 02a57384o0616o    8192   40.967710
57384.619746 17.927085      NaN    55    62 o    0     1.45 189.73492 33.16591  2514.08  4876.75  3.88 3.56 -58.0 -0.426    17.90 18.52 02a57384o0632o       2   66.078387
57385.615071 18.944322      NaN   -19    32 o    0     0.84 189.73492 33.16591  1937.70  4281.66  4.07 3.43 -48.1 -0.477    18.76 19.92 02a57385o0633o    8192   39.323699
57385.626924 18.311179      NaN    75    31 o    0     0.97 189.73492 33.16591  1639.44  3695.91  4.32 3.47 -40.5 -0.470    18.78 19.95 02a57385o0651o    8192   38.514326
57415.627369 19.089302      NaN   -21    28 o    0     1.30 189.73492 33.16591  7955.87  7055.41  3.86 3.50  85.4 -0.436    18.66 19.93 02a57415o0681o       0   36.143509
57415.631496 18.900000      NaN    18    26 o    0     1.27 189.73492 33.16591  7663.69  6470.37  3.88 3.52  84.8 -0.427    18.67 19.93 02a57415o0686o       0   34.617240
57415.662604 19.089302      NaN   -49    28 o    0     1.21 189.73492 33.16591  8825.24  5912.49  3.69 3.21  84.7 -0.456    18.71 19.85 02a57415o0729o       0   36.143509
57442.534610 18.550302      NaN   -17    46 o    0     1.26 189.73492 33.16591  8019.36  6920.89  3.70 3.03  85.2 -0.486    18.27 19.00 02a57442o0532o       0   51.364903
57442.557587 18.273950      NaN    45    43 o    0     0.96 189.73492 33.16591  7717.23  6335.77  3.66 3.03  86.0 -0.500    18.27 19.01 02a57442o0566o       0   48.696543
57442.563806 18.481707      NaN   -31    49 o    0     0.83 189.73492 33.16591  8871.17  5773.34  3.82 2.95  84.0 -0.499    18.29 19.03 02a57442o0574o       0   54.068043
57442.592833 18.249822      NaN    40    46 o    0     1.16 189.73492 33.16591  9043.70  5824.39  3.83 2.90  85.2 -0.498    18.28 19.04 02a57442o0615o       0   51.364903
57443.525347 18.403357      NaN    28    42 o    0     0.93 189.73492 33.16591  2612.10  3524.39  4.08 3.36 -28.7 -0.503    18.52 19.47 02a57443o0572o       0   47.815827
57443.550160 18.396507      NaN     8    49 o    0     0.57 189.73492 33.16591  7770.10  6587.53  3.70 3.00  85.7 -0.489    18.48 19.40 02a57443o0607o       0   54.068043
57443.555916 18.237955      NaN    72    36 o    0     1.17 189.73492 33.16591  8924.39  6029.10  3.87 2.97  85.1 -0.477    18.46 19.40 02a57443o0615o       0   42.642154
57443.585401 18.389700      NaN    42    38 o    0     1.35 189.73492 33.16591  9048.63  5822.85  3.95 3.00  83.5 -0.484    18.44 19.38 02a57443o0659o       0   44.343582
57463.481207 19.401649      NaN   -27    21 o    0     0.84 189.73492 33.16591  8416.58  7191.94  3.82 3.10  84.5 -0.476    19.27 21.01 02a57463o0413o       0   31.037933
57463.504886 19.302877      NaN     8    19 o    0     0.91 189.73492 33.16591  8112.51  6608.31  3.78 3.18  83.9 -0.476    19.34 21.14 02a57463o0451o       0   29.721260
57463.511354 19.351140      NaN   -22    22 o    0     0.66 189.73492 33.16591  9267.69  6053.84  3.89 2.99  84.7 -0.471    19.33 21.12 02a57463o0460o       0   31.723072
57463.536580 19.510313      NaN   -50    19 o    0     1.12 189.73492 33.16591  9032.27  5817.78  3.82 3.06  83.4 -0.462    19.33 21.12 02a57463o0504o       0   29.721260
57467.455915 18.280067      NaN    59    38 o    0     0.87 189.73492 33.16591  2379.92  3532.79  4.19 3.44 -30.2 -0.491    18.56 19.61 02a57467o0470o       0   44.343582
57467.478874 18.776955      NaN     0    36 o    0     0.99 189.73492 33.16591  7961.45  6559.33  3.85 2.99  85.5 -0.484    18.57 19.68 02a57467o0507o       0   42.642154
57467.499054 18.786693      NaN     2    35 o    0     1.00 189.73492 33.16591  9130.96  6003.61  3.98 2.99  83.5 -0.489    18.57 19.67 02a57467o0544o       0   41.801355
57467.519489 18.816441      NaN   -58    36 o    0     0.97 189.73492 33.16591  9023.93  5809.54  3.97 3.04  87.1 -0.492    18.55 19.67 02a57467o0582o       0   42.642154
57471.311371 16.820326      NaN    39   212 o    0     0.89 189.73492 33.16591  8026.77   465.82  5.21 3.22 -63.3 -0.374    17.07 17.57 02a57471o0019o       2  213.228406
57471.465213 18.226218      NaN   -66    62 o    0     1.43 189.73492 33.16591  7892.70  6813.57  4.01 2.79  89.0 -0.570    17.90 19.02 02a57471o0297o       2   66.078387
57471.491342 17.981610      NaN    55    58 o    0     1.29 189.73492 33.16591  8746.03  5666.39  3.95 3.01  85.1 -0.482    18.15 18.89 02a57471o0344o    8192   62.340623
57471.507074 18.298627      NaN   -88    58 o    0     1.14 189.73492 33.16591  9018.17  5811.70  3.86 2.93  86.5 -0.499    18.16 18.86 02a57471o0372o    8192   62.340623
57475.466208 18.857417      NaN    19    27 o    0     1.18 189.73492 33.16591  8244.69  6975.97  3.84 3.15  84.0 -0.479    18.88 20.23 02a57475o0417o    8192   35.374472
57475.489196 19.256669      NaN   -16    24 o    0     1.18 189.73492 33.16591  7942.03  6391.19  3.86 3.09  85.0 -0.471    18.86 20.20 02a57475o0454o    8192   33.141413
