         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57230.261738 18.431198      NaN    46    38 o    0   0.82 238.75806 16.30449  2594.75  2856.14  4.08 3.76 -77.9 -0.444    18.57 19.70 02a57230o0027o       0    41.981158
57230.273931 18.615142      NaN    34    34 o    0   0.92 238.75806 16.30449  2592.73  2859.00  4.00 3.68 -73.3 -0.444    18.61 19.73 02a57230o0041o       0    38.398146
57230.310858 19.089302      NaN   -17    28 o    0   1.36 238.75806 16.30449  1105.36  4332.00  3.98 3.61 -66.7 -0.453    18.65 19.81 02a57230o0090o       0    33.202675
57230.317196 19.014394      NaN     3    30 o    0   1.17 238.75806 16.30449  1100.48  4333.48  4.02 3.65 -68.9 -0.445    18.64 19.80 02a57230o0097o       0    34.905839
57442.645998 18.675237      NaN    30    33 o    0   0.94 238.75806 16.30449  8687.56  7341.17  3.88 3.40  80.4 -0.483    18.54 19.61 02a57442o0693o    8192    37.515565
57442.671567 17.685696      NaN  -123   102 o    0   1.02 238.75806 16.30449  1679.37  2770.92  4.36 3.41 -29.2 -0.521    17.62 17.71 02a57442o0727o       2   103.549107
57443.643270 19.014394      NaN   -14    30 o    0   0.91 238.75806 16.30449  8633.49  7110.17  3.75 3.00  86.5 -0.472    18.71 19.79 02a57443o0745o    8192    34.905839
57443.660829 18.816441      NaN   -36    36 o    0   0.97 238.75806 16.30449  1745.58  3010.51  4.38 3.40 -30.5 -0.475    18.61 19.60 02a57443o0769o    8192    40.179816
57463.570631 19.454622      NaN   -13    20 o    0   1.02 238.75806 16.30449  8272.10  7079.89  3.69 3.06  86.5 -0.477    19.37 21.14 02a57463o0561o       0    26.803314
57463.595520 19.454622      NaN     2    20 o    0   0.93 238.75806 16.30449  8569.50  7670.48  3.79 3.08  85.0 -0.480    19.41 21.24 02a57463o0603o       0    26.803314
57463.610235 19.197966      NaN    22    20 o    0   1.08 238.75806 16.30449  3257.83  2429.88  4.24 3.38 -19.1 -0.477    19.43 21.26 02a57463o0629o       0    26.803314
57463.636004 19.351140      NaN     0    22 o    0   0.84 238.75806 16.30449  3022.33  2197.88  4.33 3.44 -17.7 -0.477    19.44 21.30 02a57463o0663o       0    28.326977
57467.537508 18.944322      NaN   -35    32 o    0   0.79 238.75806 16.30449  8416.97  7110.77  3.89 3.03  86.4 -0.494    18.74 20.01 02a57467o0615o       0    36.639018
57467.553890 18.921935      NaN    14    30 o    0   1.16 238.75806 16.30449  8694.46  7697.22  4.01 3.15  83.4 -0.476    18.76 20.05 02a57467o0644o       0    34.905839
57467.574941 19.051202      NaN   -14    29 o    0   0.85 238.75806 16.30449  7515.14  8290.72  3.81 3.24  88.6 -0.496    18.79 20.10 02a57467o0682o       0    34.050222
57467.589685 19.212347      NaN   -37    25 o    0   1.10 238.75806 16.30449  7612.97  8483.52  3.72 3.22  89.4 -0.488    18.89 20.21 02a57467o0707o       0    30.715104
57471.540792 18.336727      NaN   -15    56 o    0   1.16 238.75806 16.30449  8765.51  7425.90  3.81 2.88  88.5 -0.511    18.34 19.14 02a57471o0432o    8192    58.774294
57471.565288 18.261819      NaN    -7    60 o    0   1.17 238.75806 16.30449  9062.74  8017.94  3.86 2.94  86.0 -0.527    18.35 19.29 02a57471o0475o    8192    62.597265
