         MJD         m       dm   uJy  duJy F  err  chi/N     RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57448.283155 18.649074 0.206807   137    24 c    0   2.38 7.8065 85.00886  7045.23  8182.68 4.15 3.69  84.8 -0.430    19.14 21.01 02a57448o0023c    4096    32.101442
57448.303888 19.302877      NaN   -50    23 c    0   2.84 7.8065 85.00886  7958.40  7848.91 4.53 3.81  85.2 -0.442    19.14 21.08 02a57448o0065c       0    31.360845
57448.316248 19.256669      NaN   -32    24 c    0   1.75 7.8065 85.00886  7766.87  7893.15 4.45 3.73  84.6 -0.427    19.14 21.07 02a57448o0090c       0    32.101442
57449.258775 19.226921 0.322786    85    22 c    0   2.15 7.8065 85.00886  7084.89  8792.40 4.33 3.88  86.3 -0.437    19.13 21.02 02a57449o0125c 8388608    30.634990
57449.275767 18.542463 0.148410   150    19 c    0   3.50 7.8065 85.00886  6853.19  8197.42 4.21 3.71  88.9 -0.426    19.20 21.13 02a57449o0159c 8392704    28.557006
57449.292210 19.351140      NaN   -49    22 c    0   2.01 7.8065 85.00886  7759.10  7819.33 4.35 3.72  85.6 -0.435    19.24 21.23 02a57449o0192c 8388608    30.634990
57449.301272 19.351140      NaN   -46    22 c    0   2.14 7.8065 85.00886  7764.85  7884.66 4.40 3.78  88.0 -0.441    19.22 21.22 02a57449o0210c 8388608    30.634990
57454.245206 18.944322      NaN    -6    32 c    0   1.08 7.8065 85.00886  7220.18  8741.64 5.98 5.42  81.7 -0.374    18.76 21.03 02a57454o0081c       0    38.451301
57454.261664 18.526952 0.177106   152    23 c    0   1.89 7.8065 85.00886  6997.16  8147.09 4.53 4.02  83.2 -0.424    19.09 21.03 02a57454o0113c    4096    31.360845
57454.278658 19.212347      NaN    -8    25 c    0   1.51 7.8065 85.00886  7914.37  7812.48 4.96 4.37  76.1 -0.424    19.00 21.02 02a57454o0146c       0    32.855785
57454.296160 19.271854      NaN    19    21 c    0   1.73 7.8065 85.00886  7761.17  7889.18 4.81 4.21  77.6 -0.415    19.03 21.05 02a57454o0180c       0    29.924949
57988.476133 19.367717      NaN    13    21 c    0   0.93 7.8065 85.00886  1814.75 10076.80 2.54 2.46  84.5 -0.421    19.09 21.44 02a57988o0496c       0    29.924949
57988.479541 19.454622      NaN    -5    20 c    0   0.83 7.8065 85.00886  1803.39 10037.92 2.55 2.46  70.6 -0.423    19.17 21.45 02a57988o0503c       0    29.231876
57988.496329 19.569016      NaN     5    18 c    0   0.88 7.8065 85.00886  1826.92 10119.50 2.82 2.54  25.7 -0.411    19.24 21.37 02a57988o0537c       0    27.901659
57988.499255 19.696897      NaN     7    16 c    0   1.28 7.8065 85.00886  1848.55  9990.40 2.79 2.45  24.5 -0.417    19.30 21.35 02a57988o0543c       0    26.655254
57988.553903 19.631075      NaN     7    17 c    0   0.92 7.8065 85.00886  2085.06   189.66 3.09 2.73  53.9 -0.381    19.36 21.21 02a57988o0647c       0    27.267244
57988.564396 19.589310      NaN    16    16 c    0   1.10 7.8065 85.00886  2101.59   231.36 3.07 2.67  63.6 -0.384    19.18 21.16 02a57988o0665c       0    26.655254
57988.574724 19.631075      NaN   -13    17 c    0   1.27 7.8065 85.00886  2076.35   140.00 3.27 2.74  66.4 -0.366    19.05 21.20 02a57988o0682c       0    27.267244
57988.584595 19.401649      NaN    10    21 c    0   1.02 7.8065 85.00886  2069.48   228.47 3.34 2.64  66.1 -0.364    18.94 21.27 02a57988o0700c       0    29.924949
58012.502323 19.351140      NaN   -11    22 c    0   0.78 7.8065 85.00886  6122.39  3679.20 2.94 2.89  51.5 -0.409    18.82 21.42 02a58012o0615c       0    30.634990
58012.523189 19.652575      NaN    22    13 c    0   1.36 7.8065 85.00886  6119.61  3680.43 2.72 2.59  10.3 -0.409    19.13 21.41 02a58012o0616c       0    24.970034
58012.543895 19.868040      NaN    16    12 c    0   1.53 7.8065 85.00886  6118.43  3683.65 2.56 2.54 -13.5 -0.413    19.40 21.31 02a58012o0617c       0    24.464312
58012.602957 19.922338      NaN   -12    13 c    0   1.20 7.8065 85.00886  6108.13  3660.74 2.56 2.53  78.3 -0.413    19.46 21.04 02a58012o0618c       0    24.970034
58044.488090 19.302877      NaN    20    20 c    0   1.60 7.8065 85.00886  8264.67  6764.21 4.42 4.14  26.0 -0.388    18.84 21.16 02a58044o0144c       0    29.231876
58044.504244 19.510313      NaN   -43    19 c    0   1.37 7.8065 85.00886  8242.61  6719.29 4.08 3.74  38.9 -0.424    18.97 20.99 02a58044o0178c       0    28.557006
58044.506072 19.569016      NaN    -9    18 c    0   1.68 7.8065 85.00886  8289.78  6812.62 4.05 3.74  52.3 -0.339    18.98 20.98 02a58044o0182c       0    27.901659
58044.523574 19.454622      NaN    -1    20 c    0   1.05 7.8065 85.00886  8301.50  6722.87 3.99 3.63  54.8 -0.398    19.11 21.01 02a58044o0219c       0    29.231876
58076.342090 19.766969      NaN   -14    15 c    0   1.08 7.8065 85.00886   304.74  7780.67 3.13 2.55  50.6 -0.421    19.35 21.02 02a58076o0289c       0    26.067270
58076.344383 19.472870      NaN    34    12 c    0   1.41 7.8065 85.00886   290.64  7746.29 3.11 2.54  48.8 -0.412    19.38 21.02 02a58076o0294c       0    24.464312
58076.361644 19.841877      NaN     0    14 c    0   0.93 7.8065 85.00886   327.87  7794.98 3.11 2.48  49.9 -0.415    19.39 21.02 02a58076o0331c       0    25.504952
58076.362557 19.454622      NaN    29    14 c    0   0.87 7.8065 85.00886   349.49  7663.47 3.15 2.54  51.6 -0.413    19.36 21.01 02a58076o0333c       0    25.504952
58076.419486 15.886312      NaN  -333   535 c    0   1.20 7.8065 85.00886  8671.57  7162.83 2.65 2.49  54.0 -0.383    16.10 17.66 02a58076o0455c       2   535.424600
58076.437469 15.957603      NaN   -32   501 c    0   1.82 7.8065 85.00886  8695.21  7213.71 3.06 2.61  63.2 -0.442    15.71 17.14 02a58076o0493c       2   501.453390
58076.454319 15.575997      NaN  -833   712 c    0   0.70 7.8065 85.00886  8713.82  7106.37 2.95 2.67  61.8 -0.445    15.62 17.16 02a58076o0529c       2   712.319102
58280.589966 19.766969      NaN     3    15 c    0   1.05 7.8065 85.00886  9565.17  3460.55 2.84 2.73  71.3 -0.454    19.09 20.97 02a58280o0733c    8192    26.067270
58284.616667 18.417189      NaN   -15    52 c    0   1.04 7.8065 85.00886  3338.22  3592.97 2.70 2.60 -89.4 -0.436    17.65 18.72 02a58284o0786c    8192    56.200557
58308.578376 19.841877      NaN   -15    14 c    0   0.92 7.8065 85.00886  1167.98  5849.53 2.70 2.49  52.1 -0.458    19.42 21.15 02a58308o0439c       0    25.504952
58308.588415 19.841877      NaN    -6    14 c    0   1.59 7.8065 85.00886  1151.73  5812.71 2.71 2.47  59.1 -0.455    19.44 21.18 02a58308o0460c       0    25.504952
58308.598259 19.841877      NaN     0    14 c    0   1.09 7.8065 85.00886  1194.59  5881.17 2.70 2.50  52.4 -0.451    19.41 21.15 02a58308o0481c       0    25.504952
58308.608056 19.183773      NaN    46    14 c    0   0.98 7.8065 85.00886  1227.85  5743.13 2.59 2.39  58.1 -0.459    19.37 20.93 02a58308o0502c       0    25.504952
58308.619791 18.702047      NaN    -9    40 c    0   0.82 7.8065 85.00886  1022.22  4654.28 2.63 2.48  40.0 -0.492    18.02 19.11 02a58308o0527c       0    45.326621
58312.547350 17.109992      NaN   219   104 c    0   1.10 7.8065 85.00886  9830.10  4446.92 3.02 2.77  76.9 -0.457    16.90 18.62 02a58312o0649c       2   106.162623
58312.579520 16.376373      NaN   304   243 c    0   0.69 7.8065 85.00886  9789.05  4572.06 2.81 2.68 -87.2 -0.429    16.41 18.02 02a58312o0712c       2   243.933398
58312.599126 18.566153      NaN    78    23 c    0   0.81 7.8065 85.00886  1415.11  4801.71 2.48 2.42  62.8 -0.439    18.85 20.60 02a58312o0749c       0    31.360845
58312.610220 19.696897      NaN   -12    16 c    0   0.59 7.8065 85.00886  1442.62  4847.06 2.53 2.44  54.0 -0.444    19.27 20.98 02a58312o0770c       0    26.655254
58312.620627 18.878500      NaN    -1    34 c    0   0.74 7.8065 85.00886  1398.86  4744.64 2.60 2.52  88.3 -0.440    18.25 19.44 02a58312o0791c       0    40.131068
58316.626791 17.643932      NaN   -91   106 c    0   1.62 7.8065 85.00886  3292.35  5933.07 2.71 2.58  67.2 -0.467    16.98 18.54 02a58316o0364c 8388610   108.122628
58340.603492 19.241693      NaN    36    16 c    0   1.44 7.8065 85.00886  1799.57  4694.47 2.55 2.37  38.7 -0.439    18.85 20.68 02a58340o0102c       0    26.655254
