 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD           uJy        duJy        stdev       x2         m       dm
57922.5      0      3          3 8388608 57922.612633   -532.879335  362.872399  1271.138204 3.065019 16.307812      NaN
57923.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57924.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57925.5      0      4          2       0 57925.596917     -3.452254   17.502453    38.248094 1.164501 19.599450      NaN
57926.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57927.5      0      3          0       0 57927.604889    -20.425797   22.147612    53.351039 1.181024 19.343880      NaN
57928.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57929.5      0      5          1       0 57929.600951     -7.273583   17.083176    35.667913 0.859307 19.625775      NaN
57930.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57931.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57932.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57933.5      0      6          1       0 57933.597947     -1.694324   14.779980    28.472209 0.645570 19.783012      NaN
57934.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57935.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57936.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57937.5      0      6          1       0 57937.592737      4.033781   15.125727    39.515820 1.195761 19.665442      NaN
57938.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57939.5      0      4          2       0 57939.602094     -8.512332   22.303645    56.844818 1.500819 19.336257      NaN
57940.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57941.5      0      5          0       0 57941.596133    -18.543912   20.188213    50.524252 1.178688 19.444452      NaN
57942.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57943.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57944.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57945.5      0      3          3       0 57945.596201     -6.892274   27.507853    13.316656 0.086814 19.108555      NaN
57946.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57947.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57948.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57949.5      0      6          1       0 57949.590768     -6.104456   17.305172    28.176231 0.440757 19.611757      NaN
57950.5      0      0          0 8388608          NaN           NaN         NaN          NaN      NaN       NaN      NaN
57951.5      1      1          2 8388608 57951.578135  -1352.000000 1468.330065          NaN      NaN 14.790138      NaN
