         MJD         m       dm     uJy  duJy F  err   chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57247.250214 17.365395      NaN  -150.0   137 c    0    0.95 230.33371 14.06959  2460.46  8424.20 3.86 3.77 -69.5 -0.405    17.55 19.07 02a57247o0027c       2  137.995299
57247.270546 19.351140      NaN   -13.0    22 c    0    1.52 230.33371 14.06959  2457.27  8423.59 3.95 3.76 -61.9 -0.413    18.87 20.80 02a57247o0055c       0   27.526395
57247.286377 19.014394      NaN   -28.0    30 c    0    0.87 230.33371 14.06959   983.74  9910.09 4.03 3.87 -36.0 -0.411    18.98 20.90 02a57247o0077c       0   34.259341
57247.296826 18.550302      NaN    27.0    37 c    0    1.06 230.33371 14.06959  6871.66   186.95 4.37 3.80   0.7 -0.477    19.00 20.93 02a57247o0091c       0   40.530266
57247.300196 19.142275      NaN    14.0    22 c    0    1.00 230.33371 14.06959   983.32  9910.21 4.13 3.90 -43.3 -0.410    19.12 21.09 02a57247o0096c       0   27.526395
57248.246256 19.212347      NaN   -11.0    25 c    0    0.92 230.33371 14.06959  2452.40  8411.31 4.02 3.93 -58.5 -0.413    19.08 20.72 02a57248o0013c       0   29.978366
57248.255230 19.454622      NaN   -18.0    20 c    0    0.87 230.33371 14.06959  2445.77  8410.86 4.06 3.85 -63.4 -0.399    19.44 21.39 02a57248o0026c       0   25.955779
57248.269792 19.367717      NaN    11.0    18 c    0    1.27 230.33371 14.06959   975.16  9897.42 4.21 3.93 -36.2 -0.415    19.47 21.47 02a57248o0046c       0   24.447954
57248.283906 18.459772      NaN    60.0    30 c    0    0.94 230.33371 14.06959  6860.74   172.83 4.61 3.88   0.9 -0.453    19.51 21.57 02a57248o0066c       0   34.259341
57248.293638 19.631075      NaN   -28.0    17 c    0    1.63 230.33371 14.06959   977.26  9896.36 4.18 3.86 -42.0 -0.414    19.48 21.47 02a57248o0079c       0   23.721350
57248.299359 19.401649      NaN   -67.0    21 c    0    1.23 230.33371 14.06959  6852.25   175.98 4.61 3.88   1.3 -0.457    19.51 21.58 02a57248o0087c       0   26.733919
57250.275243 18.631975      NaN    20.0    36 c    0    1.03 230.33371 14.06959   966.47  9906.97 4.11 3.95   4.8 -0.421    19.17 21.13 02a57250o0025c       0   39.619471
