         MJD         m       dm   uJy  duJy F  err  chi/N        RA     Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57229.309397 19.014394      NaN    -5    30 o    0   0.83 254.55404 2.11751  3560.00  4297.67  3.68 3.47 -66.1 -0.435    18.73 19.87 02a57229o0104o       0   43.057774
57229.322804 18.606822      NaN    33    32 o    0   0.83 254.55404 2.11751  3558.73  4300.74  3.71 3.50 -70.4 -0.426    18.70 19.84 02a57229o0122o       0   44.474396
57229.336051 18.978793      NaN   -60    31 o    0   1.37 254.55404 2.11751  2099.74  5754.49  3.81 3.52 -66.5 -0.439    18.65 19.77 02a57229o0139o       0   43.760392
57229.347659 18.847027      NaN   -79    35 o    0   1.00 254.55404 2.11751  2095.56  5756.54  3.75 3.47 -70.8 -0.445    18.65 19.73 02a57229o0154o       0   46.679460
57292.208822 17.099602      NaN  -336   175 o    0   1.02 254.55404 2.11751  3277.33  4528.16  4.19 3.58 -67.2 -0.512    17.12 17.48 02a57292o0003o 8388610  177.704732
57318.206297 18.158337      NaN   -45    66 o    0   1.06 254.55404 2.11751  3393.44  4549.73  4.05 3.28 -47.3 -0.466    17.94 18.82 02a57318o0019o 8388610   72.869554
57472.623430 18.356290      NaN   -88    55 o    0   0.97 254.55404 2.11751  2943.50  4900.27  3.62 3.34 -56.3 -0.498    18.38 19.18 02a57472o0749o    8192   63.079093
57472.646213 17.422338      NaN   148    80 o    0   0.71 254.55404 2.11751  2634.90  4324.85  3.90 3.34 -56.2 -0.495    18.15 19.04 02a57472o0783o       2   85.755303
57493.545246 19.302877      NaN   -43    23 o    0   0.88 254.55404 2.11751  7597.56  6031.38  3.76 3.34  85.4 -0.448    19.05 20.60 02a57493o0636o       0   38.509375
57493.564964 19.256669      NaN   -96    24 o    0   0.99 254.55404 2.11751  2737.06  4049.36  4.18 3.58 -16.2 -0.426    19.01 20.55 02a57493o0670o       0   39.114856
57493.585228 19.302877      NaN   -51    23 o    0   0.82 254.55404 2.11751  3892.50  3470.47  3.94 3.56 -16.4 -0.433    19.06 20.59 02a57493o0705o       0   38.509375
57493.603951 18.978793      NaN    16    25 o    0   0.85 254.55404 2.11751  3946.81  3646.18  3.77 3.45 -20.1 -0.447    19.05 20.50 02a57493o0739o       0   39.736280
57495.458100 18.944322      NaN   -20    32 o    0   1.18 254.55404 2.11751  7246.75  6022.25  3.78 3.24  85.3 -0.472    18.64 19.81 02a57495o0481o       0   44.474396
57495.472979 19.128787      NaN   -40    27 o    0   1.06 254.55404 2.11751  7264.46  6062.68  3.82 3.29  85.7 -0.480    18.72 19.95 02a57495o0511o       0   41.024041
57495.487200 18.878500      NaN   -75    34 o    0   1.16 254.55404 2.11751  7202.04  5988.20  3.94 3.12  87.9 -0.466    18.67 19.92 02a57495o0540o       0   45.934431
57495.501867 19.128787      NaN   -54    27 o    0   1.01 254.55404 2.11751  7179.53  6106.47  3.63 3.06  87.8 -0.485    18.84 20.05 02a57495o0570o       0   41.024041
57498.467018 18.649074      NaN  -187    42 o    0   1.05 254.55404 2.11751  7250.00  6019.84  3.78 3.13  87.5 -0.480    18.32 19.14 02a57498o0507o       0   52.134173
57498.481306 18.729535      NaN    -8    39 o    0   1.00 254.55404 2.11751  7266.15  6059.74  3.86 3.18  88.1 -0.483    18.34 19.21 02a57498o0536o       0   49.749090
57498.495575 18.757738      NaN  -133    38 o    0   1.26 254.55404 2.11751  7205.17  5984.32  3.83 3.25 -90.0 -0.482    18.36 19.25 02a57498o0565o       0   48.969092
57498.510200 18.675237      NaN   -55    41 o    0   1.15 254.55404 2.11751  7182.40  6102.03  3.81 3.26  88.4 -0.490    18.40 19.31 02a57498o0594o       0   51.331978
57500.519349 18.356290      NaN   -85    55 o    0   1.14 254.55404 2.11751  7238.47  6027.90  3.71 3.15  84.3 -0.502    18.11 18.69 02a57500o0580o       0   63.079093
57500.539647 18.481707      NaN   -98    49 o    0   1.35 254.55404 2.11751  7257.30  6064.76  3.69 3.16  85.6 -0.504    18.12 18.71 02a57500o0621o       0   57.922120
57500.558346 18.574166      NaN  -150    45 o    0   1.16 254.55404 2.11751  7200.01  5984.80  3.73 3.21  85.5 -0.498    18.14 18.75 02a57500o0657o       0   54.579959
57500.587627 18.410251      NaN    14    47 o    0   1.29 254.55404 2.11751  3382.19  4443.99  3.80 3.41 -37.3 -0.491    18.16 18.83 02a57500o0698o       0   56.240305
57525.458558 19.089302      NaN   -36    28 o    0   1.06 254.55404 2.11751  6200.44  6827.22  3.63 3.16  88.7 -0.482    18.72 19.83 02a57525o0444o       0   41.688991
