         MJD         m       dm     uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57395.649680 19.766969      NaN   -10.5    15 c    0   1.01 232.89567 33.09485  4836.25  4616.52 3.63 3.58 -66.6 -0.394    19.54 21.42 02a57395o0692c    8192   21.860507
57395.665303 19.766969      NaN   -16.5    15 c    0   1.11 232.89567 33.09485  4521.67  4035.75 3.67 3.58 -51.4 -0.391    19.33 20.98 02a57395o0717c    8192   21.860507
57395.680707 17.279100      NaN    28.5   139 c    0   1.26 232.89567 33.09485  5356.24  5199.35 3.65 3.41  88.9 -0.385    17.57 17.58 02a57395o0742c       2  139.906690
57451.595884 19.841877      NaN    -1.5    14 c    0   0.85 232.89567 33.09485  5285.12  4014.00 3.66 3.50 -22.1 -0.416    19.63 21.51 02a57451o0716c       0   21.186830
57451.609609 19.868040      NaN     2.5    13 c    0   1.11 232.89567 33.09485  5571.07  4601.74 3.62 3.52 -41.8 -0.430    19.62 21.49 02a57451o0739c       0   20.539761
57451.645323 19.841877      NaN    -1.5    14 c    0   1.09 232.89567 33.09485  6237.66  5510.20 3.62 3.37  88.6 -0.430    19.56 21.39 02a57451o0796c       0   21.186830
57451.663988 18.481707      NaN  -102.5    49 c    0   0.97 232.89567 33.09485  6309.44  5436.87 3.60 3.31  86.5 -0.433    18.35 19.06 02a57451o0820c       0   51.515840
57455.588506 18.900000      NaN    28.5    24 c    0   1.13 232.89567 33.09485  5284.93  4169.73 3.68 3.58 -24.8 -0.412    19.06 21.03 02a57455o0673c       0   28.790307
57455.613850 19.816329      NaN     7.5    12 c    0   1.08 232.89567 33.09485  5574.46  4759.02 3.65 3.57 -58.4 -0.413    19.72 21.82 02a57455o0714c       0   19.921892
57455.636217 19.384550      NaN    25.5    13 c    0   0.96 232.89567 33.09485  6255.32  5359.96 3.67 3.44  89.8 -0.410    19.74 21.84 02a57455o0749c       0   20.539761
57455.658911 18.978793      NaN     9.5    28 c    0   0.79 232.89567 33.09485  6308.45  5435.20 3.67 3.41  82.9 -0.414    18.75 19.99 02a57455o0782c       0   32.200649
57487.502688 19.529530      NaN    14.5    14 c    0   1.04 232.89567 33.09485  5120.38  4105.69 3.77 3.64 -27.0 -0.412    19.64 21.64 02a57487o0560c       0   21.186830
57487.515305 19.979496      NaN     1.5    12 c    0   1.15 232.89567 33.09485  5411.36  4692.49 3.75 3.62 -51.7 -0.414    19.63 21.61 02a57487o0582c       0   19.921892
57487.535288 19.841877      NaN   -12.5    14 c    0   0.98 232.89567 33.09485  6384.97  5406.72 3.76 3.49  85.9 -0.419    19.61 21.59 02a57487o0618c       0   21.186830
57487.556745 19.766969      NaN    -5.5    15 c    0   0.93 232.89567 33.09485  6291.55  5422.23 3.77 3.61  86.9 -0.404    19.58 21.54 02a57487o0656c       0   21.860507
57489.482346 19.719755      NaN     8.5    13 c    0   1.32 232.89567 33.09485  5044.32  4255.28 3.75 3.62 -34.2 -0.413    19.72 21.80 02a57489o0521c    8192   20.539761
57513.442512 19.674510      NaN    10.5    13 c    0   0.80 232.89567 33.09485  5004.69  5223.34 3.66 3.52 -59.4 -0.416    19.73 21.80 02a57513o0441c       0   20.539761
57513.450763 19.816329      NaN     7.5    12 c    0   1.34 232.89567 33.09485  5023.85  5257.78 3.66 3.53 -66.7 -0.414    19.75 21.85 02a57513o0456c       0   19.921892
57513.459972 19.743105      NaN     4.5    14 c    0   0.89 232.89567 33.09485  4955.23  5179.98 3.67 3.53 -63.0 -0.414    19.75 21.83 02a57513o0474c       0   21.186830
57513.472785 19.841877      NaN     3.5    13 c    0   1.32 232.89567 33.09485  5607.93  5257.79 3.69 3.68 -72.1 -0.399    19.69 21.79 02a57513o0499c       0   20.539761
57513.485237 19.922338      NaN    -4.5    13 c    0   1.24 232.89567 33.09485  5560.94  5321.80 3.88 3.79   1.5 -0.391    19.66 21.81 02a57513o0523c       0   20.539761
