 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD          uJy        duJy       stdev       x2         m       dm
57385.5      0      1          0    8192 57385.628796    33.000000   35.660976         NaN      NaN 18.534812      NaN
57386.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57387.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57388.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57389.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57390.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57391.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57392.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57393.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57394.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57395.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57396.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57397.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57398.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57399.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57400.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57401.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57402.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57403.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57404.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57405.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57406.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57407.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57408.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
57409.5      0      0          0 8388608          NaN          NaN         NaN         NaN      NaN       NaN      NaN
