         MJD         m       dm     uJy  duJy F  err    chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57227.400483 18.738855      NaN    38.5    26 o    0     1.11 335.57137 -7.26641  8712.88  9704.14  4.25  3.50 -78.0 -0.461    19.03 20.54 02a57227o0106o       0    35.277363
57227.415985 19.014394      NaN    27.5    21 o    0     1.21 335.57137 -7.26641  3654.86  2043.50  3.76  3.50 -32.1 -0.452    19.05 20.62 02a57227o0123o       0    31.772510
57227.424350 19.169763      NaN   -60.5    26 o    0     0.89 335.57137 -7.26641  8721.26  9709.49  4.19  3.43 -80.1 -0.461    19.20 20.84 02a57227o0135o       0    35.277363
57227.437973 18.933071      NaN    37.5    20 o    0     0.98 335.57137 -7.26641  3662.13  2046.90  3.73  3.43 -32.6 -0.451    19.23 20.92 02a57227o0154o       0    31.120610
57227.445053 19.351140      NaN   -12.5    22 o    0     1.13 335.57137 -7.26641 10180.74  8262.08  4.22  3.27 -89.2 -0.446    19.28 20.97 02a57227o0164o       0    32.442139
57227.463933 18.921935      NaN    26.5    24 o    0     0.79 335.57137 -7.26641  5132.89   587.07  3.71  3.39  -7.5 -0.506    19.26 20.91 02a57227o0186o       0    33.830347
57227.471007 19.401649      NaN   -26.5    21 o    0     1.03 335.57137 -7.26641 10186.88  8264.40  4.19  3.34 -88.3 -0.450    19.27 20.97 02a57227o0196o       0    31.772510
57227.473146 19.529530      NaN     2.5    18 o    0     1.29 335.57137 -7.26641   768.55  7546.53  3.68  3.36 -66.4 -0.466    19.28 20.94 02a57227o0199o       0    29.874611
57227.486629 19.351140      NaN   -32.5    22 o    0     1.02 335.57137 -7.26641  5136.46   588.55  3.74  3.42  -6.7 -0.501    19.24 20.87 02a57227o0218o       0    32.442139
57227.493658 19.569016      NaN   -22.5    18 o    0     1.31 335.57137 -7.26641   773.01  7547.38  3.74  3.44 -68.9 -0.460    19.27 20.93 02a57227o0228o       0    29.874611
57229.452568 18.489118      NaN    20.5    42 o    0     1.01 335.57137 -7.26641  1962.84  4921.33  3.60  3.35 -66.5 -0.462    18.93 20.35 02a57229o0285o 8388608    48.295884
57229.479820 18.356290 0.236888   165.5    36 o    0     1.21 335.57137 -7.26641  1961.75  4924.33  3.65  3.38 -67.9 -0.467    19.09 20.65 02a57229o0318o 8392704    43.179768
57229.503495 18.459772      NaN  -425.5    50 o    0     0.99 335.57137 -7.26641  3439.58  3465.77  3.51  3.32 -53.5 -0.449    19.23 20.87 02a57229o0349o 8392704    55.393974
57229.507953 18.459772      NaN  -178.5    50 o    0     1.03 335.57137 -7.26641  3432.75  3466.85  3.61  3.38 -60.7 -0.455    19.22 20.90 02a57229o0354o 8388608    55.393974
57288.340438 18.261819      NaN    54.5    42 o    0     0.85 335.57137 -7.26641  1990.67  4923.13  3.94  3.13 -62.7 -0.470    18.65 19.99 02a57288o0199o    8192    48.295884
57288.355243 18.317510      NaN   -61.5    57 o    0     0.90 335.57137 -7.26641  1986.05  4927.78  3.92  3.18 -59.0 -0.496    18.64 19.98 02a57288o0221o    8192    61.785859
57288.384501 16.362649      NaN  -216.5   345 o    0     1.03 335.57137 -7.26641  7113.82  7135.95  3.89  3.08 -84.8 -0.587    18.62 19.96 02a57288o0264o       2   345.822921
57297.351224 19.076453      NaN     7.5    26 o    0     1.17 335.57137 -7.26641  8559.90  5669.67  4.09  3.49  88.6 -0.489    18.87 20.30 02a57297o0080o       0    35.277363
57297.379767 19.128787      NaN     6.5    25 o    0     1.39 335.57137 -7.26641  7098.25  7131.93  4.04  3.32 -79.7 -0.462    18.82 20.19 02a57297o0122o       0    34.546959
57297.395733 18.867907      NaN    19.5    28 o    0     1.07 335.57137 -7.26641  7090.78  7128.39  4.03  3.25 -79.2 -0.467    18.81 20.16 02a57297o0145o       0    36.776247
57298.318723 18.990530      NaN    20.5    24 o    0     1.09 335.57137 -7.26641  2023.60  4926.24  4.19  3.38 -56.1 -0.480    19.10 20.83 02a57298o0182o       0    33.830347
57298.347491 19.169763      NaN   -11.5    26 o    0     0.88 335.57137 -7.26641  8562.23  5680.31  4.10  3.50  88.5 -0.475    19.10 20.74 02a57298o0226o       0    35.277363
57298.373444 18.826541      NaN    38.5    23 o    0     1.28 335.57137 -7.26641  7093.31  7135.60  3.99  3.24 -80.4 -0.468    18.98 20.48 02a57298o0265o       0    33.128422
57298.390721 18.675237      NaN    51.5    24 o    0     1.21 335.57137 -7.26641  7089.09  7133.29  3.96  3.22 -79.7 -0.468    18.92 20.36 02a57298o0291o       0    33.830347
57322.337675 17.981610      NaN    65.5    56 o    0     1.26 335.57137 -7.26641  8658.91  5705.76  4.42  3.79  86.5 -0.506    17.89 18.61 02a57322o0315o    8192    60.864541
57322.362421 18.063866      NaN    18.5    66 o    0     1.21 335.57137 -7.26641  8659.11  5706.00  4.45  3.99  84.2 -0.495    17.82 18.53 02a57322o0353o       2    70.174727
57322.389666 18.009935      NaN    17.5    70 o    0     1.19 335.57137 -7.26641  7194.95  7157.20  4.19  3.51 -81.8 -0.485    17.76 18.39 02a57322o0395o       2    73.949255
57322.414793 17.883650      NaN  -111.5    85 o    0     1.26 335.57137 -7.26641  7195.68  7157.22  4.34  3.65 -80.1 -0.470    17.62 18.22 02a57322o0433o       2    88.280759
57326.307518 18.511660      NaN    50.5    31 o    0     1.27 335.57137 -7.26641  8707.69  5717.86  4.07  3.31  87.0 -0.498    18.78 20.23 02a57326o0221o       0    39.108725
57326.331191 19.014394      NaN   -41.5    30 o    0     1.37 335.57137 -7.26641  8706.86  5718.26  4.02  3.26  89.1 -0.500    18.64 19.96 02a57326o0258o       0    38.320913
57326.357742 18.615142      NaN    16.5    38 o    0     0.99 335.57137 -7.26641  7241.84  7171.97  3.88  3.05 -86.0 -0.501    18.48 19.72 02a57326o0299o       0    44.860811
57330.298419 18.702047      NaN   -71.5    40 o    0     1.17 335.57137 -7.26641  8700.12  5718.02  4.61  4.17  83.9 -0.484    18.46 20.10 02a57330o0163o       0    46.567074
57330.321936 18.816441      NaN   -40.5    36 o    0     0.93 335.57137 -7.26641  8705.52  5718.48  4.64  4.33  79.6 -0.462    18.60 20.28 02a57330o0200o       0    43.179768
57330.347092 18.944322      NaN    -3.5    32 o    0     1.08 335.57137 -7.26641  7238.87  7171.83  4.71  4.32 -79.4 -0.464    18.56 20.26 02a57330o0239o       0    39.906044
57330.377656 18.729535      NaN   -32.5    39 o    0     0.79 335.57137 -7.26641  7242.41  7172.83  4.47  4.01 -79.3 -0.474    18.56 20.25 02a57330o0286o       0    45.710966
57353.235457 18.481707      NaN   -39.5    49 o    0     0.96 335.57137 -7.26641  8702.37  5717.91  3.94  3.40  82.7 -0.486    18.19 19.12 02a57353o0101o       0    54.493049
57353.237362 18.158337      NaN    -5.5    66 o    0     0.92 335.57137 -7.26641  8702.05  5718.24  3.96  3.42  82.9 -0.474    17.95 18.81 02a57353o0104o       2    70.174727
57353.248379 18.336727      NaN   -52.5    56 o    0     1.68 335.57137 -7.26641  8707.08  5715.45  3.84  3.28  87.2 -0.466    17.96 18.70 02a57353o0120o       0    60.864541
57353.253509 18.526952      NaN  -106.5    47 o    0     1.37 335.57137 -7.26641  8707.02  5716.35  4.04  3.51  83.8 -0.463    18.21 19.20 02a57353o0128o       0    52.701920
57354.252376 18.675237      NaN   -38.5    41 o    0     1.56 335.57137 -7.26641  8701.41  5719.13  3.85  3.38  85.9 -0.468    18.16 19.44 02a57354o0128o       0    47.428814
57354.260644 18.978793      NaN   -60.5    31 o    0     1.40 335.57137 -7.26641  8701.88  5719.20  3.79  3.27  86.8 -0.465    18.43 19.57 02a57354o0141o       0    39.108725
