         MJD         m       dm   uJy  duJy F  err  chi/N       RA       Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57317.458118 19.051202      NaN     2    28 c    0   1.01 68.13022 -32.43066  5732.56  5235.43  4.41  4.02 -65.3 -0.432    18.71 20.23 02a57317o0360c       0   32.034114
57317.475389 19.183773      NaN     7    23 c    0   1.13 68.13022 -32.43066  7186.00  3801.08  4.44  4.31  28.8 -0.424    19.03 20.80 02a57317o0387c       0   27.770208
57317.491421 19.102305      NaN    16    22 c    0   0.94 68.13022 -32.43066  7178.12  3803.29  4.45  4.33  15.4 -0.418    19.23 21.19 02a57317o0412c       0   26.947810
57370.381278 19.631075      NaN   -12    17 c    0   1.00 68.13022 -32.43066  5423.19  5567.85  3.94  3.65 -74.7 -0.433    19.52 21.54 02a57370o0323c       0   23.047439
57370.399077 19.631075      NaN     8    14 c    0   1.53 68.13022 -32.43066  5792.78  5459.61  3.98  3.81 -65.1 -0.413    19.49 21.53 02a57370o0349c       0   20.932856
57370.416799 19.631075      NaN    -4    17 c    0   0.99 68.13022 -32.43066  4942.95  4303.10  4.10  3.81 -37.1 -0.411    19.53 21.56 02a57370o0374c       0   23.047439
57370.435786 19.631075      NaN   -23    17 c    0   0.99 68.13022 -32.43066  4647.48  6040.51  4.17  3.85 -61.6 -0.393    19.46 21.52 02a57370o0403c       0   23.047439
57373.393685 19.510313      NaN    -2    19 c    0   0.89 68.13022 -32.43066  5504.36  4881.53  4.89  4.58 -48.8 -0.371    19.37 21.67 02a57373o0065c       0   24.559814
57373.408739 19.491430      NaN     6    17 c    0   1.15 68.13022 -32.43066  5800.28  5464.49  4.56  4.21 -58.4 -0.412    19.47 21.74 02a57373o0090c       0   23.047439
57373.421007 19.569016      NaN   -65    18 c    0   1.11 68.13022 -32.43066  4947.23  4303.70  5.11  4.65 -32.7 -0.378    19.44 21.80 02a57373o0109c       0   23.794631
57397.305459 19.696897      NaN   -47    16 c    0   0.83 68.13022 -32.43066  5290.12  5363.06  3.90  3.67 -76.0 -0.420    19.55 21.55 02a57397o0180c    8192   22.320046
57423.265598 19.510313      NaN   -31    19 c    0   1.21 68.13022 -32.43066  4480.92  5520.03  4.13  4.01 -88.7 -0.387    19.22 21.06 02a57423o0092c       0   24.559814
57423.280998 19.454622      NaN   -18    20 c    0   0.93 68.13022 -32.43066  4223.28  4942.85  4.37  4.21 -62.4 -0.374    19.19 21.09 02a57423o0117c       0   25.341358
57423.296416 19.436675      NaN     6    18 c    0   1.09 68.13022 -32.43066  5410.39  4373.03  4.01  3.91 -82.1 -0.398    19.27 21.11 02a57423o0142c       0   23.794631
57423.311859 19.491430      NaN     0    19 c    0   0.85 68.13022 -32.43066  5668.56  4489.18  3.97  3.87  82.3 -0.399    19.30 21.17 02a57423o0167c       0   24.559814
57429.250267 19.454622      NaN   -33    20 c    0   0.93 68.13022 -32.43066  4601.94  5565.61  4.13  4.01 -69.3 -0.440    19.40 21.39 02a57429o0142c       0   25.341358
57429.265574 19.454622      NaN   -25    20 c    0   0.97 68.13022 -32.43066  4340.41  4988.89  4.07  3.91 -67.3 -0.443    19.44 21.42 02a57429o0167c       0   25.341358
57429.281015 19.569016      NaN   -16    18 c    0   1.01 68.13022 -32.43066  5527.02  4419.29  4.03  3.90 -46.2 -0.449    19.45 21.45 02a57429o0192c       0   23.794631
57429.296429 19.766969      NaN   -11    15 c    0   1.38 68.13022 -32.43066  5654.25  4496.28  3.90  3.84 -63.5 -0.459    19.48 21.45 02a57429o0217c       0   21.614450
57430.251071 19.401649      NaN   -23    21 c    0   1.23 68.13022 -32.43066  4464.89  5359.71  3.86  3.84 -66.9 -0.487    19.28 21.09 02a57430o0106c       0   26.137797
57430.265905 19.351140      NaN   -37    22 c    0   0.94 68.13022 -32.43066  4204.92  4782.43  3.94  3.80 -42.5 -0.487    19.32 21.12 02a57430o0130c       0   26.947810
57430.281346 19.510313      NaN   -20    19 c    0   0.98 68.13022 -32.43066  5392.42  4212.05  4.00  3.93 -44.7 -0.456    19.31 21.15 02a57430o0155c       0   24.559814
57430.296766 19.569016      NaN   -20    18 c    0   1.09 68.13022 -32.43066  5648.57  4482.56  3.76  3.69 -67.9 -0.469    19.35 21.14 02a57430o0180c       0   23.794631
57453.233539 19.089302      NaN   -69    28 c    0   0.93 68.13022 -32.43066  4719.09  5724.30  4.16  3.68 -78.8 -0.503    19.06 20.85 02a57453o0033c       0   32.034114
57453.244838 19.212347      NaN   -21    25 c    0   1.18 68.13022 -32.43066  4444.85  5137.72  4.11  3.64 -66.8 -0.486    19.14 21.01 02a57453o0055c       0   29.447996
57453.260311 19.212347      NaN   -57    25 c    0   0.97 68.13022 -32.43066  5607.42  4560.68  4.10  3.59 -63.6 -0.500    19.08 20.96 02a57453o0086c       0   29.447996
57453.277785 19.351140      NaN    -8    22 c    0   0.96 68.13022 -32.43066  5595.08  4504.83  3.86  3.73 -84.3 -0.513    19.23 21.03 02a57453o0121c       0   26.947810
57457.225773 18.336727      NaN   -25    56 c    0   0.99 68.13022 -32.43066  4785.44  5666.28  4.20  3.72 -73.2 -0.521    18.30 19.64 02a57457o0043c       0   58.122151
57457.234614 18.878500      NaN    -5    34 c    0   0.96 68.13022 -32.43066  4495.11  5082.01  4.06  3.06 -59.9 -0.430    18.72 20.49 02a57457o0061c       0   37.392305
57457.250621 19.197966      NaN     0    25 c    0   1.22 68.13022 -32.43066  5661.04  4508.22  4.39  3.91 -57.4 -0.498    19.03 20.98 02a57457o0091c       0   29.447996
57457.269100 18.786693      NaN   -61    37 c    0   0.79 68.13022 -32.43066  5597.13  4507.58  4.68  3.60 -48.3 -0.441    18.72 20.72 02a57457o0127c       0   40.139562
57461.224883 18.298627      NaN   -64    58 c    0   1.09 68.13022 -32.43066  4724.02  5761.34  3.96  3.69  86.8 -0.515    18.16 18.98 02a57461o0031c       0   60.051515
57461.230392 18.847027      NaN   -19    35 c    0   0.91 68.13022 -32.43066  4447.96  5176.63  3.97  3.75 -76.0 -0.514    18.65 19.88 02a57461o0042c       0   38.303844
57461.240228 17.821591      NaN    89    60 c    0   1.31 68.13022 -32.43066  5611.29  4601.85  4.03  3.96  64.5 -0.519    17.98 19.47 02a57461o0062c       0   61.985357
57461.254571 15.114960      NaN   307   986 c    0   0.88 68.13022 -32.43066  5597.72  4504.20  3.85  3.68 -70.4 -0.517    15.64 16.61 02a57461o0091c       2  986.122804
57659.633609 19.510313      NaN    -6    19 c    0   0.92 68.13022 -32.43066  6507.38  6703.97  3.48  3.27 -57.7 -0.437    19.40 21.13 02a57659o0761c    8192   24.559814
57659.648435 16.440934      NaN   -93   321 c    0   1.44 68.13022 -32.43066  6492.59  6666.72  3.55  3.43 -56.4 -0.493    17.47 17.46 02a57659o0790c       2  321.377013
57663.623080 18.582238      NaN    25    36 c    0   0.88 68.13022 -32.43066  3926.80  6651.21  3.73  3.62  59.3 -0.400    18.67 20.38 02a57663o0399c    8192   39.219695
57663.639056 17.685696      NaN   -86   102 c    0   0.96 68.13022 -32.43066  3911.84  6611.55  3.64  3.56  66.4 -0.410    17.59 18.96 02a57663o0430c       2  103.180349
57667.607795 19.169763      NaN   -57    26 c    0   1.25 68.13022 -32.43066  3144.48  6485.41  3.70  3.58  63.0 -0.406    18.89 20.68 02a57667o0772c       0   30.301559
57667.623729 18.317510      NaN   -19    57 c    0   1.00 68.13022 -32.43066  3112.91  6445.31  3.63  3.55  43.1 -0.411    18.07 19.77 02a57667o0803c       0   59.086246
57667.639651 18.298627      NaN  -133    58 c    0   0.91 68.13022 -32.43066  3180.74  6542.64  3.60  3.50  63.1 -0.414    18.01 19.46 02a57667o0834c       0   60.051515
57687.520540 19.631075      NaN     2    16 c    0   1.23 68.13022 -32.43066  5974.45  6928.21  3.68  3.60 -79.6 -0.426    19.49 21.31 02a57687o0669c       0   22.320046
57687.533883 19.766969      NaN   -14    15 c    0   1.31 68.13022 -32.43066  5958.38  6890.19  3.66  3.55 -87.7 -0.426    19.50 21.30 02a57687o0696c       0   21.614450
57687.547157 19.569016      NaN   -10    18 c    0   0.75 68.13022 -32.43066  6007.39  6970.55  3.67  3.54 -83.5 -0.430    19.48 21.27 02a57687o0723c       0   23.794631
57687.560543 19.063754      NaN    31    18 c    0   1.08 68.13022 -32.43066  6027.62  6854.24  3.65  3.53 -80.4 -0.435    19.44 21.18 02a57687o0750c       0   23.794631
57687.573579 19.631075      NaN   -20    17 c    0   1.33 68.13022 -32.43066  5997.31  6911.09  3.65  3.54 -85.1 -0.432    19.40 21.09 02a57687o0776c       0   23.047439
57691.547136 19.631075      NaN    -9    17 c    0   1.01 68.13022 -32.43066  4709.14  4684.57  4.17  4.01  87.3 -0.359    19.48 21.50 02a57691o0299c       0   23.047439
57691.560540 19.696897      NaN   -10    16 c    0   1.30 68.13022 -32.43066  4744.80  4568.55  4.25  4.09  86.8 -0.354    19.46 21.47 02a57691o0325c       0   22.320046
57691.574432 19.472870      NaN     7    17 c    0   1.02 68.13022 -32.43066  4697.67  4624.79  4.06  3.92 -88.2 -0.359    19.46 21.40 02a57691o0352c       0   23.047439
57699.493961 19.089302      NaN    26    19 c    0   1.05 68.13022 -32.43066  5222.96  6967.55  3.59  3.55  67.7 -0.430    19.36 21.04 02a57699o0600c       0   24.559814
57699.509866 13.621088      NaN  4279  2883 c    0   1.02 68.13022 -32.43066  5209.18  6927.77  3.69  3.63  51.2 -0.404    13.85 15.55 02a57699o0631c       2 2883.042002
57699.525766 19.351140      NaN     5    20 c    0   1.10 68.13022 -32.43066  5274.32  7003.55  3.94  3.80  64.3 -0.392    19.24 21.00 02a57699o0662c       0   25.341358
57699.541228 18.878500      NaN   -23    34 c    0   1.18 68.13022 -32.43066  5292.75  6886.85  3.75  3.66  67.4 -0.415    18.64 20.29 02a57699o0692c       0   37.392305
57699.556172 18.806434      NaN    36    24 c    0   1.18 68.13022 -32.43066  5261.89  6942.84  3.54  3.48 -82.7 -0.446    18.92 20.50 02a57699o0721c       0   28.603924
57715.461432 19.696897      NaN   -32    16 c    0   1.13 68.13022 -32.43066  3335.14  4870.17  4.30  4.20  69.2 -0.351    19.50 21.65 02a57715o0548c       0   22.320046
57715.474870 18.298627      NaN    -4    58 c    0   0.90 68.13022 -32.43066  3321.04  4831.37  4.44  4.35  86.9 -0.345    18.10 20.16 02a57715o0574c       0   60.051515
57715.488826 19.569016      NaN   -29    18 c    0   1.08 68.13022 -32.43066  3388.78  4911.11  4.37  4.27  68.7 -0.347    19.27 21.37 02a57715o0601c       0   23.794631
57747.376374 19.384550      NaN     9    18 c    0   0.79 68.13022 -32.43066  3381.33  5131.96  3.99  3.88  72.6 -0.369    19.53 21.49 02a57747o0380c       0   23.794631
57747.389442 19.318728      NaN    16    17 c    0   1.09 68.13022 -32.43066  3349.61  5093.42  4.14  4.02  64.6 -0.363    19.49 21.49 02a57747o0406c       0   23.047439
