         MJD         m       dm     uJy  duJy F  err  chi/N       RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57232.519724 16.842946      NaN   102.0   199 o    0   1.65 46.94919 40.31127  9431.42  9567.11  3.89 3.30 -78.6 -0.503    17.84 18.76 02a57232o0331o 8388610   208.374997
57302.424737 19.051202      NaN   -94.0    29 o    0   1.97 46.94919 40.31127  9504.07  9596.26  4.76 3.93 -81.6 -0.465    19.04 20.76 02a57302o0367o       0    68.265213
57302.450183 16.834813 0.043754   704.0    27 o    0  20.41 46.94919 40.31127  9504.74  9601.94  4.62 3.68 -80.6 -0.481    19.14 20.87 02a57302o0406o    4096    67.439894
57302.467418 19.401649      NaN   -91.0    21 o    0   1.99 46.94919 40.31127   924.80  8036.75  4.36 3.44 -55.2 -0.455    19.13 20.85 02a57302o0432o       0    65.269742
57302.494889 19.401649      NaN   -21.0    21 o    0   2.13 46.94919 40.31127   921.75  8046.82  4.23 3.38 -56.2 -0.460    19.12 20.76 02a57302o0475o       0    65.269742
57320.497308 18.336727      NaN  -111.0    56 o    0   1.81 46.94919 40.31127  1132.03  1022.34  5.91 3.74 -25.7 -0.473    18.48 19.62 02a57320o0439o       0    83.397478
57320.539763 18.396507      NaN  -213.0    53 o    0   1.80 46.94919 40.31127  1117.65  1023.19  6.06 3.59 -23.6 -0.468    18.45 19.55 02a57320o0505o       0    81.413385
57320.581100 18.574166      NaN   -86.0    45 o    0   1.18 46.94919 40.31127  9699.47  2588.91  4.97 3.94  33.2 -0.503    18.48 19.63 02a57320o0569o       0    76.446970
57320.611410 18.786693      NaN   -81.0    37 o    0   1.35 46.94919 40.31127  9695.71  2591.10  5.10 3.96  32.5 -0.492    18.85 20.39 02a57320o0616o       0    72.028739
57324.390518 18.396507      NaN  -128.0    53 o    0   1.13 46.94919 40.31127  9554.04  9632.94  4.66 3.81  85.8 -0.467    18.10 18.96 02a57324o0335o       0    81.413385
57324.420281 18.438271      NaN   -50.0    51 o    0   1.20 46.94919 40.31127  9551.07  9641.41  4.80 3.88  88.3 -0.460    18.11 19.00 02a57324o0381o       0    80.125772
57324.446635 18.191747      NaN    30.0    64 o    0   1.18 46.94919 40.31127   970.78  8075.37  5.45 3.61 -63.5 -0.428    18.13 18.99 02a57324o0419o       2    88.967068
57324.472236 18.280067      NaN   -94.0    59 o    0   1.52 46.94919 40.31127   978.79  8081.54  5.70 4.41 -55.5 -0.405    18.03 19.00 02a57324o0458o       0    85.440852
57328.431151 19.089302      NaN  -114.0    28 o    0   1.38 46.94919 40.31127  9589.04  9659.77  4.38 3.58  83.7 -0.469    18.81 20.32 02a57328o0389o       0    67.846439
57328.458368 18.504094      NaN   -11.0    48 o    0   2.84 46.94919 40.31127  1204.38  1042.20  7.13 4.31 -27.0 -0.403    18.77 20.21 02a57328o0429o       0    78.250491
57328.496071 18.786693      NaN  -119.0    37 o    0   1.39 46.94919 40.31127  9779.68  2606.30  4.91 3.94  32.3 -0.488    18.80 20.27 02a57328o0483o       0    72.028739
57328.519142 18.816441      NaN  -122.0    36 o    0   1.49 46.94919 40.31127  9771.99  2605.30  4.98 4.00  30.8 -0.481    18.78 20.28 02a57328o0517o       0    71.520202
57364.324829 18.878500      NaN  -140.0    34 o    0   1.99 46.94919 40.31127  4567.70   302.67  4.60 3.42  -9.0 -0.532    19.15 20.68 02a57364o0246o       0    70.534667
57364.333791 18.786693      NaN   -11.0    37 o    0   0.62 46.94919 40.31127  9328.56  9975.04  3.59 3.54 -62.8 -0.436    19.16 20.71 02a57364o0260o       0    72.028739
57364.346009 19.351140      NaN    -7.0    22 o    0   1.10 46.94919 40.31127  9035.88  9386.09  3.51 3.37 -83.2 -0.455    19.15 20.67 02a57364o0275o       0    65.598318
