 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD         uJy        duJy      stdev       x2         m       dm
57423.5      0      5          0       0 57423.627352   -4.165232    9.935959  15.927963 0.483741 20.214172      NaN
57424.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57425.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57426.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57427.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57428.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57429.5      0      6          0       0 57429.612271    4.376998    8.502592  14.932068 0.517566 20.211375      NaN
57430.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57431.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57432.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57433.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57434.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57435.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57436.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57437.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57438.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57439.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57440.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57441.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57442.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57443.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57444.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57445.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57446.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57447.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57448.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57449.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57450.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57451.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57452.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57453.5      0      6          0       0 57453.620237   10.281950    8.600092  29.130168 2.006101 20.006767      NaN
57454.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57455.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57456.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57457.5      0      6          0       0 57457.610117  -17.799255    9.369449   6.145459 0.070843 20.277912      NaN
57458.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57459.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57460.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57461.5      0      4          4 8388608 57461.587426  -53.113051   44.859925  48.787806 0.326518 18.577551      NaN
57462.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57463.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57464.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57465.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57466.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57467.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57468.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57469.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57470.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57471.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57472.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57473.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57474.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57475.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57476.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57477.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57478.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57479.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57480.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57481.5      0      6          0       0 57481.479706   -6.568675    9.323094  11.977757 0.260927 20.283297      NaN
57482.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57483.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57484.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57485.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57486.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57487.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57488.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57489.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57490.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57491.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57492.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57493.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57494.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57495.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57496.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57497.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57498.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57499.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57500.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
57501.5      0      0          0 8388608          NaN         NaN         NaN        NaN      NaN       NaN      NaN
