         MJD         m       dm     uJy  duJy F  err  chi/N        RA       Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57423.603429 19.569016      NaN   -21.5    18 c    0   1.05 219.87769 -27.85839  1895.89  5708.88 3.89 3.65 -61.8 -0.413    19.35 21.13 02a57423o0540c       0   21.928030
57423.618227 19.569016      NaN    -6.5    18 c    0   0.83 219.87769 -27.85839  2156.22  6273.53 3.85 3.64 -71.1 -0.407    19.36 21.15 02a57423o0564c       0   21.928030
57423.633628 19.510313      NaN   -12.5    19 c    0   0.86 219.87769 -27.85839   955.59  6867.70 3.91 3.68 -68.8 -0.428    19.37 21.15 02a57423o0589c       0   22.756065
57423.636700 19.609992      NaN     1.5    17 c    0   1.06 219.87769 -27.85839 10335.90  6783.34 4.03 3.65  84.5 -0.402    19.41 21.23 02a57423o0594c       0   21.114888
57423.647198 19.142275      NaN    20.5    20 c    0   0.85 219.87769 -27.85839   707.32  6747.08 3.99 3.70 -66.4 -0.413    19.36 21.14 02a57423o0611c       0   23.597426
57429.588040 19.631075      NaN     3.5    16 c    0   1.15 219.87769 -27.85839  1740.85  5670.60 3.98 3.58 -49.6 -0.443    19.52 21.47 02a57429o0612c       0   20.318428
57429.603378 19.142275      NaN    29.5    17 c    0   0.83 219.87769 -27.85839  2000.80  6233.53 3.93 3.58 -59.8 -0.448    19.54 21.51 02a57429o0637c       0   21.114888
57429.606468 19.491430      NaN     4.5    18 c    0   0.90 219.87769 -27.85839 10450.98  6871.90 4.24 3.36  78.6 -0.445    19.60 21.59 02a57429o0642c       0   21.928030
57429.618749 19.589310      NaN     2.5    17 c    0   1.05 219.87769 -27.85839   800.09  6828.35 4.19 3.68 -58.1 -0.431    19.54 21.52 02a57429o0662c       0   21.114888
57429.621833 19.589310      NaN     5.5    16 c    0   1.14 219.87769 -27.85839 10317.80  6780.42 4.27 3.45  77.8 -0.440    19.59 21.60 02a57429o0667c       0   20.318428
57429.634160 19.696897      NaN   -17.5    16 c    0   1.23 219.87769 -27.85839   685.73  6742.67 4.25 3.65 -58.2 -0.431    19.53 21.50 02a57429o0687c       0   20.318428
57453.589035 19.351140      NaN    18.5    16 c    0   0.97 219.87769 -27.85839  9036.42  4961.82 3.86 3.36  78.2 -0.456    19.49 21.35 02a57453o0719c       0   20.318428
57453.609276 19.569016      NaN   -16.5    18 c    0   0.85 219.87769 -27.85839  8745.50  4387.13 3.84 3.46  74.9 -0.453    19.49 21.34 02a57453o0754c       0   21.928030
57453.613757 19.696897      NaN   -21.5    16 c    0   1.05 219.87769 -27.85839   270.88  3740.02 4.72 3.71 -39.5 -0.407    19.48 21.36 02a57453o0761c       0   20.318428
57453.629963 19.529530      NaN     5.5    17 c    0   1.14 219.87769 -27.85839  9924.97  3786.14 4.01 3.48  70.1 -0.478    19.48 21.33 02a57453o0788c       0   21.114888
