         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57316.636910 18.878500      NaN  -105    34 c    0   2.86 167.15298 30.76127  3415.63  8616.89 4.51 3.85 -61.6 -0.440    18.84 20.47 02a57316o0640c    8192   36.732102
57395.541429 19.841877      NaN   -16    14 c    0   1.12 167.15298 30.76127  3118.42  8929.85 3.62 3.55  51.6 -0.413    19.72 21.71 02a57395o0525c       0   19.729351
57395.552699 19.367717      NaN    15    15 c    0   1.05 167.15298 30.76127  2812.00  8339.37 3.59 3.52  72.5 -0.428    19.73 21.72 02a57395o0542c       0   20.451095
57395.562809 19.841877      NaN   -20    14 c    0   1.42 167.15298 30.76127  3688.06  9518.87 3.63 3.49  12.8 -0.410    19.74 21.74 02a57395o0557c       0   19.729351
57395.583039 20.009244      NaN    -7    12 c    0   1.49 167.15298 30.76127  3950.85  7757.48 3.58 3.46  81.5 -0.425    19.74 21.73 02a57395o0588c       0   18.364294
57402.550177 19.609992      NaN     2    15 c    0   1.36 167.15298 30.76127  3091.66  8986.10 3.92 3.88  21.6 -0.398    19.64 21.77 02a57402o0539c       0   20.451095
57402.572327 19.549093      NaN     8    14 c    0   1.44 167.15298 30.76127  2795.43  8397.55 3.82 3.78 -16.5 -0.417    19.66 21.75 02a57402o0571c       0   19.729351
57402.577194 19.436675      NaN     2    18 c    0   0.82 167.15298 30.76127  3691.43  9580.45 3.97 3.72  17.7 -0.410    19.67 21.78 02a57402o0579c       0   22.743071
57402.611597 19.719755      NaN     0    14 c    0   1.33 167.15298 30.76127  6752.25  2893.44 3.72 3.59  19.9 -0.407    19.73 21.80 02a57402o0626c       0   19.729351
57403.546913 19.696897      NaN   -16    16 c    0   1.03 167.15298 30.76127  3099.39  8980.30 3.80 3.66 -86.1 -0.414    19.69 21.78 02a57403o0537c       0   21.195455
57403.569734 19.351140      NaN    19    14 c    0   1.35 167.15298 30.76127  2799.21  8397.62 3.79 3.60 -76.5 -0.416    19.72 21.77 02a57403o0570c       0   19.729351
57403.574575 19.367717      NaN    12    16 c    0   1.11 167.15298 30.76127  3694.78  9580.38 3.69 3.64  49.2 -0.417    19.73 21.77 02a57403o0578c       0   21.195455
57403.608277 19.719755      NaN     3    13 c    0   1.45 167.15298 30.76127  6752.95  2887.41 3.77 3.63   9.3 -0.407    19.69 21.72 02a57403o0624c       0   19.032795
57420.550023 19.766969      NaN   -19    15 c    0   1.34 167.15298 30.76127  7223.37  2186.12 3.78 3.64  15.6 -0.415    19.54 21.39 02a57420o0499c       0   20.451095
57420.576669 19.454622      NaN     7    16 c    0   1.27 167.15298 30.76127  6917.53  1601.94 3.97 3.60   1.0 -0.433    19.51 21.33 02a57420o0538c       0   21.195455
57420.599636 19.631075      NaN    -7    17 c    0   1.31 167.15298 30.76127  8107.19  1030.69 4.13 3.62  11.1 -0.448    19.50 21.30 02a57420o0572c       0   21.960130
57420.610739 19.115465      NaN    20    19 c    0   1.10 167.15298 30.76127  7937.84  1148.54 4.10 3.60   7.5 -0.443    19.48 21.27 02a57420o0590c       0   23.542457
57427.524277 19.841877      NaN   -15    14 c    0   1.50 167.15298 30.76127  6911.40  2075.77 4.08 3.72   5.1 -0.423    19.72 21.81 02a57427o0530c       0   19.729351
57427.551896 19.367717      NaN    15    15 c    0   2.30 167.15298 30.76127  6665.02  1505.73 4.19 3.73  -0.6 -0.427    19.69 21.77 02a57427o0573c       0   20.451095
57427.570444 19.334813      NaN    14    16 c    0   1.72 167.15298 30.76127  7883.50   941.47 4.47 3.64  10.3 -0.446    19.70 21.77 02a57427o0602c       0   21.195455
