         MJD         m       dm    uJy  duJy F  err  chi/N       RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57246.554288 18.878500      NaN     26    26 c    0   0.90 46.10978 4.74564 10180.49   868.23 4.15 3.58  27.3 -0.456    19.42 21.25 02a57246o0421c       0    30.117786
57246.555655 18.921935      NaN     22    26 c    0   1.12 46.10978 4.74564 10180.08   868.62 4.16 3.56  28.3 -0.454    19.44 21.26 02a57246o0423c       0    30.117786
57246.557791 19.197966      NaN     24    18 c    0   1.07 46.10978 4.74564   475.35   844.78 4.54 3.68 -28.1 -0.412    19.40 21.21 02a57246o0426c       0    23.560157
57246.582718 19.241693      NaN     24    17 c    0   0.98 46.10978 4.74564   475.33   846.70 4.45 3.67 -28.3 -0.410    19.49 21.35 02a57246o0460c       0    22.805285
57248.642293 14.370392      NaN   1914  1524 c    0   1.09 46.10978 4.74564  3055.95  9183.95 4.05 3.80 -65.9 -0.457    17.22 17.26 02a57248o0521c 8388610  1524.075812
57277.518949 19.696897      NaN     -3    16 c    0   1.02 46.10978 4.74564  2039.85  8449.24 4.06 3.62 -55.5 -0.425    19.56 21.56 02a57277o0429c    8192    22.069912
57277.568363 19.569016      NaN    -14    18 c    0   0.62 46.10978 4.74564  3510.82  7008.24 3.86 3.46 -62.8 -0.432    19.63 21.64 02a57277o0494c    8192    23.560157
57313.472644 19.026525      NaN     10    27 c    0   0.81 46.10978 4.74564 10251.18   912.50 6.15 4.36  30.7 -0.376    19.40 21.45 02a57313o0315c       0    30.985174
57313.475182 19.351140      NaN     -1    22 c    0   0.96 46.10978 4.74564   551.27   878.96 6.27 4.03 -26.8 -0.424    19.46 21.45 02a57313o0319c       0    26.740999
57313.491095 19.491430      NaN      3    19 c    0   0.88 46.10978 4.74564   400.18  9722.83 4.92 3.90 -56.3 -0.410    19.47 21.46 02a57313o0342c       0    24.332715
57313.507845 19.631075      NaN     -6    17 c    0   1.03 46.10978 4.74564 10107.89  9771.41 4.70 3.95  84.3 -0.401    19.47 21.49 02a57313o0365c       0    22.805285
57313.519953 19.510313      NaN    -13    19 c    0   0.96 46.10978 4.74564  7527.99  1431.48 5.07 4.06  10.2 -0.450    19.45 21.42 02a57313o0381c       0    24.332715
57313.542189 19.454622      NaN    -20    20 c    0   1.10 46.10978 4.74564  7529.48  1429.52 5.20 4.14   9.3 -0.439    19.41 21.37 02a57313o0411c       0    25.121326
57334.470279 19.510313      NaN    -35    19 c    0   0.97 46.10978 4.74564   508.35  9747.38 4.27 4.18 -74.6 -0.383    19.38 21.28 02a57334o0424c       0    24.332715
57334.506582 19.569016      NaN    -19    18 c    0   1.24 46.10978 4.74564   512.89  9749.89 4.14 4.08  42.6 -0.398    19.40 21.25 02a57334o0437c       0    23.560157
57334.519701 19.510313      NaN     -1    19 c    0   0.90 46.10978 4.74564 10214.55  9790.60 4.09 4.01 -54.5 -0.401    19.44 21.30 02a57334o0456c       0    24.332715
57334.545366 19.351140      NaN      8    20 c    0   0.93 46.10978 4.74564  7646.06  1462.73 4.25 3.83   3.4 -0.416    19.34 21.13 02a57334o0493c       0    25.121326
57334.581424 19.302877      NaN      8    21 c    0   1.10 46.10978 4.74564  7645.85  1465.44 4.48 3.99   3.3 -0.404    19.13 20.84 02a57334o0545c       0    25.924525
57341.412999 19.569016      NaN    -27    18 c    0   0.78 46.10978 4.74564   515.45  9747.59 4.43 4.06 -65.0 -0.398    19.47 21.40 02a57341o0244c       0    23.560157
57341.421220 19.631075      NaN     -9    17 c    0   0.84 46.10978 4.74564 10228.09  9786.24 4.22 4.13  73.2 -0.379    19.48 21.44 02a57341o0254c       0    22.805285
57341.439440 19.510313      NaN    -30    19 c    0   0.67 46.10978 4.74564   511.60  9747.86 4.44 4.02 -62.6 -0.396    19.50 21.44 02a57341o0282c       0    24.332715
57341.447529 18.978793      NaN     41    18 c    0   0.86 46.10978 4.74564 10222.92  9786.55 4.18 4.06  80.1 -0.393    19.51 21.48 02a57341o0292c       0    23.560157
57341.467342 19.436675      NaN      6    19 c    0   1.06 46.10978 4.74564  7639.00  1459.69 4.89 4.39   4.6 -0.387    19.36 21.44 02a57341o0322c       0    24.332715
57341.485329 19.454622      NaN    -24    20 c    0   1.02 46.10978 4.74564  7644.42  1461.08 5.58 5.00   3.6 -0.341    19.22 21.39 02a57341o0349c       0    25.121326
57342.412245 19.569016      NaN     -4    18 c    0   0.87 46.10978 4.74564   516.11  9748.86 4.14 3.90 -66.5 -0.407    19.58 21.49 02a57342o0250c       0    23.560157
57342.422817 19.841877      NaN    -24    14 c    0   1.25 46.10978 4.74564 10226.55  9789.45 3.96 3.91 -70.5 -0.397    19.57 21.49 02a57342o0265c       0    20.665938
57342.439897 19.696897      NaN    -31    16 c    0   1.36 46.10978 4.74564   511.62  9750.96 4.17 3.88 -65.0 -0.412    19.57 21.48 02a57342o0291c       0    22.069912
57342.447655 19.766969      NaN     -2    15 c    0   1.03 46.10978 4.74564 10222.33  9790.33 4.07 3.99  85.4 -0.396    19.57 21.51 02a57342o0301c       0    21.356053
57342.466975 19.766969      NaN    -24    15 c    0   1.21 46.10978 4.74564  7639.49  1462.23 4.30 3.80   7.4 -0.428    19.51 21.45 02a57342o0330c       0    21.356053
57342.487066 19.631075      NaN      0    17 c    0   1.00 46.10978 4.74564  7644.42  1462.41 4.43 3.83   6.2 -0.419    19.49 21.41 02a57342o0360c       0    22.805285
57343.389792 19.014394      NaN     26    22 c    0   0.96 46.10978 4.74564 10250.14   955.05 4.41 3.86  24.6 -0.443    19.57 21.51 02a57343o0291c       0    26.740999
57343.410160 19.674510      NaN      3    16 c    0   1.02 46.10978 4.74564 10229.22  9784.94 4.13 4.06  65.0 -0.389    19.56 21.54 02a57343o0321c       0    22.069912
57343.419933 19.631075      NaN    -10    17 c    0   1.21 46.10978 4.74564   513.86  9750.79 4.35 3.95 -65.4 -0.399    19.57 21.54 02a57343o0333c       0    22.805285
57343.437493 19.766969      NaN    -30    15 c    0   0.91 46.10978 4.74564 10220.15  9787.64 4.07 3.95  75.7 -0.396    19.57 21.51 02a57343o0360c       0    21.356053
57343.466795 19.631075      NaN    -19    17 c    0   1.03 46.10978 4.74564  7640.99  1462.03 4.73 4.13   6.7 -0.408    19.39 21.37 02a57343o0402c       0    22.805285
57374.329034 18.431198      NaN     12    48 c    0   1.03 46.10978 4.74564   995.70  9225.06 5.69 4.78 -61.2 -0.373    18.42 20.38 02a57374o0141c       0    50.349588
57374.345001 18.978793      NaN     -5    31 c    0   1.05 46.10978 4.74564  1283.69  9814.35 5.57 4.29 -62.3 -0.383    18.80 20.71 02a57374o0167c       0    34.526526
