         MJD         m       dm    uJy  duJy F  err  chi/N       RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57229.577607 19.014394      NaN     -1    30 o    0   0.74 46.10978 4.74564   426.30   855.54 4.16 3.57 -33.8 -0.451    19.01 20.51 02a57229o0449o       0    35.976648
57229.578372 19.089302      NaN      3    28 o    0   1.02 46.10978 4.74564 10129.35   882.21 3.81 3.47  47.5 -0.468    19.05 20.59 02a57229o0450o       0    34.326654
57229.589215 19.169763      NaN     -8    26 o    0   1.14 46.10978 4.74564 10131.19   887.28 3.75 3.40  45.8 -0.473    19.10 20.64 02a57229o0454o       0    32.715733
57229.615444 19.212347      NaN    -18    25 o    0   0.97 46.10978 4.74564   440.72   864.98 4.10 3.59 -36.6 -0.451    19.07 20.60 02a57229o0490o       0    31.926778
57318.357934 18.243872      NaN     27    53 o    0   1.11 46.10978 4.74564 10205.28   891.38 6.88 4.65  31.0 -0.393    18.52 19.89 02a57318o0254o       0    56.597873
57318.360538 18.396507      NaN   -120    53 o    0   0.77 46.10978 4.74564   505.23   862.10 7.10 4.21 -26.5 -0.421    18.51 19.87 02a57318o0258o       0    56.597873
57318.384322 18.280067      NaN    -16    59 o    0   0.88 46.10978 4.74564 10201.36   898.10 6.81 4.93  30.9 -0.401    18.51 20.01 02a57318o0295o       0    62.252062
57318.386925 18.445391      NaN     17    46 o    0   0.96 46.10978 4.74564   500.47   865.54 6.87 4.20 -26.6 -0.443    18.61 20.00 02a57318o0299o       0    50.103086
57318.423590 18.649074      NaN     21    36 o    0   0.92 46.10978 4.74564  3063.54  9198.50 4.55 3.40 -68.5 -0.491    18.70 20.09 02a57318o0356o       0    41.113492
57318.449903 18.944322      NaN    -45    32 o    0   1.22 46.10978 4.74564  3059.92  9204.86 4.58 3.61 -66.1 -0.480    18.73 20.15 02a57318o0397o       0    37.660579
57319.417035 18.816441      NaN    -36    36 o    0   1.28 46.10978 4.74564  3074.43  9197.55 4.69 3.49 -63.2 -0.489    18.46 19.67 02a57319o0351o    8192    41.113492
57366.350727 19.142275      NaN      5    26 o    0   1.12 46.10978 4.74564  1003.56  9223.97 4.62 4.03 -66.5 -0.422    18.96 20.63 02a57366o0242o       0    32.715733
57366.367989 19.076453      NaN     16    24 o    0   1.33 46.10978 4.74564  1292.05  9815.40 4.48 3.99 -66.3 -0.417    19.01 20.67 02a57366o0269o       0    31.149947
57366.375711 18.729535      NaN     -7    39 o    0   1.09 46.10978 4.74564  9902.75    56.55 4.92 3.97  17.9 -0.456    19.04 20.66 02a57366o0281o       0    43.764360
57366.385327 19.256669      NaN    -72    24 o    0   1.19 46.10978 4.74564   422.93  8649.54 4.30 3.71 -61.9 -0.432    19.10 20.73 02a57366o0296o       0    31.149947
57366.396363 19.002397      NaN     22    24 o    0   1.01 46.10978 4.74564 10111.52  8684.72 4.20 3.83  81.6 -0.416    19.06 20.77 02a57366o0312o       0    31.149947
57366.404098 18.786693      NaN     -9    37 o    0   0.79 46.10978 4.74564   103.25 10430.64 4.85 4.35 -56.9 -0.390    18.99 20.76 02a57366o0323o       0    41.991894
57366.412679 18.598565      NaN     33    34 o    0   0.97 46.10978 4.74564  8708.88   661.41 5.29 4.52   8.6 -0.435    18.95 20.77 02a57366o0335o       0    39.374093
57366.415341 19.051202      NaN     -6    29 o    0   0.73 46.10978 4.74564  9817.76 10454.55 4.38 4.30 -88.7 -0.401    19.02 20.80 02a57366o0339o       0    35.147108
57382.332751 18.504094      NaN    -98    48 o    0   1.15 46.10978 4.74564   801.98  9452.01 4.39 3.85 -69.0 -0.439    18.39 19.40 02a57382o0146o       0    51.945348
57382.343791 17.905150      NaN     79    58 o    0   1.15 46.10978 4.74564 10505.94  9496.58 4.11 3.75  85.1 -0.423    18.39 19.35 02a57382o0162o       0    61.305132
57382.350050 18.376212      NaN     33    44 o    0   1.44 46.10978 4.74564  1085.83 10042.11 4.62 4.17 -63.0 -0.409    18.30 19.37 02a57382o0171o       0    48.273380
57382.366590 18.261819      NaN     -6    60 o    0   0.80 46.10978 4.74564   218.15  8871.68 4.40 3.76 -66.2 -0.448    18.36 19.34 02a57382o0195o       0    63.200626
57382.377029 18.298627      NaN      6    57 o    0   1.07 46.10978 4.74564  9909.61  8904.05 4.06 3.68  86.3 -0.422    18.33 19.28 02a57382o0210o       0    60.359914
57383.344225 18.417189      NaN     15    48 o    0   1.12 46.10978 4.74564 10502.35  9500.35 4.07 3.95 -64.1 -0.399    18.56 19.78 02a57383o0132o       0    51.945348
57383.351069 18.511660      NaN     26    40 o    0   0.91 46.10978 4.74564  1081.32 10044.07 4.21 4.10 -72.7 -0.411    18.54 19.76 02a57383o0143o       0    44.657801
57383.367184 18.574166      NaN    -48    45 o    0   1.01 46.10978 4.74564   214.18  8873.30 4.47 4.05 -66.3 -0.414    18.48 19.71 02a57383o0169o       0    49.186575
57383.377144 18.273950      NaN     46    45 o    0   0.98 46.10978 4.74564  9906.21  8905.24 4.41 4.18  76.7 -0.381    18.45 19.68 02a57383o0185o       0    49.186575
