         MJD         m       dm     uJy  duJy F  err   chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57396.625880 19.128787      NaN    41.0    14 c    0    1.27 238.46366 55.5888  8463.84  9386.40 3.83 3.65  78.9 -0.412    19.45 21.33 02a57396o0669c       0   22.718137
57396.638746 19.631075      NaN   -11.0    17 c    0    0.96 238.46366 55.5888  8132.46  8814.52 3.84 3.60  83.5 -0.422    19.46 21.38 02a57396o0690c       0   24.680230
57396.651028 19.436675      NaN    12.0    17 c    0    1.02 238.46366 55.5888  9051.47  9964.23 3.87 3.76  79.3 -0.408    19.50 21.40 02a57396o0710c       0   24.680230
57396.656533 19.212347      NaN   -36.0    25 c    0    0.99 238.46366 55.5888  2653.12   229.59 5.23 3.71 -18.9 -0.477    19.47 21.35 02a57396o0719c       0   30.742703
57396.660217 19.696897      NaN   -11.0    16 c    0    1.29 238.46366 55.5888  9328.86  8190.76 3.82 3.50  83.4 -0.425    19.46 21.30 02a57396o0725c       0   24.002370
57448.584398 19.631075      NaN   -11.0    17 c    0    1.34 238.46366 55.5888  8561.90  8935.79 4.02 3.65  79.7 -0.420    19.15 20.71 02a57448o0569c       0   24.680230
57448.602857 19.183773      NaN    13.0    22 c    0    0.75 238.46366 55.5888  8891.30  9518.86 3.96 3.63  79.3 -0.423    19.19 20.73 02a57448o0603c       0   28.356900
57448.610718 18.878500      NaN   -29.0    34 c    0    0.95 238.46366 55.5888 10497.40   225.77 4.71 3.78  30.0 -0.454    19.23 20.79 02a57448o0618c       0   38.420226
57448.619334 19.569016      NaN   -18.0    18 c    0    1.09 238.46366 55.5888  7654.58 10124.90 3.80 3.66  71.2 -0.430    19.23 20.79 02a57448o0634c       0   25.379396
57448.627805 19.351140      NaN   -45.0    22 c    0    1.09 238.46366 55.5888  1414.85   288.14 5.30 3.65 -21.5 -0.462    19.25 20.81 02a57448o0650c       0   28.356900
