         MJD         m       dm    uJy  duJy F  err  chi/N        RA     Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57233.275680 18.786693      NaN     -4    37 o    0   1.01 238.46366 55.5888  2170.05  1361.72  3.74  3.36 -59.2 -0.467    18.48 19.43 02a57233o0024o    8192    48.845151
57233.319711 18.729535      NaN      9    39 o    0   1.19 238.46366 55.5888   615.43  2909.36  3.84  3.45 -60.6 -0.445    18.49 19.44 02a57233o0063o    8192    50.377065
57234.316739 18.459772      NaN    -25    50 o    0   0.85 238.46366 55.5888   621.61  2910.78  4.08  3.68 -59.2 -0.432    18.24 19.11 02a57234o0022o    8192    59.303025
57386.630024 19.051202      NaN    -53    29 o    0   1.38 238.46366 55.5888  9166.38  8174.76  3.71  3.10  87.1 -0.465    18.79 20.08 02a57386o0692o    8192    43.102769
57414.657097 18.878500      NaN    -29    34 o    0   0.87 238.46366 55.5888  8786.56  9081.73  3.47  3.25 -89.3 -0.476    18.76 19.89 02a57414o0733o    8192    46.613825
57414.673429 18.396507      NaN    -30    53 o    0   1.15 238.46366 55.5888  9103.38  9663.57  3.49  3.34 -85.2 -0.470    18.23 18.86 02a57414o0759o    8192    61.853446
57418.647981 19.351140      NaN    -48    22 o    0   0.99 238.46366 55.5888  8970.52  9098.21  3.72  3.55  88.8 -0.438    19.08 20.65 02a57418o0712o    8192    38.740789
57418.664566 19.212347      NaN     -4    25 o    0   0.95 238.46366 55.5888  9298.51  9679.81  3.61  3.54 -74.7 -0.439    19.00 20.44 02a57418o0738o    8192    40.519733
57418.681356 16.620775      NaN    157   228 o    0   1.14 238.46366 55.5888  8046.43 10324.31  3.90  3.79   6.2 -0.448    17.11 16.83 02a57418o0765o       2   230.219132
57419.652424 19.454622      NaN    -39    20 o    0   0.90 238.46366 55.5888  8622.65  8550.54  3.59  3.32  89.4 -0.462    19.28 20.96 02a57419o0690o    8192    37.641051
57419.669798 19.169763      NaN     -6    26 o    0   1.18 238.46366 55.5888  8940.69  9129.01  3.50  3.32 -79.1 -0.465    18.86 20.12 02a57419o0717o    8192    41.144243
57440.571386 18.226218      NaN    -32    62 o    0   1.05 238.46366 55.5888  9043.64  8518.88  3.82  3.08  85.2 -0.481    18.27 18.98 02a57440o0648o       2    69.719787
57440.578725 18.261819      NaN    -15    60 o    0   1.13 238.46366 55.5888  9366.11  9092.89  3.94  3.22  83.7 -0.481    18.27 19.00 02a57440o0662o       0    67.947397
57440.592936 18.702047      NaN    -12    40 o    0   1.38 238.46366 55.5888  8131.13  9733.19  3.78  3.47  77.8 -0.468    18.29 19.05 02a57440o0689o       0    51.155144
57440.607320 18.550302      NaN     -8    46 o    0   0.90 238.46366 55.5888  7896.76 10020.90  3.79  3.53  80.7 -0.456    18.33 19.12 02a57440o0716o       0    55.971857
57440.617978 18.261819      NaN    -74    60 o    0   0.88 238.46366 55.5888  1633.34   201.91  5.48  3.53 -18.6 -0.534    18.40 19.25 02a57440o0736o       0    67.947397
57441.558507 18.142010      NaN    -13    67 o    0   1.05 238.46366 55.5888  8815.13  8933.22  3.78  3.20  84.6 -0.488    18.22 18.94 02a57441o0634o       2    74.201407
57441.577773 18.598565      NaN   -163    44 o    0   1.58 238.46366 55.5888  9123.78  9494.62  4.13  3.59  82.7 -0.455    18.18 19.00 02a57441o0671o       0    54.340121
57441.586084 18.598565      NaN    -72    44 o    0   1.25 238.46366 55.5888  7886.99 10130.97  3.98  3.76  79.8 -0.438    18.20 19.02 02a57441o0687o       0    54.340121
57441.598537 18.158337      NaN    -58    66 o    0   0.87 238.46366 55.5888  1616.85   315.05  5.67  3.46 -18.3 -0.512    18.31 19.09 02a57441o0711o       2    73.299718
