         MJD         m       dm    uJy  duJy F  err   chi/N       RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57233.557637 18.550302      NaN     -6    46 o    0    1.18 17.84968 50.57491  2116.77  9143.85  3.57  3.26  -0.1 -0.442    18.51 19.51 02a57233o0222o    8192    52.599697
57320.445124 17.597155      NaN    147    61 o    0    1.67 17.84968 50.57491  8507.14  1482.76  5.59  4.15  17.6 -0.497    18.34 19.44 02a57320o0358o       2    66.119045
57320.481221 18.147425      NaN     33    55 o    0    1.72 17.84968 50.57491  8497.50  1483.69  5.59  4.29  19.1 -0.491    18.29 19.42 02a57320o0414o       0    60.627784
57320.512720 18.702047      NaN    -23    40 o    0    1.66 17.84968 50.57491  6952.80  2903.90  4.26  3.64   1.2 -0.531    18.30 19.31 02a57320o0463o       0    47.441840
57320.540405 18.438271      NaN    -30    51 o    0    1.05 17.84968 50.57491  6950.53  2904.10  4.32  3.67   1.3 -0.520    18.24 19.21 02a57320o0506o       0    57.023926
57328.376463 18.910912      NaN    -54    33 o    0    1.86 17.84968 50.57491  2202.28  9183.93  5.03  3.51 -67.4 -0.467    18.80 20.36 02a57328o0312o       0    41.710048
57328.400298 15.482543 0.014458   2326    31 o    0   83.52 17.84968 50.57491  8579.90  1505.72  5.50  4.16  14.5 -0.476    18.74 20.29 02a57328o0345o    4096    40.146334
57328.423955 18.796518      NaN     18    30 o    0    1.64 17.84968 50.57491  7026.21  2923.05  4.53  3.92  -1.7 -0.507    18.77 20.32 02a57328o0379o       0    39.379286
57328.456476 19.014394      NaN   -104    30 o    0    1.99 17.84968 50.57491  7023.98  2922.77  4.31  3.77 -10.1 -0.530    18.70 20.13 02a57328o0426o       0    39.379286
57364.322435 19.169763      NaN    -18    26 o    0    1.15 17.84968 50.57491  5813.51 10153.18  3.64  3.55  84.6 -0.431    19.10 20.65 02a57364o0243o    8192    36.424280
57365.311344 19.089302      NaN    -73    28 o    0    1.04 17.84968 50.57491  8983.60  1035.89  4.44  3.83  20.1 -0.483    19.04 20.66 02a57365o0228o       0    37.877805
57365.328172 19.212347      NaN     -3    25 o    0    0.97 17.84968 50.57491  9271.17  1637.91  3.89  3.52  31.8 -0.510    19.14 20.76 02a57365o0255o       0    35.717337
57365.351141 19.128787      NaN      7    24 o    0    1.26 17.84968 50.57491  5801.21 10159.56  3.76  3.62 -85.0 -0.442    19.17 20.84 02a57365o0292o       0    35.024679
57365.351753 18.847027      NaN    -67    35 o    0    0.90 17.84968 50.57491  8358.22   437.51  4.39  3.68  12.9 -0.502    19.12 20.79 02a57365o0293o       0    43.309677
57365.361685 19.197966      NaN      2    24 o    0    1.09 17.84968 50.57491  8029.64  2193.53  3.91  3.57  18.0 -0.480    19.15 20.79 02a57365o0309o       0    35.024679
57386.267316 19.014394      NaN    -22    30 o    0    1.23 17.84968 50.57491  8888.44  1230.36  4.46  3.46  18.3 -0.517    19.21 20.94 02a57386o0146o       0    39.379286
57386.280390 19.014394      NaN     -4    30 o    0    1.24 17.84968 50.57491  9174.21  1829.52  4.41  3.52  21.9 -0.506    19.17 20.91 02a57386o0167o       0    39.379286
57386.287216 19.212347      NaN    -14    25 o    0    1.17 17.84968 50.57491  5704.28 10350.22  3.91  3.52 -70.1 -0.485    19.20 20.94 02a57386o0178o       0    35.717337
57386.294067 17.751519 0.128177    286    34 o    0    4.36 17.84968 50.57491  8263.59   622.90  5.03  3.62  10.8 -0.518    19.12 20.89 02a57386o0189o    4096    42.505625
57386.300305 18.481707      NaN     55    30 o    0    1.67 17.84968 50.57491  7936.94  2371.43  4.28  4.22 -81.0 -0.487    19.09 20.89 02a57386o0199o       0    39.379286
57387.266538 18.878500      NaN    -50    34 o    0    0.84 17.84968 50.57491  8885.19  1230.06  3.79  3.53  25.1 -0.529    19.29 20.77 02a57387o0142o       0    42.505625
57387.279550 18.657725      NaN     24    33 o    0    1.23 17.84968 50.57491  9171.49  1829.92  3.79  3.53  39.5 -0.517    19.31 20.78 02a57387o0163o       0    41.710048
57387.283204 19.569016      NaN    -51    18 o    0    1.06 17.84968 50.57491  5703.26 10350.67  3.62  3.55  85.4 -0.466    19.35 20.82 02a57387o0168o       0    31.220637
57387.293668 18.526952      NaN    -72    47 o    0    0.97 17.84968 50.57491  8261.89   623.24  4.12  3.42  10.7 -0.534    19.28 20.75 02a57387o0185o       0    53.476426
57387.299819 18.878500      NaN    -66    34 o    0    0.82 17.84968 50.57491  7934.03  2372.09  3.62  3.46  22.9 -0.495    19.30 20.75 02a57387o0195o       0    42.505625
57409.234775 18.550302      NaN    -22    46 o    0    0.92 17.84968 50.57491  8247.95  1793.26  3.61  3.37 -88.8 -0.513    18.44 19.35 02a57409o0076o       0    52.599697
57409.250775 18.504094      NaN    -71    48 o    0    1.18 17.84968 50.57491  7938.59  1199.20  3.61  3.50  -3.3 -0.511    18.44 19.34 02a57409o0102o       0    54.357411
57409.264208 18.504094      NaN    -76    48 o    0    0.97 17.84968 50.57491  6517.72 10374.89  3.56  3.48  78.5 -0.480    18.46 19.36 02a57409o0124o       0    54.357411
57409.267274 18.474346      NaN      2    48 o    0    1.01 17.84968 50.57491  8839.96  2397.90  3.60  3.23  87.0 -0.516    18.44 19.32 02a57409o0129o       0    54.357411
57409.280702 17.940462      NaN     27    71 o    0    0.76 17.84968 50.57491  9178.06   650.16  3.63  3.49  31.7 -0.499    18.41 19.28 02a57409o0151o       2    75.443543
57413.238027 19.051202      NaN    -12    29 o    0    1.15 17.84968 50.57491  8035.70  2003.94  3.57  3.43  71.6 -0.504    19.01 20.54 02a57413o0045o       0    38.622897
57413.250082 18.878500      NaN    -14    34 o    0    1.14 17.84968 50.57491  7725.13  1409.96  3.79  3.45  12.1 -0.513    18.84 20.18 02a57413o0064o       0    42.505625
57413.268174 18.816441      NaN    -30    36 o    0    1.11 17.84968 50.57491  6509.47 10382.21  3.62  3.29 -84.0 -0.522    18.63 19.73 02a57413o0093o       0    44.121742
57413.268789 18.417189      NaN    -37    52 o    0    0.76 17.84968 50.57491  8947.68   865.54  4.19  3.35  17.1 -0.532    18.61 19.70 02a57413o0094o       0    57.920015
57413.288451 18.125925      NaN   -101    68 o    0    0.67 17.84968 50.57491  9169.08   656.36  4.37  3.29  16.6 -0.543    18.50 19.50 02a57413o0126o       2    72.627324
