         MJD         m       dm    uJy  duJy F  err  chi/N      RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask   duJy_new
57274.305296 19.351140      NaN   -3.0    22 c    0   1.05 8.16617 22.5489  8123.57  6972.69 3.88 3.43 -88.8 -0.409    19.40 21.32 02a57274o0014c    8192  27.041674
57275.308584 19.142275      NaN   19.0    22 c    0   0.77 8.16617 22.5489  8131.38  6976.39 4.25 3.51 -86.7 -0.454    19.32 21.21 02a57275o0059c    8192  27.041674
57275.316053 19.351140      NaN  -20.0    22 c    0   0.67 8.16617 22.5489  8128.67  6976.74 4.33 3.53 -86.0 -0.446    19.35 21.27 02a57275o0072c    8192  27.041674
57314.370644 19.696897      NaN  -18.0    16 c    0   0.94 8.16617 22.5489  5610.87  5202.01 4.09 3.80 -44.5 -0.436    19.49 21.53 02a57314o0257c       0  22.433281
57314.398907 19.652575      NaN    7.0    16 c    0   1.31 8.16617 22.5489  5044.83  5443.41 4.14 3.76 -52.4 -0.433    19.49 21.53 02a57314o0296c       0  22.433281
57314.423871 19.631075      NaN    3.0    17 c    0   1.42 8.16617 22.5489  3582.34  6898.96 4.29 3.68 -55.8 -0.437    19.49 21.53 02a57314o0331c       0  23.157118
57314.454321 19.155932      NaN   12.0    24 c    0   1.54 8.16617 22.5489  3578.44  6899.89 4.22 3.63 -58.7 -0.447    19.01 20.95 02a57314o0373c       0  28.692370
57402.244284 19.302877      NaN  -35.0    23 c    0   1.03 8.16617 22.5489  5422.69  5188.90 3.90 3.60 -79.5 -0.505    19.10 20.65 02a57402o0091c       0  27.861301
57402.259986 19.256669      NaN  -41.0    24 c    0   1.04 8.16617 22.5489  5705.27  5769.57 3.91 3.53 -84.7 -0.464    19.07 20.60 02a57402o0117c       0  28.692370
57402.276308 19.351140      NaN  -23.0    22 c    0   1.25 8.16617 22.5489  4853.13  4608.33 3.99 3.76 -44.6 -0.507    19.03 20.56 02a57402o0144c       0  27.041674
57402.292155 19.076453      NaN   15.0    25 c    0   0.98 8.16617 22.5489  4548.26  6350.68 3.86 3.50 -72.5 -0.479    18.98 20.46 02a57402o0170c       0  29.533915
57403.246790 19.051202      NaN  -53.0    29 c    0   1.08 8.16617 22.5489  5426.01  5183.40 3.88 3.44 -86.4 -0.451    18.86 20.20 02a57403o0095c       0  32.988666
57403.262524 19.051202      NaN  -45.0    29 c    0   0.92 8.16617 22.5489  5710.52  5764.79 3.92 3.46 -85.7 -0.477    18.82 20.14 02a57403o0121c       0  32.988666
57403.278978 18.684100      NaN   25.0    34 c    0   0.81 8.16617 22.5489  4859.45  4603.91 3.98 3.75 -49.5 -0.496    18.77 20.09 02a57403o0148c       0  37.460007
57403.294919 18.806434      NaN    9.0    35 c    0   0.96 8.16617 22.5489  4552.83  6346.64 3.86 3.36 -75.8 -0.440    18.72 19.96 02a57403o0174c       0  38.369938
57573.618117 19.454622      NaN   -9.0    20 c    0   1.37 8.16617 22.5489  7435.51  5979.67 3.84 3.45  86.2 -0.426    18.97 20.35 02a57573o0200c    8192  25.441150
57606.549382 19.743105      NaN    9.0    14 c    0   0.85 8.16617 22.5489  5711.29  6284.19 3.84 3.56 -77.1 -0.426    19.77 21.90 02a57606o0367c       0  21.053553
57606.554620 19.922338      NaN  -14.0    13 c    0   1.19 8.16617 22.5489  5728.24  6321.96 3.89 3.64 -72.3 -0.422    19.76 21.91 02a57606o0374c       0  20.402257
57606.569399 19.922338      NaN    3.0    13 c    0   1.48 8.16617 22.5489  4877.01  4250.96 3.95 3.67 -15.4 -0.410    19.78 21.95 02a57606o0393c       0  20.402257
57606.595821 19.549093      NaN   24.0    12 c    0   1.64 8.16617 22.5489  4892.55  4139.44 3.89 3.64 -23.9 -0.419    19.82 21.99 02a57606o0427c       0  19.780094
57606.610213 20.009244      NaN   -7.0    12 c    0   1.61 8.16617 22.5489  4854.41  4195.46 3.94 3.68 -21.8 -0.464    19.82 22.01 02a57606o0446c       0  19.780094
57626.523353 19.142275      NaN   31.0    18 c    0   1.17 8.16617 22.5489  5064.40  5698.52 4.33 3.92  -8.3 -0.361    19.37 21.38 02a57626o0527c       0  23.900881
57626.533216 19.510313      NaN   14.0    16 c    0   1.95 8.16617 22.5489  3135.15  5683.74 4.62 3.80  -9.6 -0.362    19.36 21.38 02a57626o0544c       0  22.433281
57626.540660 19.631075      NaN  -22.0    17 c    0   1.23 8.16617 22.5489  3191.11  5763.05 3.91 3.63 -25.4 -0.400    19.48 21.38 02a57626o0558c       0  23.157118
