         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57283.252464 19.169763      NaN     2    25 c    0   1.14 263.21044 33.03289  4513.14  6347.83 4.39 3.95 -70.8 -0.475    19.27 21.25 02a57283o0009c    8192   27.310635
57283.264628 19.169763      NaN    -3    26 c    0   0.95 263.21044 33.03289  4510.15  6348.93 4.31 3.80 -69.2 -0.446    19.29 21.28 02a57283o0028c    8192   28.228900
57314.206292 18.369531      NaN    66    32 c    0   0.96 263.21044 33.03289  4536.59  6360.69 4.21 3.43 -77.3 -0.422    18.79 20.25 02a57314o0017c       0   33.835939
57314.212731 19.002397      NaN     9    27 c    0   0.95 263.21044 33.03289  4536.52  6359.56 4.46 3.83 -69.8 -0.415    18.95 20.63 02a57314o0027c       0   29.152543
57314.235611 19.183773      NaN    10    22 c    0   1.24 263.21044 33.03289  3084.52  7825.71 4.35 3.61 -66.4 -0.444    18.96 20.62 02a57314o0061c       0   24.594121
57314.256709 19.002397      NaN     9    27 c    0   1.16 263.21044 33.03289  3082.64  7825.97 4.63 3.87 -58.4 -0.473    18.84 20.51 02a57314o0093c       0   29.152543
57315.201055 16.023876      NaN    51   454 c    0   1.47 263.21044 33.03289  4521.66  6366.82 4.11 3.26 -77.6 -0.513    15.93 16.52 02a57315o0024c       2  454.133098
57315.208885 16.755162      NaN   273   149 c    0   1.34 263.21044 33.03289  4532.40  6363.84 4.10 3.06 -78.7 -0.491    17.11 18.08 02a57315o0036c       2  149.405056
57315.221103 16.573901      NaN     5   282 c    0   0.79 263.21044 33.03289  3082.35  7829.89 4.41 3.33 -72.6 -0.447    16.87 17.81 02a57315o0055c       2  282.214229
57315.238516 18.481707      NaN     8    46 c    0   0.80 263.21044 33.03289  3079.26  7829.36 4.29 3.43 -69.8 -0.431    18.53 19.93 02a57315o0082c    8192   47.295568
57451.661806 18.582238      NaN    37    32 c    0   0.92 263.21044 33.03289  6415.15  3992.87 3.56 3.52  41.4 -0.434    18.62 19.56 02a57451o0817c    8192   33.835939
57455.656725 19.212347      NaN   -46    25 c    0   1.31 263.21044 33.03289  6416.41  4150.25 3.57 3.55 -65.8 -0.425    18.75 20.14 02a57455o0779c    8192   27.310635
57487.550995 19.841877      NaN    -1    14 c    0   1.16 263.21044 33.03289  6263.98  4081.95 3.76 3.66 -82.2 -0.421    19.56 21.59 02a57487o0646c       0   17.800864
