         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57240.372771 19.271854      NaN    12    20 o    0   1.00 263.21044 33.03289  3060.00  7802.45 3.59 3.43 -68.4 -0.447    19.28 21.02 02a57240o0058o    8192   26.030521
57319.246353 18.504094      NaN   -43    48 o    0   1.13 263.21044 33.03289  4589.27  6363.49 3.82 2.83 -76.5 -0.509    18.14 19.19 02a57319o0104o    8192   50.809330
57324.210159 18.847027      NaN    -9    35 o    0   1.00 263.21044 33.03289  4624.40  6373.64 4.10 3.51 -75.7 -0.418    18.69 20.19 02a57324o0063o    8192   38.763230
57324.228170 18.649074      NaN    19    36 o    0   1.13 263.21044 33.03289  4621.57  6371.89 3.88 2.86 -77.7 -0.447    18.41 19.60 02a57324o0091o    8192   39.668476
57463.619764 19.436675      NaN    14    16 o    0   1.06 263.21044 33.03289  6103.80  3819.66 3.55 3.50 -12.6 -0.465    19.43 21.30 02a57463o0642o    8192   23.099524
57463.657790 18.459772      NaN   -45    50 o    0   1.25 263.21044 33.03289  6380.43  4412.60 3.50 3.34 -88.6 -0.487    18.06 18.64 02a57463o0688o    8192   52.702827
57471.591771 18.816441      NaN  -106    36 o    0   1.21 263.21044 33.03289  6599.85  4180.93 3.42 3.31  85.3 -0.506    18.54 19.49 02a57471o0523o    4096   39.668476
57471.608228 18.826541      NaN    18    30 o    0   1.33 263.21044 33.03289  6889.99  4762.83 3.50 3.13 -85.4 -0.504    18.56 19.53 02a57471o0553o       0   34.316002
57471.626923 18.640491      NaN    26    34 o    0   0.97 263.21044 33.03289  5738.28  5355.77 3.49 3.21 -78.4 -0.504    18.55 19.55 02a57471o0586o       0   37.862752
57471.645522 18.489118      NaN    33    38 o    0   2.06 263.21044 33.03289  5466.48  5223.94 3.84 2.57 -76.3 -0.460    18.12 19.42 02a57471o0619o       0   41.492023
57475.616801 19.089302      NaN   -37    28 o    0   0.93 263.21044 33.03289  6244.74  4038.89 3.51 3.45 -24.2 -0.496    18.78 20.06 02a57475o0645o    8192   32.582020
57475.633887 19.169763      NaN   -24    26 o    0   0.91 263.21044 33.03289  4098.05  6059.84 3.61 3.33 -60.7 -0.486    18.80 20.08 02a57475o0672o    8192   30.880220
57524.468592 16.828350      NaN   240   145 o    0   1.01 263.21044 33.03289  5044.37  4617.37 3.50 3.36 -60.5 -0.490    17.25 18.35 02a57524o0373o       2  145.954061
57524.481719 18.396507      NaN   -48    53 o    0   1.28 263.21044 33.03289  5065.64  4654.03 3.60 3.48 -64.3 -0.454    18.05 19.53 02a57524o0399o       0   55.557070
57524.492730 18.356290      NaN    22    48 o    0   1.06 263.21044 33.03289  5013.27  4576.65 3.53 3.42 -61.7 -0.469    18.11 19.48 02a57524o0420o       0   50.809330
57524.515449 18.550302      NaN   -34    46 o    0   0.87 263.21044 33.03289  4977.05  4690.74 3.40 3.27 -70.7 -0.477    17.96 19.36 02a57524o0463o       0   48.924309
57524.520552 18.623526      NaN    -3    43 o    0   0.96 263.21044 33.03289  5508.79  5904.53 3.95 3.59  -4.6 -0.423    18.24 19.64 02a57524o0473o       0   46.114943
57528.466907 18.438271      NaN    34    40 o    0   1.14 263.21044 33.03289  7028.43  2918.72 3.85 3.66  24.3 -0.493    18.36 19.21 02a57528o0463o       0   43.331144
57528.474094 18.511660      NaN    33    37 o    0   1.32 263.21044 33.03289  7043.96  2955.35 3.76 3.62  22.8 -0.490    18.39 19.24 02a57528o0477o       0   40.578172
57528.483760 18.232071      NaN    72    38 o    0   1.14 263.21044 33.03289  6975.76  2876.69 3.97 3.79  12.2 -0.472    18.36 19.27 02a57528o0496o       0   41.492023
57528.502206 18.481707      NaN    19    43 o    0   0.84 263.21044 33.03289  3571.00  7538.18 4.04 3.74 -29.7 -0.444    18.31 19.30 02a57528o0532o       0   46.114943
57528.510803 18.816441      NaN   -53    36 o    0   1.29 263.21044 33.03289  3521.63  7601.08 3.93 3.62 -58.2 -0.453    18.37 19.35 02a57528o0548o       0   39.668476
57532.464291 18.786693      NaN   -31    37 o    0   0.88 263.21044 33.03289  5745.08  2482.61 4.03 3.40  -3.4 -0.533    18.61 19.69 02a57532o0416o       0   40.578172
57532.478094 18.910912      NaN   -26    33 o    0   0.98 263.21044 33.03289  5762.12  2521.91 4.11 3.44   1.4 -0.510    18.61 19.73 02a57532o0439o       0   36.967391
57532.486632 18.944322      NaN   -14    32 o    0   0.97 263.21044 33.03289  4818.64  8094.99 3.82 3.40 -76.7 -0.489    18.56 19.64 02a57532o0454o       0   36.077528
57532.496213 18.867907      NaN     8    32 o    0   1.27 263.21044 33.03289  4851.01  7980.98 3.91 3.75 -37.4 -0.459    18.51 19.66 02a57532o0468o       0   36.077528
57532.518807 18.816441      NaN   -24    36 o    0   0.87 263.21044 33.03289  4807.85  8047.38 3.73 3.31 -82.1 -0.494    18.60 19.63 02a57532o0509o       0   39.668476
57534.349916 18.944322      NaN    -7    32 o    0   0.84 263.21044 33.03289  3968.85   494.24 4.45 3.43  -7.5 -0.532    19.00 20.51 02a57534o0013o       0   36.077528
57534.350399 19.014394      NaN   -54    30 o    0   0.98 263.21044 33.03289  3968.76   494.45 4.37 3.42  -7.7 -0.527    18.99 20.49 02a57534o0014o       0   34.316002
57534.350882 18.978793      NaN   -26    31 o    0   0.99 263.21044 33.03289  3968.68   494.55 4.50 3.48  -7.0 -0.527    18.96 20.47 02a57534o0015o       0   35.193579
57534.351365 18.910912      NaN   -12    33 o    0   0.78 263.21044 33.03289  3968.51   494.54 4.49 3.46  -8.3 -0.532    18.96 20.47 02a57534o0016o       0   36.967391
57534.351848 18.944322      NaN   -11    32 o    0   0.84 263.21044 33.03289  3968.31   494.76 4.52 3.46  -7.5 -0.521    18.95 20.45 02a57534o0017o       0   36.077528
57534.352332 18.978793      NaN   -22    31 o    0   0.98 263.21044 33.03289  3968.15   494.64 4.50 3.42  -7.1 -0.526    18.95 20.42 02a57534o0018o       0   35.193579
