         MJD         m       dm   uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57316.513163 19.302877      NaN    -6    23 c    0   0.99 105.27749 40.82518  5419.82  8654.83 4.97 4.69 -18.5 -0.397    19.07 21.14 02a57316o0460c       0   26.644666
57316.537878 19.401649      NaN   -45    21 c    0   0.86 105.27749 40.82518  5414.26  8659.46 4.33 3.85 -68.5 -0.441    19.25 21.12 02a57316o0498c       0   24.938690
57316.572241 19.334813      NaN    14    18 c    0   1.05 105.27749 40.82518  6921.98  7208.58 4.19 3.82 -79.7 -0.433    19.27 21.14 02a57316o0551c       0   22.470831
57316.587178 19.569016      NaN   -14    18 c    0   1.03 105.27749 40.82518  6917.98  7212.57 4.29 3.82 -83.9 -0.427    19.28 21.21 02a57316o0569c       0   22.470831
57395.434066 19.302877      NaN    25    15 c    0   1.01 105.27749 40.82518  5449.91  1512.71 4.03 3.64  -4.5 -0.428    19.65 21.65 02a57395o0375c       0   20.147909
57395.442995 19.841877      NaN   -16    14 c    0   0.98 105.27749 40.82518  5753.51  2101.68 3.82 3.59   2.0 -0.418    19.67 21.64 02a57395o0389c       0   19.414897
57395.454083 19.609992      NaN     8    15 c    0   1.33 105.27749 40.82518  4888.90   936.77 4.11 3.57  -6.6 -0.464    19.67 21.63 02a57395o0404c       0   20.147909
57395.468960 19.922338      NaN    -1    13 c    0   1.26 105.27749 40.82518  4606.11  2698.99 3.80 3.63 -19.8 -0.397    19.62 21.58 02a57395o0425c       0   18.706636
57424.365887 19.696897      NaN   -35    16 c    0   1.11 105.27749 40.82518  4780.76  2190.12 4.36 3.77  -8.4 -0.432    19.62 21.68 02a57424o0284c       0   20.903068
57424.390544 19.510313      NaN     4    18 c    0   0.84 105.27749 40.82518  4524.02  1619.20 4.51 3.80 -12.7 -0.448    19.61 21.69 02a57424o0324c       0   22.470831
57424.409636 19.696897      NaN    -5    16 c    0   1.02 105.27749 40.82518  5761.67  1048.41 4.55 3.69  -2.8 -0.470    19.62 21.66 02a57424o0355c       0   20.903068
57424.417303 19.569016      NaN     0    18 c    0   0.83 105.27749 40.82518  5838.27   958.90 4.52 3.77  -2.1 -0.465    19.60 21.65 02a57424o0367c       0   22.470831
57431.359264 19.569016      NaN    -3    18 c    0   1.15 105.27749 40.82518  5011.16  1808.01 4.78 4.16  -9.1 -0.390    19.38 21.42 02a57431o0293c       0   22.470831
57431.364152 19.241693      NaN    20    18 c    0   1.05 105.27749 40.82518  4730.78  1227.60 4.64 3.91  -8.8 -0.442    19.47 21.47 02a57431o0301c       0   22.470831
57431.386145 19.318728      NaN    15    18 c    0   1.13 105.27749 40.82518  5976.29   657.90 5.07 4.29  -0.1 -0.420    19.43 21.57 02a57431o0337c       0   22.470831
57431.402636 19.491430      NaN    11    16 c    0   1.02 105.27749 40.82518  5819.00   946.98 4.60 3.90  -1.4 -0.447    19.49 21.55 02a57431o0364c       0   20.903068
57433.400521 19.014394      NaN    13    26 c    0   0.92 105.27749 40.82518  4153.87 10420.08 4.28 4.15 -36.7 -0.374    19.01 20.57 02a57433o0341c    8192   29.273507
57448.370872 19.302877      NaN    10    20 c    0   0.94 105.27749 40.82518  4919.38  1565.50 4.59 3.64  -6.5 -0.483    19.57 21.53 02a57448o0171c       0   24.102660
57448.388916 19.569016      NaN   -16    18 c    0   1.08 105.27749 40.82518  6122.15  1008.65 4.57 3.59   1.0 -0.499    19.58 21.54 02a57448o0207c       0   22.470831
57448.410887 19.510313      NaN     0    19 c    0   0.99 105.27749 40.82518  5871.29  1108.44 4.61 3.66   0.3 -0.483    19.53 21.47 02a57448o0252c       0   23.279567
57449.340165 19.696897      NaN   -13    16 c    0   1.03 105.27749 40.82518  4969.28  2204.32 4.40 3.66  -8.8 -0.465    19.64 21.67 02a57449o0288c       0   20.903068
57449.363161 19.631075      NaN    -8    17 c    0   1.00 105.27749 40.82518  4655.90  1621.24 4.68 3.69  -7.8 -0.490    19.61 21.65 02a57449o0323c       0   21.678059
57449.381601 19.384550      NaN     8    19 c    0   0.78 105.27749 40.82518  5861.44  1043.09 4.76 3.68   0.7 -0.491    19.61 21.65 02a57449o0359c       0   23.279567
