         MJD         m       dm      uJy   duJy F  err  chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    Mask      duJy_new
57238.269645 18.280067      NaN       43     44 o    0   1.08 216.96433 28.17473  3191.84  8021.92  3.86  3.79  79.4 -0.419    18.31 19.98 02a57238o0017o    8192     48.346699
57240.245016 16.121844      NaN       12    426 o    0   0.82 216.96433 28.17473  4644.60  6554.54  4.05  3.71 -88.3 -0.502    17.98 18.92 02a57240o0008o       2    426.470870
57240.262621 18.298627      NaN       70     34 o    0   1.24 216.96433 28.17473  4640.05  6552.14  3.89  3.46 -85.6 -0.430    18.95 20.54 02a57240o0014o    8192     39.463950
57362.645118 18.786693      NaN        4     35 o    0   0.79 216.96433 28.17473  5365.30  3797.71  3.84  3.56 -20.9 -0.443    18.66 19.99 02a57362o0623o    8192     40.328691
57362.666757 17.063000      NaN     -208    181 o    0   0.94 216.96433 28.17473  6249.66  4968.27  3.54  3.27 -87.9 -0.478    17.10 16.89 02a57362o0650o       2    182.105473
57363.655182 18.606822      NaN       27     34 o    0   0.94 216.96433 28.17473  5372.93  3806.73  3.92  3.63 -17.1 -0.431    18.52 19.73 02a57363o0606o    8192     39.463950
57384.616639 18.806434      NaN       14     31 o    0   1.34 216.96433 28.17473  5679.40  4387.19  3.66  3.55 -83.2 -0.422    18.57 19.70 02a57384o0627o    8192     36.910748
57384.629668 16.108481      NaN     -147    436 o    0   0.87 216.96433 28.17473  5390.75  3809.04  5.36  3.79   0.3 -0.339    15.90 16.51 02a57384o0648o       2    436.460082
57442.599399 18.847027      NaN        1     34 o    0   1.22 216.96433 28.17473  6407.01  3890.92  3.45  3.39 -87.7 -0.488    18.49 19.40 02a57442o0624o       0     39.463950
57442.613612 18.757738      NaN      -39     38 o    0   0.87 216.96433 28.17473  6696.69  4468.25  3.47  3.26 -88.3 -0.487    18.49 19.39 02a57442o0644o       0     42.958158
57442.636191 18.748255      NaN        2     37 o    0   0.92 216.96433 28.17473  5127.70  5652.76  3.55  3.26 -79.4 -0.488    18.47 19.44 02a57442o0678o       0     42.076161
57442.653005 18.944322      NaN      -43     32 o    0   1.18 216.96433 28.17473  5290.12  5689.59  3.61  3.27 -84.8 -0.481    18.48 19.46 02a57442o0701o       0     37.754514
57443.592257 18.574166      NaN       40     31 o    0   0.95 216.96433 28.17473  6360.90  3636.98  3.59  3.48   1.9 -0.462    18.61 19.64 02a57443o0668o       0     36.910748
57443.594550 18.481707      NaN       40     35 o    0   0.74 216.96433 28.17473  6652.41  4217.86  3.46  3.43 -71.9 -0.477    18.62 19.64 02a57443o0671o       0     40.328691
57443.631905 18.978793      NaN       -8     31 o    0   1.13 216.96433 28.17473  5182.00  5903.00  3.56  3.23 -81.5 -0.472    18.61 19.67 02a57443o0728o       0     36.910748
57443.641120 18.944322      NaN       -2     32 o    0   1.12 216.96433 28.17473  5298.85  5690.09  3.56  3.34 -78.2 -0.486    18.51 19.58 02a57443o0742o       0     37.754514
57463.520549 19.454622      NaN      -40     20 o    0   0.75 216.96433 28.17473  5993.96  3630.35  3.58  3.42  -2.1 -0.458    19.37 21.13 02a57463o0476o       0     28.309068
57463.543086 19.841877      NaN      -52     14 o    0   1.48 216.96433 28.17473  6285.26  4218.16  3.49  3.45 -35.4 -0.448    19.38 21.18 02a57463o0515o       0     24.441835
57463.575338 19.510313      NaN       -2     19 o    0   0.86 216.96433 28.17473  5525.97  5896.61  3.57  3.25 -83.9 -0.458    19.37 21.18 02a57463o0569o       0     27.611652
57463.585260 19.367717      NaN        9     18 o    0   1.14 216.96433 28.17473  5280.58  5683.27  3.66  3.34 -82.3 -0.455    19.36 21.19 02a57463o0585o       0     26.933312
57467.511706 18.944322      NaN      -34     32 o    0   0.87 216.96433 28.17473  6121.67  3663.58  3.66  3.47  -6.7 -0.493    18.69 19.86 02a57467o0568o       0     37.754514
57467.534679 19.089302      NaN      -16     28 o    0   1.06 216.96433 28.17473  6407.91  4230.58  3.60  3.56  42.2 -0.470    18.71 19.93 02a57467o0610o       0     34.429687
