         MJD         m       dm  uJy  duJy F  err  chi/N        RA    Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57399.538867 19.894850      NaN    2    13 c    0   1.00 156.04305 -0.823  4093.50  2264.56 4.02 3.56 -14.7 -0.424    19.66 21.64 02a57399o0553c       0   19.497934
57399.548694 19.384550      NaN   20    15 c    0   1.26 156.04305 -0.823  3797.85  1665.90 4.25 3.63 -15.1 -0.443    19.66 21.65 02a57399o0568c       0   20.884670
57399.554120 19.841877      NaN   -9    14 c    0   0.84 156.04305 -0.823  5866.45  7609.66 3.65 3.47  78.8 -0.407    19.66 21.66 02a57399o0576c       0   20.178440
57399.586547 19.696897      NaN  -10    16 c    0   1.04 156.04305 -0.823  5629.93  9377.50 3.70 3.60  49.6 -0.415    19.68 21.68 02a57399o0623c       0   21.614103
57421.590748 19.696897      NaN   -8    16 c    0   1.21 156.04305 -0.823  6022.92  8896.34 3.57 3.53  66.1 -0.428    19.44 21.22 02a57421o0655c       0   21.614103
57421.614471 19.063754      NaN   36    17 c    0   0.91 156.04305 -0.823  5734.03  8311.81 3.73 3.57  80.7 -0.415    19.34 21.09 02a57421o0694c       0   22.364468
57421.637565 19.569016      NaN   -7    18 c    0   1.03 156.04305 -0.823  6896.23  7735.74 3.77 3.57  86.9 -0.410    19.26 20.99 02a57421o0732c       0   23.133730
57421.654623 19.063754      NaN   24    21 c    0   0.89 156.04305 -0.823  6844.65  7695.89 4.05 3.82  88.2 -0.383    19.08 20.83 02a57421o0760c       0   25.537609
57422.587349 19.696897      NaN   -9    16 c    0   1.14 156.04305 -0.823  5809.45  8952.98 3.90 3.73  83.3 -0.413    19.47 21.43 02a57422o0649c       0   21.614103
57422.610975 19.271854      NaN   15    19 c    0   0.95 156.04305 -0.823  5521.34  8368.95 4.15 3.96  89.1 -0.377    19.29 21.28 02a57422o0688c       0   23.920064
57422.634638 19.510313      NaN   -4    19 c    0   0.82 156.04305 -0.823  6688.46  7791.16 3.91 3.64  86.8 -0.409    19.26 21.10 02a57422o0727c       0   23.920064
57422.652268 19.631075      NaN  -14    17 c    0   1.15 156.04305 -0.823  6845.86  7696.13 3.91 3.62  89.8 -0.410    19.19 20.98 02a57422o0756c       0   22.364468
57428.576313 19.766969      NaN   -5    15 c    0   0.89 156.04305 -0.823  6043.11  8963.88 3.71 3.50 -86.6 -0.438    19.66 21.69 02a57428o0617c       0   20.884670
57428.600203 19.351140      NaN   19    16 c    0   0.94 156.04305 -0.823  5789.93  8382.16 3.70 3.43 -82.5 -0.438    19.60 21.58 02a57428o0656c       0   21.614103
57428.624105 19.401649      NaN   19    15 c    0   1.11 156.04305 -0.823  6988.50  7805.10 3.69 3.38 -87.9 -0.444    19.53 21.47 02a57428o0695c       0   20.884670
57428.644924 19.569016      NaN  -12    18 c    0   1.07 156.04305 -0.823  6993.54  7643.89 3.73 3.38 -89.7 -0.436    19.42 21.28 02a57428o0729c       0   23.133730
57436.282222 17.813578      NaN   51    74 c    0   0.95 156.04305 -0.823  4994.49  2024.15 5.48 4.68  -4.6 -0.395    17.87 18.97 02a57436o0124c       2   75.413324
57436.296330 18.261819      NaN -101    60 c    0   1.23 156.04305 -0.823  5279.19  2609.63 5.11 4.55  -6.7 -0.393    18.04 19.15 02a57436o0147c       0   61.734670
57436.310437 18.158337      NaN   34    55 c    0   0.93 156.04305 -0.823  4113.40  3189.80 4.85 4.31 -14.2 -0.376    18.13 19.21 02a57436o0170c       0   56.887340
57436.324536 18.504094      NaN  -10    48 c    0   0.98 156.04305 -0.823  3840.19  2997.18 5.02 4.09 -10.5 -0.379    18.25 19.40 02a57436o0193c       0   50.151465
57452.480321 19.766969      NaN    0    15 c    0   0.95 156.04305 -0.823  5807.33  9064.45 3.69 3.63  78.4 -0.426    19.68 21.70 02a57452o0442c       0   20.884670
57452.502356 19.766969      NaN    4    14 c    0   0.98 156.04305 -0.823  5518.23  8480.68 3.73 3.56  89.6 -0.417    19.63 21.63 02a57452o0485c       0   20.178440
57452.524583 19.841877      NaN  -41    14 c    0   0.79 156.04305 -0.823  6681.87  7904.60 3.70 3.43  85.7 -0.421    19.59 21.53 02a57452o0528c       0   20.178440
57452.547071 19.766969      NaN   -5    15 c    0   0.96 156.04305 -0.823  6805.37  7673.14 3.72 3.40  86.4 -0.429    19.52 21.41 02a57452o0571c       0   20.884670
57460.451847 19.766969      NaN  -18    15 c    0   1.16 156.04305 -0.823  5922.33  8850.51 3.75 3.54  86.2 -0.427    19.58 21.51 02a57460o0487c       0   20.884670
57460.474017 19.569016      NaN   10    15 c    0   1.25 156.04305 -0.823  5633.56  8267.16 3.68 3.41 -86.9 -0.467    19.56 21.45 02a57460o0530c       0   20.884670
57460.496256 19.631075      NaN   -1    17 c    0   0.96 156.04305 -0.823  6819.37  7690.63 3.73 3.46  85.8 -0.441    19.44 21.30 02a57460o0573c       0   22.364468
57460.518410 19.631075      NaN  -19    17 c    0   0.99 156.04305 -0.823  6802.41  7674.98 3.72 3.37  85.8 -0.436    19.45 21.26 02a57460o0616c       0   22.364468
57480.409208 19.652575      NaN    3    16 c    0   0.79 156.04305 -0.823  5637.16  8879.18 3.76 3.56 -90.0 -0.426    19.63 21.63 02a57480o0404c       0   21.614103
57480.432176 19.766969      NaN    0    15 c    0   1.08 156.04305 -0.823  5350.93  8296.06 3.77 3.55 -83.6 -0.423    19.60 21.59 02a57480o0449c       0   20.884670
57480.455238 19.318728      NaN   24    15 c    0   0.97 156.04305 -0.823  6517.10  7721.20 3.73 3.42 -87.2 -0.427    19.56 21.51 02a57480o0494c       0   20.884670
57480.478492 19.631075      NaN  -24    17 c    0   0.91 156.04305 -0.823  6791.51  7665.71 3.70 3.36  88.2 -0.434    19.50 21.38 02a57480o0539c       0   22.364468
57490.342772 19.569016      NaN  -23    18 c    0   1.07 156.04305 -0.823  5668.74  8717.24 3.93 3.73  79.6 -0.409    19.33 21.10 02a57490o0335c       0   23.133730
57490.362809 19.241693      NaN   14    20 c    0   0.76 156.04305 -0.823  5377.11  8137.11 3.85 3.65 -89.2 -0.405    19.37 21.18 02a57490o0369c       0   24.721842
57490.401251 19.766969      NaN   -3    15 c    0   1.14 156.04305 -0.823  6793.77  7662.41 3.91 3.54  89.6 -0.399    19.53 21.52 02a57490o0434c       0   20.884670
57491.339398 19.419021      NaN    3    20 c    0   1.10 156.04305 -0.823  6079.63  8739.03 4.09 3.85  87.6 -0.415    19.13 20.79 02a57491o0246c       0   24.721842
57491.359508 18.836735      NaN   41    22 c    0   1.26 156.04305 -0.823  5788.45  8158.75 4.40 4.15 -82.2 -0.377    19.01 20.76 02a57491o0280c       0   26.366066
57491.379438 19.128787      NaN   19    21 c    0   0.92 156.04305 -0.823  6950.97  7584.57 4.41 4.12  87.0 -0.374    19.03 20.77 02a57491o0314c       0   25.537609
57491.398104 18.748255      NaN   44    24 c    0   1.15 156.04305 -0.823  6795.88  7662.77 4.71 4.33 -84.3 -0.352    18.82 20.64 02a57491o0347c       0   28.056540
57507.342638 19.401649      NaN   16    16 c    0   1.05 156.04305 -0.823  6168.20  8545.02 4.12 3.87 -87.4 -0.408    19.45 21.50 02a57507o0244c       0   21.614103
57507.355258 19.197966      NaN   29    16 c    0   1.30 156.04305 -0.823  6209.42  8506.02 3.90 3.64 -88.1 -0.425    19.51 21.50 02a57507o0269c       0   21.614103
57507.369488 19.631075      NaN  -13    17 c    0   1.21 156.04305 -0.823  6151.52  8486.32 3.95 3.72 -83.9 -0.418    19.44 21.44 02a57507o0297c       0   22.364468
57507.385905 19.631075      NaN  -12    17 c    0   1.03 156.04305 -0.823  6228.49  8564.95 3.94 3.73 -86.3 -0.418    19.41 21.37 02a57507o0329c       0   22.364468
57507.402412 19.241693      NaN   20    18 c    0   0.94 156.04305 -0.823  6131.07  8583.27 3.89 3.68 -88.6 -0.416    19.37 21.31 02a57507o0361c       0   23.133730
57509.350449 19.569016      NaN  -14    18 c    0   1.04 156.04305 -0.823  6167.02  8543.95 3.89 3.61 -87.6 -0.433    19.41 21.29 02a57509o0276c       0   23.133730
57509.366733 19.569016      NaN  -14    18 c    0   1.11 156.04305 -0.823  6206.47  8505.44 3.89 3.60 -88.1 -0.429    19.39 21.26 02a57509o0308c       0   23.133730
57509.382488 19.529530      NaN    6    17 c    0   1.22 156.04305 -0.823  6147.46  8485.65 3.85 3.59 -87.0 -0.431    19.34 21.18 02a57509o0339c       0   22.364468
57509.398136 19.529530      NaN    3    18 c    0   1.25 156.04305 -0.823  6225.23  8563.97 3.85 3.62  89.2 -0.425    19.29 21.12 02a57509o0370c       0   23.133730
57509.413198 19.436675      NaN    5    19 c    0   1.15 156.04305 -0.823  6129.34  8581.69 3.83 3.59 -90.0 -0.436    19.22 21.01 02a57509o0400c       0   23.920064
57511.320982 19.510313      NaN    7    17 c    0   1.08 156.04305 -0.823  8035.86  8727.84 4.34 3.83  84.5 -0.413    19.39 21.37 02a57511o0220c       0   22.364468
57511.333057 19.569016      NaN  -16    18 c    0   0.84 156.04305 -0.823  8015.54  8690.06 4.28 3.81  85.8 -0.413    19.38 21.34 02a57511o0243c       0   23.133730
57511.345124 19.696897      NaN  -25    16 c    0   1.26 156.04305 -0.823  8074.95  8770.22 4.25 3.86  85.6 -0.408    19.36 21.34 02a57511o0266c       0   21.614103
57511.357154 19.169763      NaN   28    17 c    0   1.23 156.04305 -0.823  8094.84  8654.51 4.04 3.59  84.7 -0.433    19.40 21.28 02a57511o0289c       0   22.364468
57511.369083 19.051202      NaN   37    17 c    0   1.06 156.04305 -0.823  5999.84  8486.82 3.90 3.66 -86.9 -0.424    19.36 21.27 02a57511o0312c       0   22.364468
57514.243430 19.302877      NaN  -38    23 c    0   1.28 156.04305 -0.823  5850.39  9592.29 4.07 3.89  47.8 -0.426    19.09 20.68 02a57514o0065c       0   27.206055
57514.250686 19.302877      NaN    7    21 c    0   1.17 156.04305 -0.823  5831.55  9558.49 4.07 3.94  34.3 -0.426    19.36 21.27 02a57514o0080c       0   25.537609
57514.260367 19.436675      NaN    5    19 c    0   1.12 156.04305 -0.823  5889.81  9641.38 4.06 3.94  54.2 -0.432    19.43 21.40 02a57514o0100c       0   23.920064
57514.272573 19.302877      NaN   13    19 c    0   1.08 156.04305 -0.823  5906.86  9528.37 4.11 3.99  51.1 -0.431    19.46 21.49 02a57514o0125c       0   23.920064
57514.285813 18.978793      NaN   37    19 c    0   0.90 156.04305 -0.823  5865.97  9592.36 4.03 3.93  66.6 -0.418    19.49 21.52 02a57514o0152c       0   23.920064
57538.256992 19.454622      NaN   -5    20 c    0   1.12 156.04305 -0.823  5405.93  8017.60 4.04 3.71  86.9 -0.458    19.20 20.98 02a57538o0057c       0   24.721842
57538.265313 19.014394      NaN   22    23 c    0   0.74 156.04305 -0.823  5386.43  7977.56 4.13 3.78 -85.9 -0.467    19.30 21.22 02a57538o0074c       0   27.206055
57538.276348 19.510313      NaN   -4    19 c    0   1.24 156.04305 -0.823  5443.41  8054.86 4.04 3.75 -81.6 -0.455    19.31 21.22 02a57538o0096c       0   23.920064
57538.288952 19.436675      NaN    5    19 c    0   1.10 156.04305 -0.823  5462.42  7936.07 3.94 3.61 -78.2 -0.432    19.31 21.20 02a57538o0121c       0   23.920064
