         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57319.569465 18.978793      NaN    -17    31 o    0   1.24 112.22887 26.89703  9632.93  6486.77 4.37 3.41  84.5 -0.497    18.96 20.55 02a57319o0568o    8192    38.181665
57319.642645 19.128787      NaN    -19    27 o    0   1.12 112.22887 26.89703  1382.15  5039.51 4.55 3.35 -53.2 -0.463    18.93 20.46 02a57319o0665o    8192    35.011992
57324.514678 18.403357      NaN      4    52 o    0   1.23 112.22887 26.89703  9669.00  6484.64 4.67 3.65  85.9 -0.488    18.12 19.10 02a57324o0521o       0    56.575963
57324.539943 18.376212      NaN    -96    54 o    0   1.12 112.22887 26.89703  9663.94  6493.92 4.63 3.54  88.3 -0.497    18.15 19.13 02a57324o0560o       0    58.419514
57324.588505 18.417189      NaN    -17    52 o    0   1.23 112.22887 26.89703  1413.36  5044.85 5.57 4.05 -50.0 -0.461    18.24 19.33 02a57324o0631o       0    56.575963
57324.605827 18.084160      NaN     67    49 o    0   1.19 112.22887 26.89703  1417.41  5049.64 5.62 4.12 -49.3 -0.461    18.24 19.37 02a57324o0658o       0    53.831585
57327.623998 17.447688      NaN    167    72 o    0   1.27 112.22887 26.89703  1103.81  4165.42 5.45 3.80 -45.9 -0.489    18.02 18.80 02a57327o0634o 8388610    75.371345
57362.494347 18.606822      NaN     64    23 o    0   1.00 112.22887 26.89703  9442.22  6841.84 3.62 3.11  84.6 -0.463    19.19 20.79 02a57362o0427o       0    32.028731
57362.521925 19.128787      NaN     32    17 o    0   1.87 112.22887 26.89703  9157.77  6262.40 3.60 3.12  83.6 -0.471    19.21 20.83 02a57362o0466o       0    28.032830
57362.539007 19.076453      NaN     15    24 o    0   1.18 112.22887 26.89703   298.95  7384.03 4.16 3.44 -63.8 -0.442    19.20 20.79 02a57362o0491o       0    32.754230
57362.540273 19.212347      NaN    -42    25 o    0   1.19 112.22887 26.89703 10053.78  7412.56 3.62 3.10  86.5 -0.455    19.18 20.73 02a57362o0492o       0    33.493874
57362.560101 19.212347      NaN    -42    25 o    0   1.07 112.22887 26.89703   638.85  4840.70 4.44 3.55 -50.4 -0.439    19.11 20.67 02a57362o0519o       0    33.493874
57362.569042 19.351140      NaN    -14    22 o    0   1.35 112.22887 26.89703 10374.91  4864.35 3.76 3.18  80.5 -0.456    19.12 20.66 02a57362o0533o       0    31.318358
