 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD         uJy       duJy      stdev       x2         m       dm
57400.5      0      4          0       0 57400.622845  -11.061693   9.256981  18.312109 1.041357 20.291023      NaN
57401.5      0      4          0       0 57401.627597   -7.755616   8.907409  17.972201 1.026724 20.332818      NaN
57402.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57403.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57404.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57405.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57406.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57407.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57408.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57409.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57410.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57411.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57412.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57413.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57414.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57415.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57416.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57417.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57418.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57419.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57420.5      0      4          0       0 57420.617511   -5.375683   9.886107  16.268579 0.727985 20.219634      NaN
57421.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57422.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57423.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57424.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57425.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57426.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57427.5      0      4          0       0 57427.597696   -1.734462   9.398650   8.225975 0.188599 20.274533      NaN
57428.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57429.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57430.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57431.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57432.5      0      4          0       0 57432.584850    0.064786   9.356867  12.500000 0.443627 20.276868      NaN
57433.5      0      4          0       0 57433.568307   -2.305372   9.541926  17.689451 0.837066 20.258107      NaN
57434.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57435.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57436.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
57437.5      0      0          0 8388608          NaN         NaN        NaN        NaN      NaN       NaN      NaN
