         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57400.588697 20.009244      NaN  -36    12 c    0   1.49 185.50471 16.99556  5725.02  6425.58 3.91 3.71 -86.0 -0.381    19.67 21.81 02a57400o0590c       0   17.474534
57400.615962 19.841877      NaN   -5    14 c    0   0.96 185.50471 16.99556  5384.74  5833.70 3.84 3.64 -85.4 -0.390    19.71 21.84 02a57400o0631c       0   18.903950
57400.629515 19.766969      NaN    7    14 c    0   1.05 185.50471 16.99556  4329.30  3475.63 4.28 3.97 -24.7 -0.357    19.71 21.89 02a57400o0650c       0   18.903950
57400.663020 19.841877      NaN   -6    14 c    0   1.14 185.50471 16.99556  4092.38  5232.89 3.80 3.66 -61.1 -0.384    19.68 21.70 02a57400o0693c       0   18.903950
57401.590074 19.922338      NaN  -13    13 c    0   1.22 185.50471 16.99556  5680.36  6522.42 3.62 3.38 -86.6 -0.410    19.71 21.69 02a57401o0612c       0   18.175790
57401.626869 20.009244      NaN  -30    12 c    0   1.64 185.50471 16.99556  5377.24  5954.25 3.64 3.43 -85.4 -0.400    19.73 21.76 02a57401o0667c       0   17.474534
57401.630742 20.009244      NaN    2    12 c    0   1.36 185.50471 16.99556  4499.92  3602.47 3.77 3.57 -29.5 -0.392    19.76 21.76 02a57401o0671c       0   17.474534
57401.662506 19.743105      NaN   11    13 c    0   1.05 185.50471 16.99556  4189.58  5347.30 3.66 3.49 -77.6 -0.405    19.67 21.59 02a57401o0714c       0   18.175790
57420.588149 19.766969      NaN   -7    15 c    0   1.11 185.50471 16.99556  4657.57  4622.54 3.61 3.48 -71.0 -0.387    19.50 21.28 02a57420o0556c       0   19.656026
57420.615352 19.631075      NaN  -19    17 c    0   0.86 185.50471 16.99556  4361.20  4044.88 3.73 3.59 -46.8 -0.396    19.49 21.27 02a57420o0597c       0   21.221672
57420.622798 19.631075      NaN   16    13 c    0   1.08 185.50471 16.99556  5525.07  3464.88 3.77 3.66 -27.6 -0.396    19.48 21.27 02a57420o0605c       0   18.175790
57420.644551 19.696897      NaN  -18    16 c    0   0.92 185.50471 16.99556  5354.09  3603.93 3.80 3.68 -26.8 -0.387    19.43 21.21 02a57420o0638c       0   20.429374
57427.565176 20.009244      NaN   -4    12 c    0   1.44 185.50471 16.99556  4374.34  4579.31 3.84 3.64 -42.4 -0.388    19.72 21.78 02a57427o0594c       0   17.474534
57427.587268 19.868040      NaN    6    13 c    0   1.15 185.50471 16.99556  4118.93  4005.95 3.86 3.60 -30.8 -0.398    19.73 21.75 02a57427o0627c       0   18.175790
