         MJD         m       dm       uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    Mask      duJy_new
57205.274725 18.445391      NaN      47.0     41 o    0    1.02 185.50471 16.99556  2921.48  4800.23  3.83  3.49 -78.9 -0.481    18.31 19.17 02a57205o0020o    8192     46.406063
57205.283360 17.972330      NaN     124.0     43 o    0    1.16 185.50471 16.99556  2918.43  4799.55  3.81  3.40 -81.3 -0.494    18.29 19.13 02a57205o0032o    8192     48.182182
57206.279099 18.094452      NaN     111.0     39 o    0    1.14 185.50471 16.99556  2901.87  4795.64  4.20  3.65 -57.9 -0.491    18.27 19.39 02a57206o0010o       0     44.648882
57206.287609 18.063866      NaN      96.0     46 o    0    0.83 185.50471 16.99556  2899.97  4796.78  3.97  3.82 -81.9 -0.433    18.31 19.33 02a57206o0022o       0     50.877526
57206.296046 18.702047      NaN     -28.0     40 o    0    1.36 185.50471 16.99556  2898.25  4797.18  4.15  3.89 -81.5 -0.400    18.23 19.25 02a57206o0034o       0     45.524968
57415.590975 18.847027      NaN     -22.0     35 o    0    1.01 185.50471 16.99556  4238.58  4838.36  3.72  3.53 -69.7 -0.409    18.42 19.34 02a57415o0626o       0     41.201003
57415.616284 18.598565      NaN      39.0     37 o    0    0.97 185.50471 16.99556  3936.07  4261.70  3.72  3.55 -48.0 -0.405    18.46 19.35 02a57415o0664o       0     42.912966
57415.638103 18.757738      NaN      -9.0     38 o    0    1.16 185.50471 16.99556  5095.22  3681.92  3.76  3.66 -42.8 -0.416    18.43 19.37 02a57415o0696o       0     43.778107
57415.667377 18.786693      NaN     -79.0     37 o    0    1.02 185.50471 16.99556  5350.15  3606.53  3.54  3.48 -40.1 -0.433    18.41 19.20 02a57415o0736o       0     42.912966
57442.517762 18.243872      NaN      12.0     61 o    0    1.06 185.50471 16.99556  4269.14  4701.77  3.58  3.37 -52.7 -0.461    17.85 18.30 02a57442o0508o       2     64.757414
57442.525029 18.208845      NaN       8.0     63 o    0    1.01 185.50471 16.99556  3988.58  4119.39  3.60  3.33 -33.4 -0.473    17.89 18.32 02a57442o0517o       2     66.644750
57442.550752 18.158337      NaN      39.0     59 o    0    1.20 185.50471 16.99556  5148.19  3541.63  3.41  3.32 -26.1 -0.510    17.89 18.29 02a57442o0555o    8192     62.877044
57442.568368 18.261819      NaN     -52.0     60 o    0    1.05 185.50471 16.99556  5311.45  3585.39  3.43  3.27 -16.8 -0.505    17.91 18.32 02a57442o0581o    8192     63.816320
57443.508285 18.574166      NaN     -40.0     45 o    0    1.40 185.50471 16.99556  6349.62  5745.18  3.55  3.09 -86.1 -0.465    18.19 18.88 02a57443o0549o       0     49.975221
57443.516615 18.675237      NaN     -86.0     41 o    0    1.11 185.50471 16.99556  4031.51  4368.58  3.69  3.36 -33.7 -0.483    18.23 18.93 02a57443o0558o       0     46.406063
57443.543151 18.675237      NaN       0.0     41 o    0    1.26 185.50471 16.99556  5187.33  3791.17  3.55  3.41 -24.6 -0.487    18.23 18.94 02a57443o0596o       0     46.406063
57443.572082 18.623526      NaN     -40.0     43 o    0    1.15 185.50471 16.99556  5314.90  3581.80  3.72  3.39 -16.7 -0.478    18.22 18.93 02a57443o0638o       0     48.182182
