         MJD         m       dm     uJy  duJy F  err   chi/N        RA     Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  Mask    duJy_new
57396.547529 19.089302      NaN    32.0    18 c    0    0.88 185.18754 49.5513  2330.92  1767.15 4.79 3.77 -23.1 -0.432    19.65 21.73 02a57396o0541c     0   26.609128
57396.556089 19.569016      NaN    -7.0    18 c    0    0.90 185.18754 49.5513  2041.73  1170.17 4.96 3.71 -24.4 -0.462    19.67 21.70 02a57396o0555c     0   26.609128
57396.582454 19.841877      NaN   -18.0    14 c    0    1.14 185.18754 49.5513  7372.06 10288.35 3.82 3.71  19.1 -0.412    19.67 21.69 02a57396o0598c     0   24.084138
57396.589168 19.841877      NaN   -40.0    14 c    0    1.19 185.18754 49.5513  2846.11  2370.87 4.42 3.67 -24.1 -0.419    19.69 21.70 02a57396o0609c     0   24.084138
57396.600178 19.631075      NaN   -66.0    17 c    0    1.19 185.18754 49.5513  3100.78   617.81 4.90 3.68 -17.9 -0.466    19.68 21.68 02a57396o0627c     0   25.943124
57424.536426 19.569016      NaN    -4.0    18 c    0    0.97 185.18754 49.5513  2838.16  1112.08 5.15 3.86 -21.6 -0.455    19.73 21.87 02a57424o0545c     0   26.609128
57424.567853 19.115465      NaN    39.0    15 c    0    1.12 185.18754 49.5513  7397.92  8780.63 3.98 3.61  85.5 -0.418    19.71 21.82 02a57424o0590c     0   24.678851
57424.581980 19.696897      NaN   -29.0    16 c    0    0.97 185.18754 49.5513  1931.31  2236.42 4.77 3.77 -25.9 -0.433    19.73 21.83 02a57424o0610c     0   25.299124
57424.593455 19.609992      NaN    12.0    14 c    0    1.15 185.18754 49.5513  8609.43  8151.05 4.00 3.57  80.5 -0.418    19.70 21.80 02a57424o0626c     0   24.084138
57448.490647 19.401649      NaN   -63.0    21 c    0    1.10 185.18754 49.5513  2511.09  1324.60 4.68 3.63 -16.7 -0.463    19.33 20.99 02a57448o0404c     0   28.723609
57448.513664 19.510313      NaN   -23.0    19 c    0    1.09 185.18754 49.5513  7871.93  8793.27 3.90 3.51  82.5 -0.431    19.29 20.90 02a57448o0445c     0   27.295525
57448.526912 19.419021      NaN    10.0    18 c    0    1.22 185.18754 49.5513  9005.11  8250.72 4.03 3.44  80.6 -0.430    19.27 20.86 02a57448o0468c     0   26.609128
57448.550766 19.351140      NaN    11.0    19 c    0    1.26 185.18754 49.5513  8753.94  8343.61 4.18 3.68  79.8 -0.412    19.16 20.77 02a57448o0510c     0   27.295525
57449.477696 19.766969      NaN   -38.0    15 c    0    1.39 185.18754 49.5513  2749.56  1275.37 4.67 3.65 -15.6 -0.461    19.68 21.69 02a57449o0543c     0   24.678851
57449.496989 19.569016      NaN   -10.0    18 c    0    0.97 185.18754 49.5513  3035.80  1873.50 4.44 3.62 -14.8 -0.444    19.55 21.40 02a57449o0577c     0   26.609128
57449.520008 19.674510      NaN     6.0    15 c    0    1.20 185.18754 49.5513  8754.55  8282.39 3.94 3.38  80.5 -0.437    19.47 21.23 02a57449o0618c     0   24.678851
57449.543892 19.318728      NaN    22.0    16 c    0    0.89 185.18754 49.5513  8757.25  8344.10 3.93 3.36  80.6 -0.434    19.40 21.09 02a57449o0661c     0   25.299124
57458.466091 19.454622      NaN   -44.0    20 c    0    0.85 185.18754 49.5513  2823.23  1119.70 5.26 4.07 -11.0 -0.428    19.63 21.85 02a57458o0527c     0   28.000816
57458.485824 19.922338      NaN   -45.0    13 c    0    1.51 185.18754 49.5513  7539.81  8972.41 4.27 3.99  86.5 -0.389    19.61 21.77 02a57458o0563c     0   23.516923
57458.507780 19.529530      NaN    13.0    15 c    0    1.17 185.18754 49.5513  8665.49  8432.86 4.18 3.63  78.4 -0.416    19.63 21.72 02a57458o0602c     0   24.678851
57458.519736 19.401649      NaN   -14.0    21 c    0    1.07 185.18754 49.5513  8751.25  8341.55 4.33 3.66 -89.8 -0.391    19.35 21.46 02a57458o0624c     0   28.723609
57482.411970 19.766969      NaN   -26.0    15 c    0    1.19 185.18754 49.5513  7681.80  9493.56 4.40 4.01  83.4 -0.394    19.61 21.76 02a57482o0409c  8192   24.678851
57488.390877 19.766969      NaN   -20.0    15 c    0    1.18 185.18754 49.5513  7672.45  9458.80 4.14 3.66  85.5 -0.434    19.62 21.63 02a57488o0305c     0   24.678851
57488.408617 19.766969      NaN   -14.0    15 c    0    1.10 185.18754 49.5513  7384.50  8863.74 4.09 3.63  82.9 -0.420    19.57 21.57 02a57488o0338c     0   24.678851
