 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD          uJy       duJy      stdev       x2         m       dm
57395.5      0      4          0       0 57395.529811   -11.787019  11.229095  11.343133 0.260163 20.081335      NaN
57396.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57397.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57398.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57399.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57400.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57401.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57402.5      0      4          0       0 57402.536457     5.677719  11.921228  16.255768 0.469664 19.856414      NaN
57403.5      0      4          0       0 57403.534311   -20.207836  11.685646  14.660036 0.407794 20.038065      NaN
57404.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57405.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57406.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57407.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57408.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57409.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57410.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57411.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57412.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57413.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57414.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57415.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57416.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57417.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57418.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57419.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57420.5      0      4          0       0 57420.536080    10.555227  12.078758   8.341663 0.122003 19.724583      NaN
57421.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57422.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57423.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57424.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
57425.5      0      0          0 8388608          NaN          NaN        NaN        NaN      NaN       NaN      NaN
