         MJD         m       dm  uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs  Mask   duJy_new
57396.598947 19.841877      NaN    3    14 c    0   1.25 208.49258 50.04176  4658.08  9995.32 3.75 3.69  63.5 -0.397    19.60 21.58 02a57396o0625c     0  24.195048
57396.601396 18.944322      NaN   47    19 c    0   1.11 208.49258 50.04176  3931.43   676.90 4.78 3.72 -12.8 -0.466    19.60 21.59 02a57396o0629c     0  27.393437
57396.607507 19.454622      NaN  -38    20 c    0   1.42 208.49258 50.04176  3644.02    81.83 4.96 3.64 -13.8 -0.497    19.61 21.58 02a57396o0639c     0  28.096270
57396.620973 19.569016      NaN    6    18 c    0   1.24 208.49258 50.04176  4462.71  1274.99 4.49 3.71 -12.7 -0.447    19.60 21.58 02a57396o0661c     0  26.709556
57396.627717 19.696897      NaN   -4    16 c    0   1.06 208.49258 50.04176  5832.26  9416.88 3.74 3.66  78.2 -0.413    19.59 21.57 02a57396o0672c     0  25.404731
57424.598946 19.696897      NaN   14    14 c    0   1.33 208.49258 50.04176  5512.31  9921.04 3.79 3.72  58.0 -0.404    19.70 21.79 02a57424o0633c     0  24.195048
57424.604067 18.163834 0.303124  205    55 c    0   0.85 208.49258 50.04176  5806.06 10505.97 3.94 3.84  30.3 -0.405    19.68 21.79 02a57424o0641c     0  58.432871
57424.609333 19.631075      NaN  -48    17 c    0   1.11 208.49258 50.04176  4684.34   606.90 4.85 3.80  -9.5 -0.465    19.72 21.82 02a57424o0649c  4096  26.046120
57424.621949 19.169763      NaN   41    15 c    0   1.48 208.49258 50.04176  3564.34  1167.47 4.79 3.75 -15.4 -0.453    19.72 21.81 02a57424o0668c     0  24.787101
57424.634868 19.026525      NaN   52    15 c    0   1.31 208.49258 50.04176  3494.42  1257.66 4.69 3.71 -14.9 -0.459    19.73 21.83 02a57424o0687c     0  24.787101
57448.521048 19.183773      NaN   25    20 c    0   1.31 208.49258 50.04176  5151.55 10101.86 3.71 3.60   8.3 -0.409    19.26 20.81 02a57448o0458c     0  28.096270
57448.535357 19.454622      NaN  -12    20 c    0   1.74 208.49258 50.04176  4100.81   207.25 4.86 3.72  -8.8 -0.468    19.22 20.81 02a57448o0482c     0  28.096270
57448.548692 19.212347      NaN  -44    25 c    0   1.13 208.49258 50.04176  4377.06   810.82 4.88 3.78  -7.5 -0.449    19.17 20.78 02a57448o0506c     0  31.849653
57448.571262 19.256669      NaN   32    16 c    0   1.67 208.49258 50.04176  7413.21  9321.50 4.09 3.78  79.6 -0.408    19.18 20.79 02a57448o0546c     0  25.404731
57448.594228 19.631075      NaN  -31    17 c    0   1.43 208.49258 50.04176  7159.76  9417.26 4.15 3.85  77.4 -0.401    19.17 20.82 02a57448o0588c     0  26.046120
57449.515332 19.256669      NaN   26    18 c    0   1.05 208.49258 50.04176  5411.78 10061.32 3.71 3.63   9.9 -0.400    19.45 21.19 02a57449o0610c     0  26.709556
57449.522593 19.302877      NaN    3    23 c    0   1.24 208.49258 50.04176  4333.17   175.30 4.94 3.55  -4.5 -0.456    19.43 21.19 02a57449o0623c     0  30.305121
57449.541798 19.569016      NaN  -35    18 c    0   1.33 208.49258 50.04176  4630.49   762.87 4.45 3.49  -7.7 -0.489    19.43 21.13 02a57449o0657c     0  26.709556
57449.562944 19.510313      NaN  -55    19 c    0   1.30 208.49258 50.04176  3512.21  1340.35 4.54 3.54 -14.2 -0.468    19.39 21.10 02a57449o0696c     0  27.393437
