         MJD         m       dm    uJy  duJy F  err   chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57232.261786 11.272582      NaN -18000 37484 o    0    1.15 208.49258 50.04176  6670.83 10092.58  4.39 4.03 -81.3 -0.419    12.72 12.51 02a57232o0019o 8388610 37484.008751
57232.263188 11.131331      NaN -33429 42692 o    0    1.40 208.49258 50.04176  6669.58 10092.99  4.13 3.81 -79.7 -0.451    12.47 12.17 02a57232o0021o 8388610 42692.007684
57233.255761 18.131260      NaN     32    59 o    0    1.06 208.49258 50.04176  6662.64 10092.79  3.68 3.34 -71.7 -0.486    18.45 19.42 02a57233o0006o       0    64.320126
57233.262703 18.504094      NaN   -131    48 o    0    0.96 208.49258 50.04176  5606.21   192.62  3.58 3.36 -59.8 -0.407    18.44 19.38 02a57233o0013o       0    54.406605
57233.282702 18.417189      NaN    -25    52 o    0    1.01 208.49258 50.04176  5592.13   201.27  3.52 3.15 -75.0 -0.407    18.41 19.29 02a57233o0029o       0    57.966185
57365.661071 18.104842      NaN     76    46 o    0    1.14 208.49258 50.04176  3796.43   675.67  5.47 3.89 -12.2 -0.468    18.32 19.47 02a57365o0720o    8192    52.650533
57365.663252 17.850111      NaN     62    69 o    0    1.00 208.49258 50.04176  4518.74  9988.86  3.65 3.59 -72.9 -0.411    18.19 18.98 02a57365o0723o       2    73.600806
57386.602983 19.051202      NaN      6    29 o    0    1.27 208.49258 50.04176  4501.36  9979.92  3.63 3.45 -71.8 -0.427    18.83 20.09 02a57386o0653o       0    38.692100
57386.607896 18.757738      NaN      3    38 o    0    1.14 208.49258 50.04176  3782.62   666.17  4.95 3.54 -13.1 -0.534    18.86 20.16 02a57386o0661o       0    45.826615
57386.619772 18.550302      NaN   -214    46 o    0    1.22 208.49258 50.04176  3505.32    72.97  5.07 3.30 -11.7 -0.435    18.92 20.22 02a57386o0677o    4096    52.650533
57386.624437 19.128787      NaN      3    27 o    0    1.06 208.49258 50.04176  5720.49  9400.78  3.54 3.29 -85.7 -0.463    18.93 20.24 02a57386o0683o       0    37.216645
57386.627535 19.063754      NaN     14    26 o    0    1.37 208.49258 50.04176  4344.77  1266.36  4.54 3.47 -11.3 -0.529    18.93 20.26 02a57386o0688o       0    36.497652
57387.591656 19.169763      NaN    -41    26 o    0    1.29 208.49258 50.04176  4505.46  9976.72  3.51 3.44  -4.8 -0.433    18.95 20.02 02a57387o0647o       0    36.497652
57387.599818 19.089302      NaN    -12    28 o    0    1.15 208.49258 50.04176  3784.69   662.62  4.66 3.51 -14.6 -0.515    18.98 20.08 02a57387o0652o       0    37.948368
57387.608423 18.944322      NaN   -289    32 o    0    1.69 208.49258 50.04176  3507.36    68.88  4.91 3.47 -15.4 -0.507    19.00 20.09 02a57387o0666o    4096    40.988762
57387.612122 19.256669      NaN      6    24 o    0    1.25 208.49258 50.04176  5722.68  9395.47  3.43 3.36  88.5 -0.453    19.01 20.11 02a57387o0672o       0    35.100978
57387.614585 18.921935      NaN     29    25 o    0    1.28 208.49258 50.04176  4345.31  1260.44  4.50 3.52 -11.8 -0.484    18.99 20.11 02a57387o0676o       0    35.792159
57409.592076 18.558199      NaN     17    42 o    0    1.21 208.49258 50.04176  4348.67   107.67  4.65 3.44  -9.8 -0.533    18.62 19.64 02a57409o0633o       0    49.194295
