         MJD         m       dm     uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57314.567532 19.569016      NaN    -2.0    18 c    0   1.06 109.58657 33.99488  6292.70  2503.16 4.67 3.90  -1.6 -0.432    19.37 21.29 02a57314o0536c       0   41.291265
57314.594290 19.631075      NaN    43.0    17 c    0   1.33 109.58657 33.99488  6300.17  2506.58 4.64 3.83   0.1 -0.441    19.39 21.28 02a57314o0575c       0   40.865249
57314.624680 19.351140      NaN   -16.0    22 c    0   1.06 109.58657 33.99488  7740.31  1043.26 5.17 3.84  12.1 -0.455    19.39 21.24 02a57314o0611c       0   43.185282
57314.656604 16.257738      NaN   209.0   331 c    0   0.84 109.58657 33.99488  7746.28  1053.86 5.10 3.78  12.4 -0.507    17.25 17.00 02a57314o0648c       2  333.079523
57316.532761 19.569016      NaN    32.0    18 c    0   1.43 109.58657 33.99488  6308.04  2489.64 4.94 4.00  -0.6 -0.416    19.20 21.05 02a57316o0490c       0   41.291265
57316.541752 19.401649      NaN    -3.0    21 c    0   1.07 109.58657 33.99488  6300.87  2494.30 5.03 4.22   0.2 -0.397    19.15 21.02 02a57316o0504c       0   42.684523
57316.574216 19.351140      NaN  -100.0    22 c    0   1.19 109.58657 33.99488  7754.50  1028.08 5.52 4.20  11.4 -0.432    19.21 21.08 02a57316o0554c       0   43.185282
57316.592417 19.351140      NaN    13.0    22 c    0   0.98 109.58657 33.99488  7750.81  1033.64 5.40 4.03  10.8 -0.441    19.28 21.13 02a57316o0577c       0   43.185282
57395.422818 19.922338      NaN   -36.0    13 c    0   1.16 109.58657 33.99488  5977.53  2788.03 3.74 3.64   0.9 -0.399    19.62 21.56 02a57395o0359c       0   39.369640
57395.445995 19.841877      NaN   -18.0    14 c    0   1.05 109.58657 33.99488  4847.79  8276.08 3.63 3.49  76.4 -0.429    19.64 21.57 02a57395o0393c       0   39.711063
57395.451705 19.841877      NaN    48.0    14 c    0   0.98 109.58657 33.99488  4011.09  7118.40 3.70 3.49  85.5 -0.418    19.64 21.57 02a57395o0401c       0   39.711063
57395.468346 19.696897      NaN    -8.0    16 c    0   0.99 109.58657 33.99488  3744.22  8878.43 3.76 3.64  72.2 -0.420    19.60 21.53 02a57395o0424c       0   40.459468
57402.423667 20.009244      NaN    -6.0    12 c    0   1.79 109.58657 33.99488  4732.50  7860.78 3.79 3.50 -86.2 -0.427    19.63 21.59 02a57402o0373c       0   39.050846
57402.451367 20.009244      NaN   -48.0    12 c    0   1.55 109.58657 33.99488  5013.04  8446.77 3.74 3.55  84.2 -0.421    19.62 21.58 02a57402o0411c       0   39.050846
57402.458553 19.841877      NaN   -24.0    14 c    0   0.94 109.58657 33.99488  4161.74  7285.45 3.71 3.48 -86.0 -0.415    19.63 21.58 02a57402o0420c       0   39.711063
57402.475850 19.766969      NaN   -14.0    15 c    0   1.04 109.58657 33.99488  3853.20  9035.40 3.72 3.69  78.5 -0.420    19.59 21.53 02a57402o0442c       0   40.074537
57403.425077 19.841877      NaN    24.0    14 c    0   1.13 109.58657 33.99488  4733.08  7859.54 3.80 3.48 -85.5 -0.433    19.62 21.59 02a57403o0373c       0   39.711063
57403.449250 19.841877      NaN   -46.0    14 c    0   1.18 109.58657 33.99488  5010.21  8444.00 3.95 3.64 -87.2 -0.410    19.57 21.58 02a57403o0408c       0   39.711063
57403.458605 19.766969      NaN    23.0    15 c    0   1.11 109.58657 33.99488  4163.41  7282.66 3.93 3.59 -76.6 -0.411    19.58 21.59 02a57403o0422c       0   40.074537
57403.490907 19.766969      NaN   -84.0    15 c    0   1.28 109.58657 33.99488  3855.05  9036.36 4.38 3.95 -72.7 -0.389    19.46 21.55 02a57403o0464c       0   40.074537
57420.414860 19.841877      NaN   -16.0    14 c    0   1.43 109.58657 33.99488  4308.39  8326.79 4.12 3.92 -85.7 -0.383    19.56 21.65 02a57420o0293c       0   39.711063
57420.426340 19.841877      NaN    18.0    14 c    0   1.19 109.58657 33.99488  4018.57  7743.94 3.92 3.72 -74.5 -0.391    19.61 21.63 02a57420o0310c       0   39.711063
57420.453653 19.766969      NaN    -4.0    15 c    0   1.24 109.58657 33.99488  5174.32  7164.24 4.02 3.75 -84.3 -0.385    19.54 21.61 02a57420o0352c       0   40.074537
57420.478465 19.841877      NaN   -52.0    14 c    0   1.08 109.58657 33.99488  4993.83  7281.83 3.73 3.46 -87.5 -0.404    19.61 21.57 02a57420o0390c       0   39.711063
57427.399630 19.766969      NaN    12.0    15 c    0   1.22 109.58657 33.99488  4082.24  8233.04 3.75 3.55 -79.4 -0.434    19.58 21.51 02a57427o0333c       0   40.074537
57427.421057 19.841877      NaN    26.0    14 c    0   1.31 109.58657 33.99488  3836.60  7664.61 3.72 3.53 -77.6 -0.427    19.60 21.55 02a57427o0366c       0   39.711063
57427.443926 19.841877      NaN     2.0    14 c    0   1.15 109.58657 33.99488  5030.31  7095.28 3.68 3.46 -84.3 -0.423    19.58 21.51 02a57427o0402c       0   39.711063
57427.455109 19.922338      NaN   -22.0    13 c    0   1.45 109.58657 33.99488  5000.96  7161.76 3.68 3.43 -81.9 -0.427    19.58 21.51 02a57427o0420c       0   39.369640
57432.406301 19.696897      NaN    54.0    16 c    0   1.61 109.58657 33.99488  3964.29  7689.53 3.88 3.68 -64.8 -0.417    19.42 21.27 02a57432o0349c       0   40.459468
57432.421671 19.696897      NaN   -44.0    16 c    0   0.87 109.58657 33.99488  5129.47  7116.77 3.80 3.56 -77.8 -0.425    19.53 21.47 02a57432o0373c       0   40.459468
57432.447516 19.766969      NaN   -24.0    15 c    0   1.35 109.58657 33.99488  4981.95  7154.67 3.71 3.52 -75.3 -0.428    19.51 21.42 02a57432o0414c       0   40.074537
57433.379242 19.256669      NaN    38.0    24 c    0   0.85 109.58657 33.99488  3950.08  7984.65 3.93 3.71 -65.5 -0.429    19.07 20.58 02a57433o0307c       0   44.237637
57433.382937 19.302877      NaN     4.0    23 c    0   0.98 109.58657 33.99488  3671.28  7406.64 3.91 3.63 -62.9 -0.429    19.08 20.59 02a57433o0313c       0   43.703187
57433.410416 19.226921      NaN    73.0    21 c    0   1.05 109.58657 33.99488  4876.59  6836.33 3.86 3.61 -71.2 -0.435    19.10 20.66 02a57433o0357c       0   42.684523
57433.424880 19.401649      NaN     1.0    21 c    0   0.98 109.58657 33.99488  4948.14  7140.63 3.89 3.62 -74.6 -0.431    19.12 20.70 02a57433o0379c       0   42.684523
57450.350002 19.766969      NaN   -12.0    15 c    0   1.40 109.58657 33.99488  4244.51  8363.75 3.92 3.77 -59.7 -0.432    19.57 21.59 02a57450o0294c       0   40.074537
57450.367551 19.841877      NaN   -17.0    14 c    0   1.37 109.58657 33.99488  3954.95  7783.82 3.74 3.47 -69.7 -0.440    19.63 21.57 02a57450o0328c       0   39.711063
57450.386358 19.841877      NaN   -17.0    14 c    0   1.29 109.58657 33.99488  5097.24  7204.76 3.65 3.40 -81.4 -0.431    19.61 21.52 02a57450o0360c       0   39.711063
57450.401472 19.841877      NaN     2.0    14 c    0   1.46 109.58657 33.99488  4953.31  7265.04 3.64 3.41 -79.8 -0.430    19.59 21.49 02a57450o0387c       0   39.711063
57451.341249 19.631075      NaN    -5.0    17 c    0   1.32 109.58657 33.99488  4019.32  8501.16 3.85 3.75 -58.5 -0.428    19.43 21.35 02a57451o0281c       0   40.865249
57451.359523 19.631075      NaN    -9.0    17 c    0   0.94 109.58657 33.99488  3729.91  7920.60 3.92 3.58 -67.0 -0.442    19.53 21.47 02a57451o0315c       0   40.865249
57451.381129 19.696897      NaN    28.0    16 c    0   1.09 109.58657 33.99488  4886.37  7340.19 3.78 3.46 -74.6 -0.455    19.54 21.46 02a57451o0353c       0   40.459468
57451.399759 19.696897      NaN    13.0    16 c    0   1.00 109.58657 33.99488  4950.62  7266.26 3.76 3.44 -73.1 -0.442    19.52 21.41 02a57451o0387c       0   40.459468
57455.337488 19.212347      NaN    27.0    25 c    0   1.16 109.58657 33.99488  4020.71  8348.08 4.01 3.84 -72.9 -0.427    18.99 20.94 02a57455o0247c    4096   44.788040
57455.355280 19.128787      NaN  -152.0    27 c    0   0.95 109.58657 33.99488  3747.57  7768.88 3.93 3.58 -65.1 -0.448    18.95 20.83 02a57455o0281c       0   45.934394
57455.375688 18.816441      NaN  -111.0    36 c    0   0.97 109.58657 33.99488  4890.71  7186.24 3.84 3.54 -76.6 -0.440    18.55 20.38 02a57455o0316c       0   51.739429
57455.399036 18.786693      NaN  -112.0    37 c    0   1.62 109.58657 33.99488  4951.36  7266.58 3.73 3.49 -77.7 -0.444    18.39 20.12 02a57455o0355c       0   52.440142
57479.301276 19.510313      NaN   -58.0    19 c    0   1.16 109.58657 33.99488  3850.89  8666.61 3.99 3.66 -70.5 -0.477    19.31 21.10 02a57479o0131c       0   41.736897
57479.318974 19.569016      NaN   -10.0    18 c    0   1.23 109.58657 33.99488  3564.80  8087.74 3.93 3.63 -61.3 -0.470    19.30 21.09 02a57479o0166c       0   41.291265
57479.337523 19.569016      NaN   -48.0    18 c    0   1.19 109.58657 33.99488  4724.90  7504.48 3.97 3.66 -74.7 -0.467    19.27 21.08 02a57479o0201c       0   41.291265
57479.356454 19.454622      NaN    31.0    20 c    0   1.11 109.58657 33.99488  4935.33  7256.06 3.81 3.59 -68.1 -0.473    19.27 21.04 02a57479o0236c       0   42.201523
57483.311597 19.510313      NaN  -137.0    19 c    0   1.16 109.58657 33.99488  5064.40  7544.22 4.01 3.76  64.2 -0.416    19.13 21.13 02a57483o0149c    8192   41.736897
57483.327254 19.569016      NaN     1.0    18 c    0   1.10 109.58657 33.99488  4937.67  7255.94 3.95 3.63 -81.7 -0.461    19.27 21.07 02a57483o0176c    8192   41.291265
57487.267463 19.454622      NaN    40.0    20 c    0   1.23 109.58657 33.99488  4153.05  8394.02 4.00 3.75 -78.0 -0.456    19.23 20.94 02a57487o0123c       0   42.201523
57487.285121 19.510313      NaN    18.0    19 c    0   1.19 109.58657 33.99488  3879.22  7814.36 3.89 3.69 -71.0 -0.446    19.24 20.94 02a57487o0156c       0   41.736897
57487.304119 19.454622      NaN  -110.0    20 c    0   0.90 109.58657 33.99488  5017.89  7234.08 3.99 3.73 -82.7 -0.458    19.20 21.07 02a57487o0189c    4096   42.201523
57487.321657 19.510313      NaN    16.0    19 c    0   1.01 109.58657 33.99488  4938.00  7254.41 3.75 3.46 -79.4 -0.461    19.29 21.02 02a57487o0220c       0   41.736897
57489.263984 19.401649      NaN    60.0    21 c    0   1.28 109.58657 33.99488  4229.90  8241.37 3.98 3.63 -83.2 -0.472    19.17 20.79 02a57489o0110c       0   42.684523
57489.281171 19.510313      NaN   -34.0    19 c    0   1.11 109.58657 33.99488  3942.38  7660.16 3.89 3.55 -76.2 -0.463    19.17 20.79 02a57489o0143c       0   41.736897
57489.299787 19.569016      NaN   -59.0    18 c    0   1.50 109.58657 33.99488  5080.64  7080.88 3.93 3.61 -82.0 -0.462    19.13 20.85 02a57489o0176c       0   41.291265
57489.317837 19.569016      NaN    43.0    18 c    0   1.28 109.58657 33.99488  4933.18  7258.08 3.78 3.44 -82.8 -0.463    19.16 20.79 02a57489o0208c       0   41.291265
57510.240210 18.598565      NaN    51.0    44 c    0   1.06 109.58657 33.99488  4348.31  8133.16 3.88 3.60 -88.9 -0.473    18.62 19.84 02a57510o0051c       0   57.593129
57510.249380 19.351140      NaN   -69.0    22 c    0   1.39 109.58657 33.99488  4397.06  8090.74 3.95 3.67 -83.4 -0.465    19.04 20.68 02a57510o0069c       0   43.185282
57510.262726 19.454622      NaN   -11.0    20 c    0   1.26 109.58657 33.99488  4331.39  8069.81 3.83 3.57 -80.0 -0.464    19.10 20.76 02a57510o0095c       0   42.201523
57510.279913 19.302877      NaN    15.0    23 c    0   1.11 109.58657 33.99488  4410.21  8144.88 3.84 3.60 -78.8 -0.457    19.05 20.71 02a57510o0129c       0   43.703187
57510.296601 19.302877      NaN    14.0    23 c    0   1.64 109.58657 33.99488  4314.21  8160.95 3.98 3.74 -69.7 -0.449    18.96 20.64 02a57510o0162c       0   43.703187
57513.236275 17.870951      NaN   -37.0    86 c    0   1.33 109.58657 33.99488  4244.99  7166.85 3.99 3.65 -86.8 -0.518    18.01 18.70 02a57513o0041c       2   93.685477
57513.240140 18.467034      NaN    64.0    49 c    0   1.16 109.58657 33.99488  4234.09  7126.61 3.99 3.72 -85.5 -0.471    18.44 19.53 02a57513o0049c       0   61.497712
57513.247594 19.169763      NaN    41.0    26 c    0   1.23 109.58657 33.99488  4299.10  7202.06 3.87 3.60 -82.8 -0.460    18.95 20.44 02a57513o0063c       0   45.353815
57513.257121 19.351140      NaN    18.0    22 c    0   1.08 109.58657 33.99488  4316.46  7084.27 3.85 3.55 -77.0 -0.458    19.07 20.68 02a57513o0082c       0   43.185282
57513.269142 19.302877      NaN    37.0    23 c    0   1.15 109.58657 33.99488  4283.44  7140.73 3.83 3.54 -75.5 -0.456    19.07 20.69 02a57513o0106c       0   43.703187
57541.256207 17.990970      NaN   -17.0    77 c    0   1.22 109.58657 33.99488  4949.94  9968.67 4.20 4.12  -8.4 -0.420    18.22 19.32 02a57541o0067c 8388610   85.498354
57669.631879 19.696897      NaN    27.0    16 c    0   0.95 109.58657 33.99488  5275.36  2841.75 3.88 3.74  88.5 -0.386    19.47 21.31 02a57669o0752c    8192   40.459468
57669.650837 17.707197      NaN    51.0   100 c    0   0.97 109.58657 33.99488  5292.49  2882.69 3.75 3.60 -78.5 -0.415    17.89 18.20 02a57669o0778c       2  106.681622
57685.591117 19.454622      NaN    27.0    20 c    0   1.19 109.58657 33.99488  8029.58  1503.67 4.05 3.72 -81.5 -0.387    19.16 20.82 02a57685o0723c       0   42.201523
57685.607203 19.454622      NaN   -67.0    20 c    0   1.18 109.58657 33.99488  8040.31  1547.97 3.98 3.66 -82.1 -0.395    19.23 20.90 02a57685o0746c       0   42.201523
57685.622717 19.302877      NaN   -40.0    23 c    0   1.11 109.58657 33.99488  7996.20  1470.04 4.05 3.75 -83.4 -0.391    18.96 20.53 02a57685o0769c       0   43.703187
57685.639117 19.351140      NaN   -35.0    22 c    0   1.23 109.58657 33.99488  7959.91  1590.86 4.05 3.73 -82.6 -0.389    19.12 20.70 02a57685o0792c       0   43.185282
