         MJD         m       dm   uJy  duJy F  err   chi/N       RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57283.251191 19.271854      NaN    32    22 c    0    1.48 267.6491 21.27498  2008.02  3033.97 4.27 3.84 -41.8 -0.461    19.31 21.20 02a57283o0007c    8192   46.370259
57283.269057 19.302877      NaN     0    23 c    0    1.50 267.6491 21.27498   530.87  4507.65 4.88 4.13 -48.7 -0.426    19.21 21.23 02a57283o0035c    8192   46.852972
57314.199838 18.174913      NaN    -6    65 c    0    1.07 267.6491 21.27498  2021.98  3049.08 5.24 4.11 -33.5 -0.504    18.13 19.05 02a57314o0007c       2   76.754159
57314.206930 18.748255      NaN    34    36 c    0    1.37 267.6491 21.27498  2030.63  3046.53 5.07 3.83 -25.5 -0.490    18.81 20.27 02a57314o0018c       0   54.426105
57314.220830 19.051202      NaN   -46    29 c    0    4.89 267.6491 21.27498   560.74  4517.18 5.24 3.92 -42.2 -0.454    18.60 20.25 02a57314o0039c       0   50.071958
57314.222125 18.757738      NaN   -89    38 c    0    2.96 267.6491 21.27498 10260.70  4530.64 5.10 4.14  69.3 -0.463    18.71 20.27 02a57314o0041c       0   55.769176
57314.236250 19.256669      NaN   -22    24 c    0    2.59 267.6491 21.27498   557.78  4516.59 5.15 3.87 -42.6 -0.456    18.94 20.56 02a57314o0062c       0   47.351884
57314.238818 19.051202      NaN   -98    29 c    0    3.12 267.6491 21.27498 10260.26  4529.26 5.12 4.13  70.7 -0.453    18.97 20.62 02a57314o0066c       0   50.071958
57487.565732 19.766969      NaN    25    15 c    0    3.86 267.6491 21.27498  8751.57  7375.76 3.96 3.39  83.8 -0.450    19.57 21.51 02a57487o0672c       0   43.487940
57487.575255 19.696897      NaN   -50    16 c    0    3.08 267.6491 21.27498  9050.90  7959.31 4.34 3.76  83.2 -0.420    19.49 21.52 02a57487o0688c       0   43.842912
57487.599280 19.841877      NaN     1    14 c    0    4.02 267.6491 21.27498  7868.85  8557.51 3.83 3.46  86.2 -0.434    19.64 21.62 02a57487o0729c       0   43.153226
57487.620085 19.351140      NaN    51    14 c    0    4.18 267.6491 21.27498  7961.19  8543.26 3.78 3.41  82.3 -0.432    19.66 21.61 02a57487o0762c       0   43.153226
57513.488552 17.793801 0.050955   304    13 c    0   61.15 267.6491 21.27498  8651.27  8509.58 4.09 3.56  85.6 -0.436    19.65 21.74 02a57513o0529c    4096   42.839246
57513.503129 19.696897      NaN     9    16 c    0    3.29 267.6491 21.27498  8670.46  8547.08 4.09 3.55  84.9 -0.434    19.64 21.71 02a57513o0558c       0   43.842912
57513.523284 19.922338      NaN    20    13 c    0    4.67 267.6491 21.27498  8613.93  8472.03 4.00 3.52  86.4 -0.439    19.66 21.71 02a57513o0595c       0   42.839246
57513.534161 19.696897      NaN    33    14 c    0    3.46 267.6491 21.27498  8594.55  8590.32 3.99 3.51  84.8 -0.435    19.65 21.69 02a57513o0613c       0   43.153226
57513.540224 19.652575 0.347436    77    16 c    0    9.00 267.6491 21.27498  1919.70  2021.22 4.40 3.59 -20.3 -0.444    19.68 21.69 02a57513o0625c       0   43.842912
57542.450310 19.142275      NaN    62    15 c    0    5.75 267.6491 21.27498  7811.47  8361.57 3.97 3.49  84.9 -0.449    19.73 21.83 02a57542o0434c       0   43.487940
57542.460286 19.696897      NaN   -28    16 c    0    2.49 267.6491 21.27498  2733.09  2140.68 4.51 3.68 -17.9 -0.446    19.65 21.78 02a57542o0450c       0   43.842912
57542.471369 17.055032 0.027788   574    14 c    0  107.31 267.6491 21.27498  7773.36  8318.72 4.00 3.45  89.5 -0.443    19.68 21.75 02a57542o0471c    4096   43.153226
57542.488778 19.696897      NaN   -46    16 c    0    2.15 267.6491 21.27498  2804.41  2114.80 4.52 3.64 -20.0 -0.442    19.64 21.71 02a57542o0500c       0   43.842912
57542.508697 19.766969      NaN   -52    15 c    0    9.57 267.6491 21.27498  2771.62  2174.01 4.50 3.61 -19.0 -0.456    19.59 21.61 02a57542o0538c       0   43.487940
57546.439305 19.529530      NaN    35    16 c    0    4.12 267.6491 21.27498  9983.13  8734.91 4.42 3.55  80.8 -0.437    19.72 21.85 02a57546o0272c       0   43.842912
57546.464028 19.631075      NaN   -83    17 c    0    3.98 267.6491 21.27498 10287.15  1759.04 4.92 4.09  43.3 -0.453    19.65 21.83 02a57546o0315c       0   44.217654
57546.468868 19.529530      NaN    32    17 c    0    3.96 267.6491 21.27498   636.89  1859.06 4.99 3.70 -22.8 -0.440    19.71 21.87 02a57546o0325c       0   44.217654
57546.475028 19.766969      NaN    11    15 c    0   40.32 267.6491 21.27498   199.53  8699.05 4.24 3.68 -56.3 -0.414    19.73 21.82 02a57546o0337c       0   43.487940
57546.488568 19.334813      NaN    43    17 c    0    4.13 267.6491 21.27498   652.50  1744.96 4.82 3.66 -27.4 -0.447    19.74 21.88 02a57546o0362c       0   44.217654
57546.490503 19.631075      NaN   -71    17 c    0    4.05 267.6491 21.27498 10381.92  1732.91 4.74 3.78  39.4 -0.461    19.72 21.85 02a57546o0366c       0   44.217654
57546.491474 19.226921      NaN    59    14 c    0    4.02 267.6491 21.27498   598.19  1805.72 4.81 3.66 -28.3 -0.438    19.74 21.88 02a57546o0368c       0   43.153226
57546.510233 19.696897      NaN  -369    16 c    0   69.82 267.6491 21.27498 10327.58  1792.49 4.57 3.77  43.2 -0.470    19.74 21.86 02a57546o0404c    4096   43.842912
57550.412627 19.766969      NaN   -25    15 c    0    3.84 267.6491 21.27498  8768.68  7931.66 4.17 3.45  81.6 -0.455    19.59 21.59 02a57550o0266c       0   43.487940
57550.419423 19.766969      NaN   -25    15 c    0    3.11 267.6491 21.27498  8789.72  7972.13 4.22 3.43  83.9 -0.450    19.65 21.71 02a57550o0278c       0   43.487940
57550.438666 19.631075      NaN    22    17 c    0    4.02 267.6491 21.27498  8732.24  7892.28 4.14 3.45  87.4 -0.450    19.69 21.79 02a57550o0314c       0   44.217654
57550.446203 18.438271 0.106445   180    15 c    0   32.33 267.6491 21.27498  8711.25  8011.25 4.19 3.55  83.2 -0.436    19.68 21.79 02a57550o0328c    4096   43.487940
57550.454741 19.766969      NaN     0    15 c    0    4.89 267.6491 21.27498  8746.64  7952.62 4.16 3.44  84.5 -0.447    19.68 21.77 02a57550o0344c       0   43.487940
57606.339502 19.569016      NaN     5    18 c    0    2.87 267.6491 21.27498  1805.67  1805.74 7.79 4.03  -4.8 -0.354    19.40 21.97 02a57606o0094c       0   44.611668
