 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD         uJy        duJy       stdev       x2         m       dm
58092.5      0      4          0       0 58092.301302    4.250000   18.480559   38.256808 1.071340 18.936964      NaN
58096.5      0      4          0       0 58096.313297  -10.777155   15.726049   13.841363 0.189882 19.161026      NaN
58098.5      0      8          0       0 58098.309614   -7.937690   12.398138   14.525224 0.173243 19.419184      NaN
58100.5      0      4          0       0 58100.308587   -5.404413   15.198682   28.112868 0.860014 19.198060      NaN
58112.5      0      4          0       0 58112.262552   -5.297282   17.780534   16.500000 0.213025 19.027713      NaN
58116.5      0      4          0       0 58116.292015   26.286164   19.499165   47.307505 1.512670 18.668356      NaN
58120.5      0      4          0       0 58120.280136   33.284116   20.830720   23.480488 0.314461 18.554735      NaN
58122.5      0      4          0       0 58122.292723    3.719934   52.059914  132.318744 1.241552 17.845910      NaN
58124.5      0      4          0       0 58124.287043    0.722541   15.123497   23.416518 0.598259 19.193119      NaN
58128.5      0      8          0       0 58128.274886   -9.543528   11.896881   19.131126 0.317284 19.463992      NaN
58130.5      0      4          0       0 58130.278061    1.498382   15.106757   25.104780 0.657848 19.183320      NaN
58132.5      0      8          0       0 58132.270547    0.079624   11.863549   41.469223 1.631442 19.465582      NaN
58136.5      0      4          0       0 58136.274150    7.886401   15.652695   18.734994 0.382149 19.061863      NaN
58148.5      0      2          0    8192 58148.265360  -85.994244   40.478232   11.313708 0.038904 18.134521      NaN
58156.5      0      1          0    8192 58156.246988  113.500000   38.498367         NaN      NaN 17.685725      NaN
58160.5      0      3          0       0 58160.230429    0.457334   24.114395   20.074860 0.239054 18.692774      NaN
58295.5      0      3          1       0 58295.602036   13.154104   23.978739   34.486712 0.648903 18.589981      NaN
58298.5      0      4          0       0 58298.575221    7.086571   17.410521   26.600439 0.522804 18.965574      NaN
58323.5      0      3          0       0 58323.578526   -0.801936   21.930884   25.696952 0.455789 18.799935      NaN
58324.5      0      4          0       0 58324.610849  -14.239570   18.625533  209.219781 2.630398 18.977303      NaN
58325.5      0      4          0       0 58325.545072    9.653803   15.794605   30.181396 1.015591 19.031087      NaN
58326.5      0      3          1       0 58326.559571    3.999821   28.738749   34.297716 0.417862 18.476596      NaN
58327.5      0      4          0       0 58327.606129   26.183512   22.168710   21.847959 0.249890 18.557984      NaN
