         MJD         m       dm      uJy   duJy F  err   chi/N        RA      Dec        x        y   maj   min   phi  apfit  mag5sig   Sky            Obs    Mask      duJy_new
57233.275680 17.927085      NaN     73.0     55 o    0    0.80 234.49004 56.27164  6507.04  2641.22  3.65  3.38 -84.8 -0.474    18.48 19.43 02a57233o0024o    8192     57.938468
57233.319711 18.878500      NaN    -67.0     34 o    0    0.98 234.49004 56.27164  4984.19  4099.42  3.63  3.35 -79.0 -0.441    18.49 19.44 02a57233o0063o    8192     38.572868
57234.316739 18.079051      NaN     77.0     43 o    0    1.09 234.49004 56.27164  4990.21  4100.86  3.89  3.64 -79.4 -0.428    18.24 19.11 02a57234o0022o    8192     46.699744
57386.630024 18.582238      NaN     46.0     27 o    0    1.01 234.49004 56.27164  4817.07  6939.70  3.61  3.13 -78.7 -0.483    18.79 20.08 02a57386o0692o    8192     32.570940
57414.657097 19.351140      NaN    -17.0     22 o    0    1.81 234.49004 56.27164  4440.65  7815.77  3.43  3.23 -84.2 -0.468    18.76 19.89 02a57414o0733o    8192     28.563370
57414.673429 17.963129      NaN    -97.0     79 o    0    1.26 234.49004 56.27164  4744.63  8407.43  3.43  3.25 -85.9 -0.482    18.23 18.86 02a57414o0759o       2     81.073215
57418.647981 19.241693      NaN      6.0     20 o    0    0.96 234.49004 56.27164  4619.77  7841.01  3.65  3.49 -87.6 -0.434    19.08 20.65 02a57418o0712o    8192     27.053024
57418.664566 19.351140      NaN     -9.0     22 o    0    1.03 234.49004 56.27164  4934.27  8432.65  3.51  3.39  87.1 -0.453    19.00 20.44 02a57418o0738o    8192     28.563370
57418.681356 15.347225      NaN   -435.0    879 o    0    1.01 234.49004 56.27164  3708.86  9009.22  3.80  3.64 -86.4 -0.441    17.11 16.83 02a57418o0765o       2    879.188755
57419.652424 19.569016      NaN    -17.0     18 o    0    0.88 234.49004 56.27164  4284.46  7279.48  3.58  3.33 -82.0 -0.442    19.28 20.96 02a57419o0690o    8192     25.609883
57419.669798 18.900000      NaN     18.0     25 o    0    1.00 234.49004 56.27164  4590.73  7868.82  3.46  3.29 -86.3 -0.460    18.86 20.12 02a57419o0717o    8192     30.933253
57440.571386 18.598565      NaN    -36.0     44 o    0    1.17 234.49004 56.27164  4693.93  7273.25  3.53  3.17 -77.0 -0.493    18.27 18.98 02a57440o0648o       0     47.622118
57440.578725 18.534680      NaN      7.0     42 o    0    1.02 234.49004 56.27164  5003.59  7858.80  3.57  3.21 -79.5 -0.498    18.27 19.00 02a57440o0662o       0     45.780630
57440.592936 18.362890      NaN      1.0     52 o    0    1.06 234.49004 56.27164  3795.52  8431.38  3.63  3.39 -69.5 -0.481    18.29 19.05 02a57440o0689o       0     55.098694
57440.607320 18.068904      NaN     58.0     50 o    0    1.08 234.49004 56.27164  3564.35  8704.06  3.70  3.42 -67.2 -0.469    18.33 19.12 02a57440o0716o       0     53.215281
57441.558507 18.356290      NaN    -67.0     55 o    0    0.84 234.49004 56.27164  4468.67  7673.41  3.55  3.25 -74.9 -0.483    18.22 18.94 02a57441o0634o       0     57.938468
57441.577773 18.280067      NaN    -63.0     59 o    0    0.98 234.49004 56.27164  4764.86  8244.84  3.80  3.52 -74.1 -0.465    18.18 19.00 02a57441o0671o       0     61.748410
57441.586084 18.191747      NaN    -10.0     64 o    0    1.12 234.49004 56.27164  3553.59  8814.18  3.90  3.61 -63.2 -0.449    18.20 19.02 02a57441o0687o       2     66.542213
57441.600132 18.356290      NaN    -63.0     55 o    0    1.10 234.49004 56.27164  3558.23  8700.52  3.64  3.36 -66.4 -0.468    18.28 19.04 02a57441o0714o       0     57.938468
57466.521012 19.169763      NaN    -37.0     26 o    0    1.09 234.49004 56.27164  4554.52  7348.05  3.57  3.17 -71.8 -0.502    18.78 20.04 02a57466o0623o       0     31.746907
57466.527310 18.489118      NaN     28.0     37 o    0    0.57 234.49004 56.27164  4862.37  7926.71  3.60  3.20 -74.4 -0.495    18.79 20.06 02a57466o0636o       0     41.241558
57466.545649 18.806434      NaN     27.0     25 o    0    1.06 234.49004 56.27164  3659.66  8496.91  3.76  3.39 -66.9 -0.463    18.83 20.15 02a57466o0673o       0     30.933253
57466.563758 19.302877      NaN    -85.0     23 o    0    1.30 234.49004 56.27164  3552.35  8697.81  3.69  3.37 -64.9 -0.470    18.91 20.28 02a57466o0710o       0     29.340520
57470.490810 18.063866      NaN    -37.0     72 o    0    1.12 234.49004 56.27164  4239.05  7357.13  3.73  3.33 -73.4 -0.485    17.91 18.66 02a57470o0573o 8388610     74.268877
57470.497599 15.547899      NaN    409.0    592 o    0    1.32 234.49004 56.27164  4538.59  7946.04  3.81  3.36 -71.3 -0.517    17.02 17.61 02a57470o0587o 8388610    592.280226
57470.504982 17.456271      NaN    -95.0    126 o    0    1.08 234.49004 56.27164  3321.50  8490.19  3.71  3.38 -69.5 -0.483    17.82 18.38 02a57470o0602o 8388610    127.310118
57474.531492 19.212347      NaN    -21.0     25 o    0    1.33 234.49004 56.27164  4507.16  7568.08  3.59  3.15 -76.0 -0.495    18.71 19.91 02a57474o0571o       0     30.933253
57474.555681 18.806434      NaN     18.0     28 o    0    1.32 234.49004 56.27164  4812.45  8158.55  3.62  3.26 -77.9 -0.489    18.70 19.91 02a57474o0612o       0     33.404582
57474.576435 18.944322      NaN    -26.0     32 o    0    1.00 234.49004 56.27164  3605.08  8725.72  3.62  3.36 -67.3 -0.472    18.74 19.95 02a57474o0648o       0     36.822088
57474.589694 18.878500      NaN    -44.0     34 o    0    1.00 234.49004 56.27164  7061.95  1982.82  4.27  3.36  10.0 -0.530    18.70 19.95 02a57474o0671o       0     38.572868
57492.442694 18.806434      NaN     42.0     20 o    0    1.19 234.49004 56.27164  4570.60  7625.86  3.56  3.29 -76.6 -0.463    19.10 20.57 02a57492o0458o       0     27.053024
57492.451986 19.115465      NaN      9.0     22 o    0    0.95 234.49004 56.27164  4871.74  8212.43  3.77  3.52 -79.6 -0.446    19.05 20.61 02a57492o0477o       0     28.563370
57492.473827 18.967180      NaN     21.0     22 o    0    0.97 234.49004 56.27164  3655.09  8785.14  3.58  3.43 -67.3 -0.438    19.27 20.91 02a57492o0522o       0     28.563370
57492.489030 19.367717      NaN     -2.0     20 o    0    1.02 234.49004 56.27164  3554.49  8693.17  3.68  3.54 -67.5 -0.446    19.28 20.99 02a57492o0553o       0     27.053024
57523.394566 18.757738      NaN     26.0     27 o    0    1.05 234.49004 56.27164  2382.26  7175.44  3.91  3.44 -63.3 -0.461    18.84 20.18 02a57523o0298o       0     32.570940
57523.414906 18.776955      NaN     21.0     28 o    0    1.07 234.49004 56.27164  2394.40  7211.86  3.96  3.52 -63.6 -0.453    18.81 20.15 02a57523o0336o       0     33.404582
57523.426262 18.816441      NaN     20.0     27 o    0    1.12 234.49004 56.27164  2343.07  7125.44  3.98  3.51 -59.9 -0.457    18.83 20.18 02a57523o0357o       0     32.570940
57523.442212 19.256669      NaN    -41.0     24 o    0    1.50 234.49004 56.27164  2309.26  7234.58  3.85  3.44 -65.5 -0.472    18.87 20.20 02a57523o0388o       0     30.130817
57523.450001 18.944322      NaN     14.0     25 o    0    1.34 234.49004 56.27164  2347.70  7177.82  3.90  3.45 -62.3 -0.472    18.86 20.21 02a57523o0404o       0     30.933253
57527.402360 18.786693      NaN     -7.0     37 o    0    1.06 234.49004 56.27164  4177.28  7018.06  4.06  3.64 -70.8 -0.471    18.41 19.49 02a57527o0192o       0     41.241558
57527.411201 18.542463      NaN     18.0     38 o    0    1.21 234.49004 56.27164  4186.21  7054.05  4.13  3.77 -66.7 -0.451    18.40 19.51 02a57527o0208o       0     42.141027
57527.431818 18.738855      NaN      4.0     35 o    0    1.27 234.49004 56.27164  4123.08  6965.86  4.00  3.61 -66.8 -0.476    18.42 19.50 02a57527o0246o       0     39.457143
57527.435687 18.232071      NaN     70.0     36 o    0    1.19 234.49004 56.27164  4100.93  7081.12  3.97  3.57 -68.9 -0.482    18.43 19.49 02a57527o0254o       0     40.346823
57527.448798 18.816441      NaN    -19.0     36 o    0    1.02 234.49004 56.27164  6337.56  3503.68  4.16  3.77   3.5 -0.458    18.41 19.51 02a57527o0278o       0     40.346823
57535.377794 18.748255      NaN      0.0     36 o    0    0.88 234.49004 56.27164  4419.06  8192.82  3.67  3.42 -74.0 -0.463    18.65 20.23 02a57535o0308o       0     40.346823
57535.394066 19.212347      NaN    -15.0     25 o    0    1.00 234.49004 56.27164  4440.76  8232.05  3.90  3.58 -57.1 -0.443    18.96 20.57 02a57535o0340o       0     30.933253
57535.403978 18.944322      NaN     23.0     22 o    0    1.10 234.49004 56.27164  4377.35  8149.00  3.64  3.45 -79.0 -0.472    19.05 20.58 02a57535o0360o       0     28.563370
57535.407365 19.212347      NaN    -13.0     25 o    0    0.92 234.49004 56.27164  4365.22  8266.87  3.73  3.53 -78.1 -0.454    18.98 20.51 02a57535o0367o       0     30.933253
57535.422285 19.002397      NaN      9.0     25 o    0    1.06 234.49004 56.27164  6116.61  2303.41  4.08  3.45   8.0 -0.502    18.93 20.34 02a57535o0396o       0     30.933253
57568.351162 19.241693      NaN      6.0     20 o    0    1.19 234.49004 56.27164  6340.05  2016.13  4.13  3.62   9.0 -0.486    19.19 20.93 02a57568o0236o       0     27.053024
57568.369273 19.302877      NaN     -7.0     23 o    0    0.74 234.49004 56.27164  6320.76  1976.83  4.06  3.57  10.0 -0.498    19.20 20.93 02a57568o0273o       0     29.340520
57568.379538 19.302877      NaN    -19.0     23 o    0    0.89 234.49004 56.27164  6375.79  2051.91  4.09  3.58   9.3 -0.488    19.21 20.95 02a57568o0294o       0     29.340520
57568.380507 19.401649      NaN    -19.0     21 o    0    0.96 234.49004 56.27164  6397.56  1935.71  4.06  3.57  11.8 -0.496    19.22 20.96 02a57568o0296o       0     27.800470
57568.401525 19.367717      NaN     -2.0     20 o    0    1.02 234.49004 56.27164  6356.06  1990.77  4.17  3.64   6.5 -0.473    19.18 20.92 02a57568o0339o       0     27.053024
57597.337494 19.351140      NaN    -12.0     22 o    0    1.02 234.49004 56.27164  4583.55  2566.89  4.26  3.87  -8.2 -0.416    19.09 20.86 02a57597o0108o       0     28.563370
57597.356116 19.287255      NaN      3.0     20 o    0    1.05 234.49004 56.27164  4605.05  2447.92  4.22  3.71  -6.8 -0.427    19.11 20.91 02a57597o0146o       0     27.053024
57597.360468 19.038793      NaN     18.0     21 o    0    1.00 234.49004 56.27164  4562.05  2505.35  4.38  3.93 -10.0 -0.405    19.10 20.95 02a57597o0155o       0     27.800470
57598.307915 19.076453      NaN      6.0     24 o    0    0.90 234.49004 56.27164  7687.79  3052.69  4.53  4.33  27.8 -0.416    19.11 21.06 02a57598o0147o       0     30.130817
57598.316726 19.256669      NaN    -42.0     24 o    0    0.83 234.49004 56.27164  7666.64  3010.73  4.67  4.46  32.5 -0.398    19.10 21.06 02a57598o0165o       0     30.130817
57598.334321 19.384550      NaN     -3.0     20 o    0    1.01 234.49004 56.27164  7732.95  3088.76  4.01  3.83  45.6 -0.461    19.22 20.99 02a57598o0201o       0     27.053024
57598.338663 18.826541      NaN     28.0     24 o    0    0.88 234.49004 56.27164  7755.20  2971.67  4.39  4.15  31.9 -0.430    19.13 20.97 02a57598o0210o       0     30.130817
57598.352480 19.287255      NaN     -3.0     22 o    0    1.08 234.49004 56.27164  7710.74  3028.21  4.25  4.04  37.0 -0.444    19.17 20.98 02a57598o0238o       0     28.563370
57613.297995 18.900000      NaN     15.0     26 o    0    1.14 234.49004 56.27164  6435.48  2812.19  3.49  3.28 -83.3 -0.469    18.78 20.40 02a57613o0133o       0     31.746907
57613.305872 18.990530      NaN      7.0     26 o    0    0.98 234.49004 56.27164  5243.12  2762.52  3.48  3.40 -41.2 -0.512    18.77 20.38 02a57613o0148o       0     31.746907
57613.324065 19.051202      NaN    -53.0     29 o    0    0.95 234.49004 56.27164  5305.47  2835.42  3.54  3.41 -21.9 -0.511    18.71 20.30 02a57613o0183o       0     34.247133
57613.332856 18.649074      NaN     38.0     27 o    0    1.30 234.49004 56.27164  5316.45  2716.46  3.68  3.48 -11.5 -0.497    18.68 20.26 02a57613o0200o       0     32.570940
57613.341151 18.534680      NaN     46.0     29 o    0    1.38 234.49004 56.27164  5283.14  2774.46  3.67  3.49 -11.0 -0.497    18.64 20.19 02a57613o0216o       0     34.247133
57617.291598 18.526952      NaN    -18.0     47 o    0    0.81 234.49004 56.27164  4617.45  2503.75  3.90  3.05  -5.8 -0.539    18.35 19.68 02a57617o0133o       0     50.407005
57617.305199 18.243872      NaN     38.0     46 o    0    0.78 234.49004 56.27164  4593.25  2462.58  4.02  3.17  -4.8 -0.519    18.32 19.67 02a57617o0159o       0     49.475915
57617.310916 18.343209      NaN     34.0     42 o    0    0.89 234.49004 56.27164  4647.38  2538.61  3.89  3.08  -4.2 -0.528    18.30 19.63 02a57617o0170o       0     45.780630
57617.320787 18.186107      NaN     42.0     48 o    0    0.99 234.49004 56.27164  4666.16  2421.97  4.05  3.13  -4.4 -0.521    18.29 19.60 02a57617o0189o       0     51.340687
57617.332207 18.220396      NaN     33.0     49 o    0    0.85 234.49004 56.27164  4625.34  2477.06  3.96  3.09  -5.0 -0.519    18.25 19.54 02a57617o0211o       0     52.276822
57620.302016 18.878500      NaN    -40.0     34 o    0    1.11 234.49004 56.27164  4815.12  2945.41  3.66  3.35 -10.4 -0.538    18.50 19.96 02a57620o0132o       0     38.572868
57620.311688 18.526952      NaN     23.0     37 o    0    1.12 234.49004 56.27164  4794.53  2902.37  4.05  3.64 -12.4 -0.503    18.41 19.95 02a57620o0149o       0     41.241558
57620.320252 18.504094      NaN     26.0     37 o    0    1.17 234.49004 56.27164  4855.53  2983.58  3.92  3.52 -13.4 -0.526    18.39 19.87 02a57620o0165o       0     41.241558
57620.330118 18.606822      NaN      7.0     39 o    0    1.27 234.49004 56.27164  4877.74  2861.02  4.22  3.73 -11.6 -0.490    18.32 19.83 02a57620o0184o       0     43.044932
57620.333847 18.169360      NaN     63.0     42 o    0    1.08 234.49004 56.27164  4833.61  2922.39  4.13  3.64 -15.8 -0.511    18.32 19.80 02a57620o0191o       0     45.780630
57621.295842 18.438271      NaN    -27.0     51 o    0    0.87 234.49004 56.27164  5481.36  2090.95  3.78  3.66   4.2 -0.468    18.31 20.04 02a57621o0127o       0     54.155943
57621.308198 18.125925      NaN     29.0     56 o    0    0.99 234.49004 56.27164  5468.75  2049.98  4.73  4.47  17.8 -0.356    18.00 19.85 02a57621o0148o       0     58.888591
57621.317252 18.180496      NaN     16.0     57 o    0    1.00 234.49004 56.27164  5522.37  2125.16  4.46  4.26  24.6 -0.388    17.99 19.73 02a57621o0164o       0     59.840339
57621.326041 18.417189      NaN    -16.0     52 o    0    1.27 234.49004 56.27164  5543.25  2008.80  4.17  3.97  17.1 -0.428    18.02 19.63 02a57621o0179o       0     55.098694
