         MJD         m       dm    uJy  duJy F  err  chi/N        RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57248.465050 19.038793 0.234420     90    19 c    0   1.39 350.84907 10.68555  2618.29  8725.10 4.03 3.68 -62.6 -0.425    19.56 21.69 02a57248o0298c    8192    25.215544
57248.472666 19.026525 0.207388     91    17 c    0   1.82 350.84907 10.68555  2618.43  8728.44 4.03 3.68 -62.2 -0.423    19.58 21.72 02a57248o0307c    8192    23.744971
57248.511867 16.375311      NaN   -208   341 c    0   0.98 350.84907 10.68555  4068.58  7284.40 3.81 3.52 -73.4 -0.680    19.59 21.72 02a57248o0355c       2   341.402729
57248.547225 15.168797      NaN  -3508  1036 c    0   1.24 350.84907 10.68555  6507.24  3317.61 3.85 3.83 -16.8 -0.793    18.42 20.51 02a57248o0400c       2  1036.132628
57250.472944 17.422338      NaN     98    98 c    0   1.61 350.84907 10.68555  2578.48  8732.90 4.09 3.76 -63.2 -0.420    17.73 19.74 02a57250o0284c 8388610    99.392272
57250.511817 13.931505      NaN   -759  3238 c    0   0.83 350.84907 10.68555  4028.52  7289.39 4.21 2.69 -33.0 -0.560    16.61 18.52 02a57250o0332c 8388610  3238.042437
57275.266452 19.510313      NaN    -40    19 c    0   1.26 350.84907 10.68555  7190.97  8850.97 4.25 3.81 -81.3 -0.428    19.28 21.17 02a57275o0001c       0    25.215544
57275.273823 19.302877      NaN     -9    23 c    0   1.01 350.84907 10.68555  7188.56  8853.66 4.26 3.75 -78.9 -0.431    19.33 21.21 02a57275o0008c       0    28.351784
57275.278449 19.351140 0.361912     68    22 c    0   0.94 350.84907 10.68555  2144.42  1311.54 4.60 3.67 -18.6 -0.474    19.27 21.16 02a57275o0012c       0    27.546754
57275.281888 19.454622      NaN    -15    20 c    0   1.38 350.84907 10.68555  8655.16  7393.60 4.46 3.73 -88.6 -0.434    19.33 21.26 02a57275o0018c       0    25.977368
57275.292367 19.155932      NaN     24    19 c    0   1.47 350.84907 10.68555  8652.61  7394.76 4.35 3.54 -87.8 -0.433    19.40 21.30 02a57275o0033c       0    25.215544
57277.394726 18.900000      NaN     51    17 c    0   0.97 350.84907 10.68555  7209.16  8877.19 4.23 3.74 -74.5 -0.427    19.56 21.58 02a57277o0269c       0    23.744971
57277.399745 19.766969      NaN    -27    15 c    0   1.73 350.84907 10.68555  2160.45  1330.26 4.53 3.65 -22.0 -0.454    19.54 21.53 02a57277o0275c       0    22.356736
57277.423465 19.197966      NaN     36    14 c    0   1.50 350.84907 10.68555  7203.83  8885.91 4.18 3.65 -80.5 -0.421    19.60 21.60 02a57277o0306c       0    21.698471
57277.424201 19.766969      NaN    -46    15 c    0   1.82 350.84907 10.68555  2161.64  1336.71 4.50 3.57 -22.3 -0.455    19.57 21.56 02a57277o0307c       0    22.356736
57277.439844 19.652575      NaN     10    14 c    0   1.40 350.84907 10.68555  1907.43  3183.78 4.17 3.53 -31.5 -0.431    19.60 21.58 02a57277o0328c       0    21.698471
57313.356172 19.351140      NaN    -29    22 c    0   0.88 350.84907 10.68555  7986.22  1880.77 4.94 4.10  15.6 -0.453    19.43 21.36 02a57313o0151c       0    27.546754
57313.387444 19.401649      NaN     -5    21 c    0   1.06 350.84907 10.68555  7980.38  1885.79 5.20 4.27  15.0 -0.427    19.40 21.38 02a57313o0194c       0    26.754881
57313.405782 19.631075      NaN    -42    17 c    0   1.12 350.84907 10.68555  6519.45  3334.50 4.46 4.03  -7.7 -0.423    19.40 21.34 02a57313o0221c       0    23.744971
57313.435492 19.569016      NaN    -15    18 c    0   1.30 350.84907 10.68555  6518.57  3336.92 4.51 4.05  -6.5 -0.418    19.36 21.30 02a57313o0263c       0    24.470873
57334.335838 19.569016      NaN     -9    18 c    0   1.22 350.84907 10.68555  8099.59  1910.02 4.73 4.35   6.4 -0.367    19.30 21.32 02a57334o0230c       0    24.470873
