 MJDbin  Nclip  Ngood  Nexcluded    Mask          MJD          uJy       duJy       stdev       x2         m       dm
57408.5      0      2          0    8192 57408.647737   -40.172092  47.046773  113.137085 2.890684 18.525872      NaN
57409.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57410.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57411.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57412.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57413.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57414.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57415.5      1      3          0       0 57415.614249  -334.509252  45.057071   45.530210 0.329085 18.572789      NaN
57416.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57417.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57418.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57419.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57420.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57421.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57422.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57423.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57424.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57425.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57426.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57427.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57428.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57429.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57430.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57431.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57432.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57433.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57434.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57435.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57436.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57437.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57438.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57439.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57440.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57441.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57442.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57443.5      0      4          0       0 57443.517508   -48.208301  41.613650  114.767519 1.836156 18.659107      NaN
57444.5      0      2          0    8192 57444.596288  -121.000526  53.666307   92.630988 1.488244 18.382943      NaN
57445.5      0      4          0 8388608 57445.589255  -166.593666  34.935427  152.543710 4.766150 18.849032      NaN
57446.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57447.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57448.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57449.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57450.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57451.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57452.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57453.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57454.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57455.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57456.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57457.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57458.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57459.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57460.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57461.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57462.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57463.5      1      3          0       0 57463.470990   -39.083505  38.445041   68.515205 1.060489 18.745096      NaN
57464.5      0      5          0       0 57464.527874  -100.974773  29.772683   97.387371 2.129051 19.022652      NaN
57465.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57466.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57467.5      0      4          0       0 57467.453718  -114.151970  39.825150   47.053161 0.347853 18.706803      NaN
57468.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57469.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57470.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57471.5      0      4          4 8388608 57471.449427  -159.562197  49.217465   41.996032 0.189890 18.476899      NaN
57472.5      0      2          1    8192 57472.530599  -132.044035  57.825556   80.610173 0.971588 18.301897      NaN
57473.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57474.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57475.5      0      3          1       0 57475.448033   -36.967831  40.658820   69.778220 0.959630 18.684310      NaN
57476.5      1      4          0       0 57476.499680   -23.417472  34.323170   82.526763 1.413733 18.868228      NaN
57477.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57478.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57479.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57480.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57481.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57482.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57483.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57484.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57485.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57486.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57487.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57488.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57489.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57490.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57491.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57492.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57493.5      0      5          0       0 57493.418382   -48.876260  31.915212   69.618245 0.946940 18.947203      NaN
57494.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57495.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57496.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57497.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57498.5      0      4          4 8388608 57498.360943    40.977402  47.576192   67.628889 0.502204 18.239692      NaN
57499.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57500.5      1      3          4 8388608 57500.473037   -18.894327  58.922774  224.006696 4.613801 18.281489      NaN
57501.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57502.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57503.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57504.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57505.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57506.5      0      5          0       0 57506.424815  -437.689326  30.804662   29.020682 0.180384 18.985656      NaN
57507.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57508.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57509.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57510.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57511.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57512.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57513.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57514.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57515.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57516.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57517.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57518.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57519.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57520.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57521.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57522.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57523.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57524.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57525.5      0      5          5       0 57525.336365    48.235623  35.283879   60.693492 0.578437 18.430583      NaN
57526.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57527.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57528.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57529.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57530.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57531.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57532.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57533.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57534.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57535.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57536.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57537.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57538.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57539.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57540.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57541.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57542.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57543.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57544.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57545.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57546.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57547.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57548.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57549.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57550.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57551.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57552.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57553.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57554.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57555.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57556.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57557.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57558.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57559.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57560.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
57561.5      0      0          0 8388608          NaN          NaN        NaN         NaN      NaN       NaN      NaN
