         MJD         m       dm     uJy  duJy F  err   chi/N        RA      Dec        x        y   maj  min   phi  apfit  mag5sig   Sky            Obs    Mask    duJy_new
57408.632860 19.169763      NaN  -121.5    26 o    0    1.47 175.03915 15.32737   755.39 10062.36  3.88 3.73 -70.0 -0.453    19.16 20.70 02a57408o0696o    8192   67.093351
57408.662129 19.302877      NaN    38.5    23 o    0    1.53 175.03915 15.32737 10442.99 10100.47  3.63 3.37 -59.1 -0.418    19.16 20.64 02a57408o0742o    8192   65.988770
57415.585267 18.574166      NaN  -373.5    45 o    0    1.09 175.03915 15.32737  4402.75  1603.93  4.27 3.74 -15.8 -0.448    18.41 19.36 02a57415o0618o       0   76.488677
57415.588951 18.623526      NaN   -12.5    43 o    0    1.20 175.03915 15.32737  4104.42  1020.35  4.51 3.73 -14.0 -0.462    18.42 19.39 02a57415o0624o    4096   75.329395
57415.619206 18.396507      NaN  -283.5    53 o    0    1.18 175.03915 15.32737  5272.27   435.07  4.67 3.80  -7.9 -0.503    18.40 19.39 02a57415o0668o       0   81.452549
57415.638859 18.574166      NaN  -340.5    45 o    0    1.74 175.03915 15.32737  5539.69   360.81  4.49 3.60  -5.0 -0.497    18.44 19.37 02a57415o0697o       0   76.488677
57443.483491 18.438271      NaN    11.5    51 o    0    1.90 175.03915 15.32737  6172.46  8983.33  3.62 3.32 -83.3 -0.485    18.31 19.09 02a57443o0512o       0   80.165564
57443.509135 18.317510      NaN    16.5    57 o    0    1.00 175.03915 15.32737  4194.32  1131.47  4.41 3.26  -9.5 -0.516    18.32 19.08 02a57443o0550o       0   84.110152
57443.536026 18.336727      NaN   -10.5    56 o    0    1.28 175.03915 15.32737  5371.38   551.49  4.73 3.05  -0.7 -0.482    18.32 19.05 02a57443o0588o       0   83.435710
57443.545396 18.280067      NaN  -222.5    59 o    0    1.26 175.03915 15.32737  5501.15   335.09  4.80 2.97  -0.4 -0.509    18.31 19.03 02a57443o0599o       0   85.478171
57444.585693 18.649074      NaN   -57.5    42 o    0    1.29 175.03915 15.32737   965.10  9887.84  3.95 3.75 -35.2 -0.427    18.39 19.28 02a57444o0285o    8192   74.763077
57444.607550 18.550302      NaN  -188.5    46 o    0    1.15 175.03915 15.32737   705.55 10051.16  3.99 3.84 -38.8 -0.438    18.34 19.21 02a57444o0300o    8192   77.081241
57445.571388 18.910912      NaN  -349.5    33 o    0    1.48 175.03915 15.32737   425.70 10171.48  3.82 3.59 -15.3 -0.475    18.74 19.81 02a57445o0712o 8388608   70.103621
