         MJD         m       dm      uJy   duJy F  err  chi/N      RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask      duJy_new
57315.246865 18.978793      NaN      -22     31 c    0   1.01 288.607 41.66924  5265.00  3758.66 4.28 3.90 -24.0 -0.500    18.81 20.32 02a57315o0095c       0     34.349908
57315.265739 18.574166      NaN      -26     45 c    0   1.09 288.607 41.66924  5264.20  3758.14 4.30 3.83 -17.6 -0.518    18.30 19.72 02a57315o0124c       0     47.369992
57315.284764 18.816441      NaN      -65     36 c    0   1.00 288.607 41.66924  3788.57  5215.56 4.40 3.84 -47.3 -0.508    18.54 19.99 02a57315o0153c       0     38.921924
57315.305438 18.910912      NaN      -32     33 c    0   1.05 288.607 41.66924  3785.80  5218.59 4.47 3.87 -48.2 -0.492    18.61 20.11 02a57315o0184c       0     36.165123
57316.235279 18.806434      NaN       26     27 c    0   0.87 288.607 41.66924  5258.64  3753.07 4.16 3.82 -26.4 -0.512    18.92 20.37 02a57316o0069c       0     30.788247
57316.254246 19.089302      NaN       -4     28 c    0   0.85 288.607 41.66924  5251.25  3753.47 4.37 3.91 -17.8 -0.502    18.87 20.35 02a57316o0076c       0     31.668851
57316.269820 19.051202      NaN      -32     29 c    0   0.94 288.607 41.66924  3778.05  5213.37 4.36 3.83 -49.0 -0.504    18.83 20.32 02a57316o0100c       0     32.556354
57316.288363 18.955691      NaN        6     29 c    0   0.98 288.607 41.66924  3778.89  5213.02 4.33 3.71 -48.4 -0.508    18.80 20.26 02a57316o0128c       0     32.556354
57458.657823 18.452558      NaN       26     41 c    0   1.05 288.607 41.66924  5671.69  6539.12 3.74 3.65 -71.5 -0.430    18.40 19.33 02a57458o0879c    8192     43.588028
57488.570464 19.569016      NaN       -2     18 c    0   0.74 288.607 41.66924  5828.31  6628.59 3.64 3.40 -80.1 -0.446    19.46 21.31 02a57488o0653c       0     23.300561
57488.584753 19.766969      NaN      -14     15 c    0   0.97 288.607 41.66924  6129.74  7213.78 3.67 3.36 -86.2 -0.447    19.50 21.38 02a57488o0682c       0     21.069318
57488.599029 19.696897      NaN      -17     16 c    0   1.14 288.607 41.66924  4943.89  7800.89 3.66 3.44 -72.6 -0.450    19.50 21.39 02a57488o0711c       0     21.792571
57488.611908 19.631075      NaN      -15     17 c    0   0.99 288.607 41.66924  4684.29  7803.63 3.61 3.40 -76.2 -0.456    19.55 21.46 02a57488o0737c       0     22.536995
57515.490699 19.766969      NaN      -24     15 c    0   0.96 288.607 41.66924  4818.89  5255.86 3.68 3.50 -51.5 -0.441    19.49 21.42 02a57515o0556c       0     21.069318
57515.502144 18.878500      NaN      -37     34 c    0   0.81 288.607 41.66924  4833.57  5296.46 3.77 3.59 -48.6 -0.439    18.73 20.56 02a57515o0578c       0     37.079862
57515.513456 17.963129      NaN      -97     79 c    0   0.93 288.607 41.66924  4775.16  5221.01 3.72 3.52 -52.4 -0.451    17.74 19.50 02a57515o0600c       2     80.373604
57515.524673 19.696897      NaN      -24     16 c    0   1.22 288.607 41.66924  4758.50  5338.61 3.73 3.52 -55.7 -0.450    19.36 21.25 02a57515o0622c       0     21.792571
57515.535631 19.766969      NaN      -15     15 c    0   1.14 288.607 41.66924  4799.91  5281.99 3.71 3.51 -56.9 -0.459    19.47 21.40 02a57515o0644c       0     21.069318
57541.314302 18.757738      NaN      -44     38 c    0   1.18 288.607 41.66924  6154.30  8710.82 4.25 3.93 -80.3 -0.434    18.64 20.81 02a57541o0209c 8388608     40.778869
57541.314670 18.757738      NaN     -125     38 c    0   0.96 288.607 41.66924  6154.11  8710.60 4.19 3.88 -83.9 -0.441    18.64 20.78 02a57541o0210c 8388608     40.778869
57541.315038 18.702047      NaN     -142     40 c    0   1.08 288.607 41.66924  6154.09  8710.37 4.22 3.90 -84.3 -0.438    18.60 20.76 02a57541o0211c 8388608     42.648753
57541.315406 18.757738      NaN      -82     38 c    0   0.98 288.607 41.66924  6153.99  8710.43 4.16 3.82 -86.0 -0.448    18.63 20.77 02a57541o0212c 8388608     40.778869
57541.315774 18.729535      NaN      -87     39 c    0   1.10 288.607 41.66924  6153.99  8710.43 4.22 3.86 -89.2 -0.437    18.63 20.79 02a57541o0213c 8388608     41.712302
57541.316143 18.550302      NaN      -48     46 c    0   0.70 288.607 41.66924  6153.79  8710.26 4.25 3.88 -83.6 -0.436    18.64 20.80 02a57541o0214c 8388608     48.320970
57541.316510 18.574166      NaN      -52     45 c    0   0.80 288.607 41.66924  6153.47  8710.21 4.23 3.90 -88.3 -0.432    18.64 20.81 02a57541o0215c 8388608     47.369992
57541.316879 18.702047      NaN      -70     40 c    0   1.02 288.607 41.66924  6153.27  8710.05 4.10 3.75 -87.8 -0.452    18.68 20.82 02a57541o0216c 8388608     42.648753
57541.317247 18.623526      NaN     -143     43 c    0   0.84 288.607 41.66924  6152.96  8709.97 4.21 3.90 -86.5 -0.435    18.67 20.83 02a57541o0217c 8388608     45.474346
57541.317616 18.847027      NaN      -73     35 c    0   1.05 288.607 41.66924  6153.08  8709.95 4.14 3.81 -82.6 -0.447    18.69 20.83 02a57541o0218c 8388608     37.998897
57541.481421 19.256669      NaN       22     16 c    0   0.81 288.607 41.66924  3944.82  6531.35 3.79 3.57 -52.7 -0.450    19.63 21.75 02a57541o0587c 8392704     21.792571
57541.491510 19.051202      NaN       37     16 c    0   0.86 288.607 41.66924  3962.56  6568.02 3.82 3.56 -60.5 -0.424    19.58 21.67 02a57541o0607c 8392704     21.792571
57541.497919 19.491430      NaN       17     13 c    0   1.24 288.607 41.66924  3920.14  6482.28 3.72 3.50 -60.7 -0.428    19.65 21.73 02a57541o0620c 8392704     19.695587
57541.508389 19.351140      NaN       16     16 c    0   0.87 288.607 41.66924  3891.29  6606.32 3.73 3.49 -63.2 -0.430    19.53 21.57 02a57541o0641c 8392704     21.792571
57541.520599 19.183773      NaN       24     17 c    0   0.91 288.607 41.66924  3947.05  6540.95 3.71 3.46 -60.8 -0.432    19.51 21.53 02a57541o0665c 8392704     22.536995
57545.450628 19.569016      NaN      -39     18 c    0   0.90 288.607 41.66924  6967.84  7435.46 4.03 3.61  88.2 -0.426    19.40 21.46 02a57545o0432c    8192     23.300561
57545.460118 19.696897      NaN      -14     16 c    0   1.11 288.607 41.66924  7007.09  7466.70 4.02 3.64  89.4 -0.421    19.43 21.50 02a57545o0450c    8192     21.792571
57549.451501 19.696897      NaN       -8     16 c    0   0.80 288.607 41.66924  5610.82  5860.62 4.05 3.92 -83.6 -0.405    19.57 21.81 02a57549o0315c       0     21.792571
57549.463285 19.922338      NaN       -6     13 c    0   1.33 288.607 41.66924  5641.09  5890.65 3.83 3.60 -80.3 -0.421    19.65 21.80 02a57549o0337c       0     19.695587
57549.470735 19.719755      NaN        3     14 c    0   0.86 288.607 41.66924  5569.98  5821.77 3.90 3.69 -79.9 -0.416    19.64 21.83 02a57549o0351c       0     20.369491
57549.489704 19.128787      NaN       37     14 c    0   0.90 288.607 41.66924  5570.67  5929.31 3.83 3.61 -82.3 -0.413    19.67 21.83 02a57549o0389c       0     20.369491
57549.497357 19.318728      NaN       24     14 c    0   0.96 288.607 41.66924  5599.39  5877.94 3.79 3.56 -86.9 -0.415    19.69 21.84 02a57549o0404c       0     20.369491
57581.417217 19.766969      NaN      -13     15 c    0   1.46 288.607 41.66924  4248.38  8556.75 3.97 3.76 -66.3 -0.424    19.37 21.25 02a57581o0340c       0     21.069318
57581.430068 19.384550      NaN       11     17 c    0   1.10 288.607 41.66924  4265.22  8593.18 3.94 3.76 -64.4 -0.435    19.47 21.48 02a57581o0366c       0     22.536995
57581.432800 19.631075      NaN      -21     17 c    0   1.11 288.607 41.66924  6348.03  2008.63 4.42 3.73   5.7 -0.450    19.53 21.59 02a57581o0371c       0     22.536995
57581.460583 19.696897      NaN      -18     16 c    0   1.19 288.607 41.66924  6377.30  1891.54 4.40 3.90  12.8 -0.449    19.60 21.79 02a57581o0426c       0     21.792571
57581.465907 19.696897      NaN      -42     16 c    0   1.11 288.607 41.66924  6334.61  1951.12 4.37 3.77   9.4 -0.459    19.50 21.63 02a57581o0437c       0     21.792571
57605.384555 18.944322      NaN       43     17 c    0   0.82 288.607 41.66924  6593.70  2033.79 4.96 4.03  -4.9 -0.375    19.53 21.84 02a57605o0291c       0     22.536995
57605.389123 18.910912      NaN       40     19 c    0   0.81 288.607 41.66924  6564.31  1997.80 5.75 3.96   0.7 -0.373    19.46 21.82 02a57605o0300c       0     24.081448
57605.400386 19.609992      NaN        5     15 c    0   0.95 288.607 41.66924  6621.60  2075.39 4.34 4.00   6.2 -0.403    19.63 21.83 02a57605o0322c       0     21.069318
57605.415960 19.766969      NaN      -10     15 c    0   1.03 288.607 41.66924  6652.22  1960.97 4.04 3.74   6.9 -0.434    19.70 21.88 02a57605o0352c       0     21.069318
57605.435670 19.674510      NaN        2     15 c    0   0.87 288.607 41.66924  6606.56  2017.15 4.16 3.87   8.4 -0.424    19.66 21.84 02a57605o0389c       0     21.069318
57609.377276 19.436675      NaN       20     13 c    0   1.11 288.607 41.66924  3755.21  5057.72 3.77 3.54 -44.9 -0.441    19.70 21.88 02a57609o0273c       0     19.695587
57609.388053 19.302877      NaN       28     13 c    0   1.18 288.607 41.66924  3741.98  5019.41 3.80 3.54 -45.4 -0.437    19.63 21.81 02a57609o0295c       0     19.695587
57609.402411 19.212347      NaN       -5     25 c    0   0.73 288.607 41.66924  3800.86  5094.04 3.81 3.49 -40.8 -0.443    19.10 21.10 02a57609o0324c       0     29.050235
57609.418587 19.454622      NaN       10     16 c    0   1.00 288.607 41.66924  3815.68  4978.81 3.77 3.48 -35.8 -0.443    19.49 21.59 02a57609o0357c       0     21.792571
57609.430805 19.652575      NaN        0     16 c    0   1.05 288.607 41.66924  3787.84  5035.82 3.78 3.49 -47.5 -0.443    19.52 21.64 02a57609o0382c       0     21.792571
57625.351698 18.921935 0.199421       96     18 c    0   4.37 288.607 41.66924  7133.01  4796.85 4.14 3.84  84.0 -0.449    19.65 21.88 02a57625o0175c       0     23.300561
57625.364817 18.403357 0.116820      156     17 c    0   6.65 288.607 41.66924  7119.49  4758.02 4.05 3.73  83.0 -0.445    19.69 21.93 02a57625o0198c    4096     22.536995
57625.379729 19.226921 0.220082       72     15 c    0   7.27 288.607 41.66924  7178.37  4833.34 3.97 3.66  84.8 -0.444    19.72 21.94 02a57625o0224c       0     21.069318
57625.391015 18.816441      NaN       49     19 c    0   4.21 288.607 41.66924  7193.91  4716.91 3.92 3.58  87.0 -0.453    19.71 21.92 02a57625o0244c       0     24.081448
57625.415636 19.384550 0.322328       62     19 c    0   4.62 288.607 41.66924  7163.93  4774.73 3.91 3.59  86.0 -0.450    19.65 21.78 02a57625o0287c       0     24.081448
57660.277328 19.652575      NaN        3     15 c    0   0.87 288.607 41.66924  3690.31  4905.99 3.90 3.74  83.0 -0.375    19.50 21.44 02a57660o0132c       0     21.069318
57660.294545 19.529530      NaN        6     16 c    0   0.91 288.607 41.66924  3675.84  4865.81 3.86 3.69  82.4 -0.378    19.50 21.41 02a57660o0166c       0     21.792571
57660.301590 19.089302      NaN       37     15 c    0   0.97 288.607 41.66924  3733.24  4940.76 3.88 3.74  82.1 -0.377    19.48 21.39 02a57660o0180c       0     21.069318
57660.323792 19.197966      NaN        8     22 c    0   1.04 288.607 41.66924  3748.42  4823.45 3.96 3.81  81.7 -0.375    19.08 20.95 02a57660o0224c       0     26.512566
57668.276944 19.367717      NaN        9     18 c    0   1.01 288.607 41.66924  5818.16  2611.13 3.88 3.72 -88.6 -0.390    19.29 20.99 02a57668o0145c       0     23.300561
57668.279885 19.549093      NaN       -1     18 c    0   0.89 288.607 41.66924  5804.73  2570.48 3.86 3.70 -85.6 -0.396    19.30 21.00 02a57668o0151c       0     23.300561
57668.292338 19.401649      NaN        7     18 c    0   0.94 288.607 41.66924  5860.92  2647.43 3.80 3.66 -88.7 -0.395    19.31 20.98 02a57668o0176c       0     23.300561
57668.303176 19.696897      NaN      -42     16 c    0   0.96 288.607 41.66924  5876.06  2530.62 3.79 3.66 -83.8 -0.397    19.30 20.97 02a57668o0198c       0     21.792571
57668.308740 19.631075      NaN       -3     17 c    0   1.01 288.607 41.66924  5848.00  2589.02 3.85 3.73 -82.0 -0.395    19.26 20.96 02a57668o0209c       0     22.536995
57686.225864 19.212347      NaN       28     15 c    0   1.04 288.607 41.66924  4206.08  4974.99 3.82 3.66  79.2 -0.382    19.49 21.41 02a57686o0095c       0     21.069318
57686.228327 19.841877      NaN      -15     14 c    0   1.02 288.607 41.66924  4192.04  4935.46 3.79 3.64  81.6 -0.385    19.47 21.39 02a57686o0100c       0     20.369491
57686.241341 19.491430      NaN       11     15 c    0   1.11 288.607 41.66924  4249.43  5010.63 3.79 3.64  84.5 -0.391    19.45 21.34 02a57686o0126c       0     21.069318
57686.252172 19.696897      NaN      -10     16 c    0   0.91 288.607 41.66924  4262.80  4893.64 3.79 3.63  84.4 -0.393    19.43 21.28 02a57686o0148c       0     21.792571
57686.258737 19.696897      NaN       -2     16 c    0   1.06 288.607 41.66924  4221.17  4951.20 3.76 3.59  87.2 -0.397    19.44 21.27 02a57686o0161c       0     21.792571
57690.217557 19.076453      NaN       17     22 c    0   0.74 288.607 41.66924  4869.36  5334.82 4.87 4.57   2.8 -0.327    19.20 21.21 02a57690o0074c       0     26.512566
57690.229486 18.504094      NaN      -29     48 c    0   0.92 288.607 41.66924  4856.16  5294.14 5.16 4.38   1.5 -0.321    18.32 20.20 02a57690o0097c       0     50.228639
57690.243396 18.978793      NaN       37     18 c    0   0.91 288.607 41.66924  4914.30  5371.51 4.00 3.97  21.6 -0.369    19.35 21.15 02a57690o0124c       0     23.300561
57690.253652 19.569016      NaN      -21     18 c    0   0.92 288.607 41.66924  4929.91  5255.13 4.19 4.04  83.1 -0.360    19.30 21.15 02a57690o0144c       0     23.300561
57690.259866 19.631075      NaN       -7     17 c    0   1.02 288.607 41.66924  4886.83  5312.80 3.89 3.74  89.4 -0.378    19.38 21.15 02a57690o0156c       0     22.536995
57694.209277 19.766969      NaN       -4     15 c    0   1.26 288.607 41.66924  4314.25  4855.11 4.09 4.05  81.0 -0.364    19.47 21.44 02a57694o0061c       0     21.069318
57694.224223 19.631075      NaN        1     16 c    0   1.01 288.607 41.66924  4302.20  4815.10 3.97 3.80  84.5 -0.369    19.55 21.50 02a57694o0090c       0     21.792571
57694.230883 19.367717      NaN       15     16 c    0   1.04 288.607 41.66924  4358.49  4889.49 4.02 3.97  29.7 -0.364    19.50 21.48 02a57694o0103c       0     21.792571
57694.242282 19.816329      NaN       -1     14 c    0   1.11 288.607 41.66924  4371.10  4773.75 4.02 3.87  78.4 -0.365    19.50 21.44 02a57694o0125c       0     20.369491
57694.255640 19.631075      NaN       -5     17 c    0   0.76 288.607 41.66924  4328.23  4828.47 3.93 3.80  84.1 -0.373    19.49 21.40 02a57694o0151c       0     22.536995
57698.206177 19.510313      NaN        1     18 c    0   1.22 288.607 41.66924  5328.36  3032.94 3.92 3.75 -89.3 -0.370    19.28 20.87 02a57698o0056c       0     23.300561
57698.214474 19.569016      NaN      -37     18 c    0   1.07 288.607 41.66924  5314.37  2993.61 3.92 3.87 -88.8 -0.367    19.28 20.93 02a57698o0072c       0     23.300561
57698.225298 19.318728      NaN       12     18 c    0   1.05 288.607 41.66924  5372.79  3069.06 3.91 3.77 -88.7 -0.373    19.28 20.90 02a57698o0093c       0     23.300561
57698.234546 19.510313      NaN        1     18 c    0   0.95 288.607 41.66924  5388.21  2952.18 3.91 3.76 -87.7 -0.374    19.27 20.89 02a57698o0111c       0     23.300561
57698.255163 19.436675      NaN       -1     20 c    0   1.02 288.607 41.66924  5343.73  3007.99 3.92 3.76 -85.4 -0.374    19.23 20.83 02a57698o0151c       0     24.878026
57718.202522 19.241693      NaN        2     23 c    0   0.77 288.607 41.66924  5184.77  2656.11 4.29 4.12 -85.7 -0.348    19.08 20.88 02a57718o0024c       0     27.348056
57718.209240 19.454622      NaN       -9     20 c    0   0.89 288.607 41.66924  5170.66  2616.10 4.17 4.00 -88.9 -0.359    19.24 21.10 02a57718o0037c       0     24.878026
57718.218529 19.401649      NaN       -6     21 c    0   0.84 288.607 41.66924  5228.61  2693.94 4.44 4.27 -88.9 -0.354    19.16 21.05 02a57718o0055c       0     25.688833
57718.230467 19.128787      NaN      -14     27 c    0   0.85 288.607 41.66924  5256.96  2578.76 4.52 4.42 -88.7 -0.338    18.92 20.77 02a57718o0078c       0     30.788247
57834.644201 19.128787      NaN        1     26 c    0   1.04 288.607 41.66924  5549.99  8350.20 3.70 3.60  17.2 -0.456    18.55 19.94 02a57834o0718c    8192     29.915149
57838.639124 19.367717      NaN        6     19 c    0   0.98 288.607 41.66924  6489.61  5107.03 4.48 4.32  76.8 -0.360    18.65 20.56 02a57838o0718c    8192     24.081448
57838.653427 16.866048      NaN       49    200 c    0   1.19 288.607 41.66924  6517.94  5147.60 4.16 4.01  73.4 -0.427    17.18 17.41 02a57838o0744c       2    200.546544
57894.535386 20.009244 0.271434       34      9 c    0   0.90 288.607 41.66924  6676.57  5758.68 2.68 2.55  42.9 -0.464    19.74 21.67 02a57894o0570c       0     17.318087
57894.551168 20.071303      NaN        5      9 c    0   1.24 288.607 41.66924  6687.72  5800.35 2.58 2.46  31.6 -0.464    19.69 21.46 02a57894o0598c       0     17.318087
57894.568027 20.321591      NaN       -9      9 c    0   1.08 288.607 41.66924  3849.72  4735.80 2.81 2.54  18.4 -0.470    19.69 21.55 02a57894o0627c       0     17.318087
57894.584911 20.405150      NaN       -1      8 c    0   1.32 288.607 41.66924  3860.32  4617.71 2.65 2.40  21.7 -0.481    19.75 21.56 02a57894o0656c       0     16.820112
57894.601208 20.137125      NaN        6      8 c    0   1.43 288.607 41.66924  3831.14  4677.67 2.74 2.48  22.0 -0.476    19.68 21.54 02a57894o0684c       0     16.820112
57898.533373 20.171596      NaN        2      9 c    0   1.07 288.607 41.66924  6107.44  6755.82 2.60 2.39  38.0 -0.482    19.76 21.70 02a57898o0407c       0     17.318087
57898.545577 20.321591      NaN       -3      9 c    0   0.97 288.607 41.66924  4358.37  3661.85 2.89 2.38  32.5 -0.484    19.82 21.67 02a57898o0429c       0     17.318087
57898.561457 20.009244      NaN        7      9 c    0   1.04 288.607 41.66924  6063.33  6714.62 2.63 2.43  21.7 -0.482    19.82 21.75 02a57898o0457c       0     17.318087
57898.577836 19.950541      NaN       12      8 c    0   1.12 288.607 41.66924  4425.28  3624.35 2.94 2.48  34.5 -0.478    19.80 21.76 02a57898o0485c       0     16.820112
57898.594154 20.244005      NaN        3      8 c    0   1.10 288.607 41.66924  4379.95  3683.84 2.84 2.42  29.1 -0.482    19.82 21.72 02a57898o0513c       0     16.820112
57902.512281 19.841877      NaN      -10     14 c    0   1.10 288.607 41.66924  3457.50  7860.31 2.58 2.54 -18.4 -0.452    19.38 21.12 02a57902o0541c       0     20.369491
57902.530298 20.207197      NaN      -11     10 c    0   1.26 288.607 41.66924  3485.41  7901.07 2.56 2.49   6.4 -0.456    19.63 21.48 02a57902o0575c       0     17.858224
57902.545530 20.321591      NaN        1      8 c    0   0.96 288.607 41.66924  3424.16  7822.94 2.61 2.50   4.7 -0.455    19.74 21.66 02a57902o0602c       0     16.820112
57902.561487 20.039830      NaN        3     10 c    0   0.90 288.607 41.66924  3393.46  7939.55 2.62 2.44  -6.9 -0.453    19.83 21.71 02a57902o0630c       0     17.858224
57902.576917 20.009244      NaN       10      8 c    0   0.95 288.607 41.66924  7031.34  2558.55 2.78 2.71 -51.9 -0.419    19.81 21.68 02a57902o0658c       0     16.820112
57984.371707 20.761819      NaN       -4      6 c    0   1.52 288.607 41.66924  4393.07  2866.57 2.46 2.34  53.3 -0.403    19.82 21.77 02a57984o0289c       0     15.966094
57984.382782 20.071303      NaN       11      7 c    0   1.16 288.607 41.66924  4378.78  2827.07 2.49 2.33  57.7 -0.409    19.81 21.75 02a57984o0311c       0     16.368144
57984.393475 20.282105      NaN        2      8 c    0   1.00 288.607 41.66924  4435.64  2904.26 2.48 2.32  55.1 -0.407    19.79 21.72 02a57984o0333c       0     16.820112
57984.400375 20.594452      NaN      -22      7 c    0   1.06 288.607 41.66924  4448.81  2787.50 2.51 2.33  55.8 -0.407    19.80 21.71 02a57984o0347c       0     16.368144
57988.373286 20.137125      NaN        6      8 c    0   1.31 288.607 41.66924  6935.48  4984.29 2.59 2.55 -52.7 -0.405    19.74 21.71 02a57988o0288c       0     16.820112
