         MJD         m       dm    uJy  duJy F  err    chi/N      RA      Dec        x        y  maj  min   phi  apfit  mag5sig   Sky            Obs    Mask     duJy_new
57232.345364 17.190132      NaN     50   146 o    0     1.87 288.607 41.66924  5319.18  6869.46 3.68 3.38 -84.4 -0.460    17.39 17.94 02a57232o0125o 8388610   147.910810
57232.368328 17.935984      NaN     59    63 o    0     1.46 288.607 41.66924  5326.25  6870.12 3.65 3.45 -85.6 -0.458    18.15 19.01 02a57232o0153o 8388610    67.309789
57232.386155 18.191747      NaN   -225    64 o    0     1.17 288.607 41.66924  3961.11  4983.32 3.71 3.47 -75.7 -0.441    18.01 18.79 02a57232o0176o 8388610    68.246668
57300.256322 19.014394      NaN   -117    30 o    0     1.28 288.607 41.66924  5287.68  3743.65 3.64 3.32 -77.8 -0.462    18.64 20.14 02a57300o0143o       0    38.230979
57300.273858 18.574166      NaN   -115    45 o    0     0.86 288.607 41.66924  5283.28  3742.87 3.81 3.61 -57.0 -0.521    18.48 20.01 02a57300o0197o       0    50.858703
57300.289205 19.014394      NaN    -61    30 o    0     0.98 288.607 41.66924  3806.81  5202.66 3.88 3.43 -63.8 -0.497    18.80 20.40 02a57300o0245o       0    38.230979
57300.305752 18.944322      NaN      1    32 o    0     1.09 288.607 41.66924  3806.43  5202.53 3.82 3.35 -63.0 -0.505    18.71 20.30 02a57300o0295o       0    39.819690
57302.258755 19.089302      NaN    -50    28 o    0     0.93 288.607 41.66924  5273.89  3743.01 3.90 3.60 -39.3 -0.481    19.04 20.78 02a57302o0115o       0    36.682526
57302.275452 19.256669      NaN    -43    24 o    0     1.20 288.607 41.66924  3795.21  5202.58 4.07 3.53 -57.0 -0.488    19.03 20.82 02a57302o0141o       0    33.728441
57302.291559 19.128787      NaN    -31    27 o    0     0.84 288.607 41.66924  3793.34  5202.45 4.12 3.56 -55.4 -0.504    19.02 20.81 02a57302o0166o       0    35.925029
57320.198796 17.870951      NaN    101    54 o    0     1.07 288.607 41.66924  5351.88  3776.01 3.85 3.41 -84.3 -0.500    18.09 18.89 02a57320o0029o       0    58.971245
57320.216216 18.286218      NaN     55    42 o    0     1.09 288.607 41.66924  5346.81  3771.22 3.59 3.36 -19.8 -0.471    18.41 19.57 02a57320o0056o       0    48.224555
57320.233613 18.396507      NaN      2    53 o    0     0.81 288.607 41.66924  3857.59  5225.25 3.57 3.16 -53.0 -0.481    18.35 19.52 02a57320o0083o       0    58.056935
57320.260012 18.214605      NaN     43    50 o    0     1.12 288.607 41.66924  3844.67  5220.50 3.94 3.38 -53.0 -0.481    18.25 19.42 02a57320o0124o       0    55.331797
57324.224297 18.878500      NaN    -37    34 o    0     0.95 288.607 41.66924  5358.90  3771.87 3.91 3.61 -32.8 -0.478    18.76 20.19 02a57324o0085o       0    41.444031
57324.246558 18.702047      NaN    -23    40 o    0     1.02 288.607 41.66924  5350.36  3771.39 3.85 3.53 -28.2 -0.471    18.47 19.64 02a57324o0119o       0    46.493093
57324.261917 18.169360      NaN     60    47 o    0     0.95 288.607 41.66924  3876.34  5228.82 4.00 3.42 -53.0 -0.482    18.38 19.50 02a57324o0143o       0    52.636563
57324.276437 18.438271      NaN    -59    51 o    0     0.85 288.607 41.66924  3875.21  5228.58 4.21 3.53 -57.8 -0.497    18.27 19.38 02a57324o0165o       0    56.237067
57328.189943 18.094452      NaN    -16    70 o    0     0.92 288.607 41.66924  5393.07  3783.73 4.19 3.96 -47.2 -0.492    17.86 18.65 02a57328o0021o       2    73.902691
57328.197568 18.417189      NaN    -82    52 o    0     0.95 288.607 41.66924  5394.03  3783.37 4.12 3.83 -58.8 -0.463    18.40 19.73 02a57328o0033o       0    57.145496
